film_id,attore_id,nome,cognome,titolo,descrizione,data_rilascio,lingua,lingua_originale_id,durata_noleggio,tariffa_noleggio,durata,costo_sostituzione,voto
146,149,RUSSELL,TEMPLE,CHITTY LOCK,A Boring Epistle of a Boat And a Database Administrator who must Kill a Sumo Wrestler in The First Manned Space Station,2006,English,,6,2.99,107,24.99,G
146,20,LUCILLE,TRACY,CHITTY LOCK,A Boring Epistle of a Boat And a Database Administrator who must Kill a Sumo Wrestler in The First Manned Space Station,2006,English,,6,2.99,107,24.99,G
146,178,LISA,MONROE,CHITTY LOCK,A Boring Epistle of a Boat And a Database Administrator who must Kill a Sumo Wrestler in The First Manned Space Station,2006,English,,6,2.99,107,24.99,G
146,171,OLYMPIA,PFEIFFER,CHITTY LOCK,A Boring Epistle of a Boat And a Database Administrator who must Kill a Sumo Wrestler in The First Manned Space Station,2006,English,,6,2.99,107,24.99,G
146,37,VAL,BOLGER,CHITTY LOCK,A Boring Epistle of a Boat And a Database Administrator who must Kill a Sumo Wrestler in The First Manned Space Station,2006,English,,6,2.99,107,24.99,G
146,166,NICK,DEGENERES,CHITTY LOCK,A Boring Epistle of a Boat And a Database Administrator who must Kill a Sumo Wrestler in The First Manned Space Station,2006,English,,6,2.99,107,24.99,G
146,5,JOHNNY,LOLLOBRIGIDA,CHITTY LOCK,A Boring Epistle of a Boat And a Database Administrator who must Kill a Sumo Wrestler in The First Manned Space Station,2006,English,,6,2.99,107,24.99,G
146,184,HUMPHREY,GARLAND,CHITTY LOCK,A Boring Epistle of a Boat And a Database Administrator who must Kill a Sumo Wrestler in The First Manned Space Station,2006,English,,6,2.99,107,24.99,G
146,188,ROCK,DUKAKIS,CHITTY LOCK,A Boring Epistle of a Boat And a Database Administrator who must Kill a Sumo Wrestler in The First Manned Space Station,2006,English,,6,2.99,107,24.99,G
146,22,ELVIS,MARX,CHITTY LOCK,A Boring Epistle of a Boat And a Database Administrator who must Kill a Sumo Wrestler in The First Manned Space Station,2006,English,,6,2.99,107,24.99,G
146,31,SISSY,SOBIESKI,CHITTY LOCK,A Boring Epistle of a Boat And a Database Administrator who must Kill a Sumo Wrestler in The First Manned Space Station,2006,English,,6,2.99,107,24.99,G
146,165,AL,GARLAND,CHITTY LOCK,A Boring Epistle of a Boat And a Database Administrator who must Kill a Sumo Wrestler in The First Manned Space Station,2006,English,,6,2.99,107,24.99,G
146,101,SUSAN,DAVIS,CHITTY LOCK,A Boring Epistle of a Boat And a Database Administrator who must Kill a Sumo Wrestler in The First Manned Space Station,2006,English,,6,2.99,107,24.99,G
854,11,ZERO,CAGE,STRANGERS GRAFFITI,A Brilliant Character Study of a Secret Agent And a Man who must Find a Cat in The Gulf of Mexico,2006,English,,4,4.99,119,22.99,R
854,27,JULIA,MCQUEEN,STRANGERS GRAFFITI,A Brilliant Character Study of a Secret Agent And a Man who must Find a Cat in The Gulf of Mexico,2006,English,,4,4.99,119,22.99,R
854,150,JAYNE,NOLTE,STRANGERS GRAFFITI,A Brilliant Character Study of a Secret Agent And a Man who must Find a Cat in The Gulf of Mexico,2006,English,,4,4.99,119,22.99,R
854,44,NICK,STALLONE,STRANGERS GRAFFITI,A Brilliant Character Study of a Secret Agent And a Man who must Find a Cat in The Gulf of Mexico,2006,English,,4,4.99,119,22.99,R
854,72,SEAN,WILLIAMS,STRANGERS GRAFFITI,A Brilliant Character Study of a Secret Agent And a Man who must Find a Cat in The Gulf of Mexico,2006,English,,4,4.99,119,22.99,R
830,120,PENELOPE,MONROE,SPIRIT FLINTSTONES,A Brilliant Yarn of a Cat And a Car who must Confront a Explorer in Ancient Japan,2006,English,,7,0.99,149,23.99,R
