assay_id,assay_test_type,assay_organism,assay_category,assay_type,relationship_type,curated_by,assay_tissue,assay_tax_id,description,tid,variant_id,src_assay_id,src_id,doc_id,bao_format,assay_strain,assay_cell_type,assay_subcellular_fraction
1,,,,B,H,Autocuration,,,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,12052,,,1,11087,BAO_0000019,,,
2,,,,F,U,Autocuration,,,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,22226,,,1,684,BAO_0000219,,,
3,,,,B,U,Autocuration,,,,22226,,,1,15453,BAO_0000019,,,
4,,Bos taurus,,B,H,Autocuration,,9913.0,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,104729,,,1,17841,BAO_0000249,,,
5,,Homo sapiens,,F,N,Intermediate,,9606.0,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),80001,,,1,17430,BAO_0000219,,143B,
6,,Homo sapiens,,F,N,Intermediate,,9606.0,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),80001,,,1,17430,BAO_0000219,,143B,
7,,Mus musculus,,F,N,Intermediate,,10090.0,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,80001,,,1,13799,BAO_0000219,,143B,
8,,Homo sapiens,,F,N,Expert,,9606.0,In vitro cell cytotoxicity was determined against 143B cell line,80001,,,1,17774,BAO_0000219,,143B,
9,,Homo sapiens,,F,N,Intermediate,,9606.0,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,80001,,,1,3801,BAO_0000219,,143B,
10,,Homo sapiens,,F,N,Intermediate,,9606.0,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,80001,,,1,17430,BAO_0000219,,143B,
11,,Homo sapiens,,F,N,Intermediate,,9606.0,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,80001,,,1,17430,BAO_0000219,,143B,
12,,Homo sapiens,,F,N,Expert,,9606.0,In vitro cell cytotoxicity was determined against 143B-LTK cell line,80001,,,1,17774,BAO_0000219,,143B,
13,,Staphylococcus aureus,,F,N,Intermediate,,1280.0,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",50185,,,1,11324,BAO_0000218,,,
14,,Staphylococcus aureus,,F,N,Intermediate,,1280.0,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",50185,,,1,11324,BAO_0000218,,,
15,,Staphylococcus aureus,,F,N,Intermediate,,1280.0,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",50185,,,1,11324,BAO_0000218,,,
16,,Staphylococcus aureus,,F,N,Intermediate,,1280.0,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",50185,,,1,11324,BAO_0000218,,,
17,,Rattus norvegicus,,A,D,Expert,,10116.0,Inhibition of cytochrome P450 progesterone 15-alpha hydroxylase,100122,,,1,11347,BAO_0000357,,,
18,,,,B,H,Autocuration,,,Concentration that cause 50% activation of human reticulocyte 15-lipoxygenase (15-HLO),12054,,,1,16474,BAO_0000357,,,
19,,,,B,H,Autocuration,,,Inhibition of partially purified 15-lipoxygenase from human leukocytes,12054,,,1,10091,BAO_0000019,,,
20,,,,B,H,Autocuration,,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),12054,,,1,16474,BAO_0000357,,,
21,,,,B,H,Autocuration,,,Compound was evaluated for the percent increase in activation concentration of human reticulocyte 15-lipoxygenase (15-HLO),12054,,,1,16474,BAO_0000357,,,
22,,,,B,H,Autocuration,,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),12054,,,1,16474,BAO_0000357,,,
23,,,,B,H,Autocuration,,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,12054,,,1,16474,BAO_0000357,,,
24,,,,B,H,Autocuration,,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,12054,,,1,16474,BAO_0000357,,,
25,,,,B,U,Autocuration,,,"Inhibitory concentration against 15-lipoxygenase, by inhibiting 15-HETE production by human umbilical vein endothelial cells (HUVEC) stimulated by calcium ionophore A 23187 at concentration of 10e-5 M.",22226,,,1,14352,BAO_0000219,,,
