assays_ASSI,assays_CEI,assays_BFO,assays_ASTI,assays_SRASI,assays_ASSTR,assays_CHEI,assays_ASSSUBCELFRA,assays_AST,assays_VAI,assays_Ti,assays_ASSCTY,assays_RELATITY,assays_CONFSCO,assays_CUB,assays_SRI,assays_TII
7524,,BAO_0000218,Kidney,,,CHEMBL618647,,A,,50597,,N,1,Intermediate,1,2113.0
7525,,BAO_0000218,Kidney,,,CHEMBL618648,,A,,50597,,N,1,Intermediate,1,2113.0
7526,,BAO_0000218,Kidney,,,CHEMBL618649,,A,,50597,,N,1,Intermediate,1,2113.0
7527,,BAO_0000218,Liver,,,CHEMBL618650,,A,,50597,,N,1,Intermediate,1,2107.0
7528,,BAO_0000218,Liver,,,CHEMBL618651,,A,,50597,,N,1,Intermediate,1,2107.0
7529,,BAO_0000218,Liver,,,CHEMBL876497,,A,,50597,,N,1,Intermediate,1,2107.0
7530,,BAO_0000218,Lung,,,CHEMBL618652,,A,,50597,,N,1,Intermediate,1,2048.0
7531,,BAO_0000218,Lung,,,CHEMBL618653,,A,,50597,,N,1,Intermediate,1,2048.0
7532,,BAO_0000218,Lung,,,CHEMBL618654,,A,,50597,,N,1,Intermediate,1,2048.0
7533,,BAO_0000218,,,,CHEMBL618655,,A,,50597,,N,1,Intermediate,1,
7534,,BAO_0000218,,,,CHEMBL618656,,A,,50597,,N,1,Intermediate,1,
7535,,BAO_0000100,,,,CHEMBL618657,,P,,22229,,U,0,Intermediate,1,
7536,,BAO_0000218,,,,CHEMBL618658,,A,,50597,,N,1,Intermediate,1,
7537,,BAO_0000218,,,,CHEMBL618659,,A,,50597,,N,1,Intermediate,1,
7538,,BAO_0000218,,,,CHEMBL618660,,A,,50597,,N,1,Intermediate,1,
7539,,BAO_0000218,,,,CHEMBL618661,,A,,50597,,N,1,Intermediate,1,
7540,,BAO_0000218,,,,CHEMBL873807,,A,,50597,,N,1,Intermediate,1,
7541,,BAO_0000218,,,,CHEMBL618662,,A,,50597,,N,1,Intermediate,1,
7542,,BAO_0000218,,,,CHEMBL618663,,A,,50597,,N,1,Intermediate,1,
7543,,BAO_0000218,,,,CHEMBL618664,,A,,50597,,N,1,Intermediate,1,
7544,,BAO_0000218,,,,CHEMBL618665,,A,,50597,,N,1,Intermediate,1,
7545,,BAO_0000218,,,,CHEMBL876498,,A,,50597,,N,1,Intermediate,1,
7546,,BAO_0000218,,,,CHEMBL618666,,A,,50597,,N,1,Intermediate,1,
7547,,BAO_0000218,,,,CHEMBL620440,,A,,50597,,N,1,Intermediate,1,
7548,,BAO_0000218,,,,CHEMBL620441,,A,,50597,,N,1,Intermediate,1,
7549,,BAO_0000218,,,,CHEMBL620442,,A,,50597,,N,1,Intermediate,1,
7550,,BAO_0000218,,,,CHEMBL620443,,A,,50597,,N,1,Intermediate,1,
7551,,BAO_0000218,,,,CHEMBL620444,,A,,50597,,N,1,Intermediate,1,
7552,,BAO_0000218,,,,CHEMBL620445,,A,,50597,,N,1,Intermediate,1,
7553,,BAO_0000218,,,,CHEMBL620446,,A,,50597,,N,1,Intermediate,1,
7554,,BAO_0000218,Plasma,,,CHEMBL620447,,A,,50597,,N,1,Intermediate,1,1969.0
7555,,BAO_0000218,Plasma,,,CHEMBL621129,,A,,50597,,N,1,Intermediate,1,1969.0
7556,,BAO_0000218,Plasma,,,CHEMBL621130,,A,,50597,,N,1,Intermediate,1,1969.0
7557,,BAO_0000218,,,,CHEMBL873808,,A,,50597,,N,1,Intermediate,1,
7558,,BAO_0000218,,,,CHEMBL876598,,A,,50597,,N,1,Intermediate,1,
7559,,BAO_0000218,,,,CHEMBL621131,,A,,50597,,N,1,Intermediate,1,
7560,,BAO_0000218,,,,CHEMBL621132,,A,,50597,,N,1,Intermediate,1,
7561,,BAO_0000218,,,,CHEMBL621133,,A,,50597,,N,1,Intermediate,1,
7562,,BAO_0000218,,,,CHEMBL621312,,A,,50597,,N,1,Expert,1,
7563,,BAO_0000218,,,,CHEMBL621313,,A,,50597,,N,1,Intermediate,1,
7564,,BAO_0000218,Blood,,,CHEMBL621314,,A,,50597,,N,1,Intermediate,1,178.0
7565,,BAO_0000218,,,,CHEMBL621315,,A,,50597,,N,1,Intermediate,1,
7566,,BAO_0000218,,,,CHEMBL621316,,A,,50597,,N,1,Intermediate,1,
7567,,BAO_0000218,,,,CHEMBL621317,,A,,50597,,N,1,Intermediate,1,
7568,,BAO_0000218,,,,CHEMBL621318,,A,,50597,,N,1,Intermediate,1,
7569,,BAO_0000218,,,,CHEMBL621319,,A,,50597,,N,1,Intermediate,1,
7570,,BAO_0000218,,,,CHEMBL621377,,A,,50597,,N,1,Intermediate,1,
7571,,BAO_0000218,,,,CHEMBL621378,,A,,50597,,N,1,Intermediate,1,
7572,,BAO_0000218,,,,CHEMBL876599,,A,,50597,,N,1,Intermediate,1,
7573,,BAO_0000218,,,,CHEMBL621379,,A,,50597,,N,1,Intermediate,1,
7574,,BAO_0000218,Plasma,,,CHEMBL621380,,A,,50597,,N,1,Intermediate,1,1969.0
7575,,BAO_0000218,Plasma,,,CHEMBL621381,,A,,50597,,N,1,Intermediate,1,1969.0
7576,,BAO_0000218,,,,CHEMBL618515,,A,,50597,,N,1,Intermediate,1,
7577,,BAO_0000218,,,,CHEMBL618516,,A,,50597,,N,1,Intermediate,1,
7578,,BAO_0000218,,,,CHEMBL618517,,A,,50597,,N,1,Intermediate,1,
7579,,BAO_0000218,,,,CHEMBL618518,,A,,50597,,N,1,Intermediate,1,
7580,,BAO_0000218,,,,CHEMBL618519,,A,,50597,,N,1,Intermediate,1,
7581,,BAO_0000218,,,,CHEMBL618698,,A,,50597,,N,1,Intermediate,1,
7582,,BAO_0000218,,,,CHEMBL618862,,A,,50597,,N,1,Intermediate,1,
7583,,BAO_0000218,,,,CHEMBL618863,,A,,50597,,N,1,Intermediate,1,
7584,,BAO_0000218,,,,CHEMBL618864,,A,,50597,,N,1,Intermediate,1,
7585,,BAO_0000218,,,,CHEMBL618865,,A,,50597,,N,1,Intermediate,1,
7586,,BAO_0000218,,,,CHEMBL618866,,A,,50597,,N,1,Intermediate,1,
7587,,BAO_0000218,,,,CHEMBL618867,,A,,50597,,N,1,Intermediate,1,
7588,,BAO_0000218,,,,CHEMBL875828,,A,,50597,,N,1,Intermediate,1,
7589,,BAO_0000218,,,,CHEMBL618868,,A,,50597,,N,1,Intermediate,1,
7590,,BAO_0000218,,,,CHEMBL618869,,A,,50597,,N,1,Intermediate,1,
7591,,BAO_0000218,,,,CHEMBL618870,,A,,50597,,N,1,Intermediate,1,
7592,,BAO_0000218,Plasma,,,CHEMBL618871,,A,,50597,,N,1,Intermediate,1,1969.0
7593,,BAO_0000218,Plasma,,,CHEMBL618872,,A,,50597,,N,1,Intermediate,1,1969.0
7594,,BAO_0000218,,,,CHEMBL873816,,A,,50597,,N,1,Intermediate,1,
7595,,BAO_0000218,,,,CHEMBL618873,,A,,22224,,U,0,Autocuration,1,
7596,,BAO_0000019,,,,CHEMBL621602,,A,,22224,,U,0,Autocuration,1,
7597,,BAO_0000218,,,,CHEMBL621603,,A,,22224,,U,0,Autocuration,1,
7598,,BAO_0000218,,,,CHEMBL621604,,A,,22224,,U,0,Autocuration,1,
7599,,BAO_0000218,,,,CHEMBL621605,,A,,22224,,U,0,Autocuration,1,
