doc_id,relationship_type,assay_strain,src_assay_id,assay_cell_type,assay_test_type,tid,confidence_score,curated_by,assay_subcellular_fraction,assay_id,assay_type,assay_tissue,variant_id,src_id,bao_format,description,cell_id,assay_category,tissue_id,assay_organism,chembl_id,assay_tax_id
11087,H,,,,,12052,8,Autocuration,,1,B,,,1,BAO_0000019,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,,,,,CHEMBL615117,
684,U,,,,,22226,0,Autocuration,,2,F,,,1,BAO_0000219,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,,,,,CHEMBL615118,
15453,U,,,,,22226,0,Autocuration,,3,B,,,1,BAO_0000019,,,,,,CHEMBL615119,
17841,H,,,,,104729,4,Autocuration,,4,B,,,1,BAO_0000249,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,,,,Bos taurus,CHEMBL615120,9913.0
17430,N,,,143B,,80001,1,Intermediate,,5,F,,,1,BAO_0000219,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),163.0,,,Homo sapiens,CHEMBL615121,9606.0
17430,N,,,143B,,80001,1,Intermediate,,6,F,,,1,BAO_0000219,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),163.0,,,Homo sapiens,CHEMBL615122,9606.0
13799,N,,,143B,,80001,1,Intermediate,,7,F,,,1,BAO_0000219,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,163.0,,,Mus musculus,CHEMBL615123,10090.0
17774,N,,,143B,,80001,1,Expert,,8,F,,,1,BAO_0000219,In vitro cell cytotoxicity was determined against 143B cell line,163.0,,,Homo sapiens,CHEMBL615124,9606.0
3801,N,,,143B,,80001,1,Intermediate,,9,F,,,1,BAO_0000219,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,163.0,,,Homo sapiens,CHEMBL615125,9606.0
17430,N,,,143B,,80001,1,Intermediate,,10,F,,,1,BAO_0000219,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,163.0,,,Homo sapiens,CHEMBL615126,9606.0
17430,N,,,143B,,80001,1,Intermediate,,11,F,,,1,BAO_0000219,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,163.0,,,Homo sapiens,CHEMBL615127,9606.0
17774,N,,,143B,,80001,1,Expert,,12,F,,,1,BAO_0000219,In vitro cell cytotoxicity was determined against 143B-LTK cell line,163.0,,,Homo sapiens,CHEMBL615128,9606.0
11324,N,,,,,50185,1,Intermediate,,13,F,,,1,BAO_0000218,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,,,Staphylococcus aureus,CHEMBL857900,1280.0
11324,N,,,,,50185,1,Intermediate,,14,F,,,1,BAO_0000218,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,,,Staphylococcus aureus,CHEMBL615129,1280.0
11324,N,,,,,50185,1,Intermediate,,15,F,,,1,BAO_0000218,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,,,Staphylococcus aureus,CHEMBL615130,1280.0
11324,N,,,,,50185,1,Intermediate,,16,F,,,1,BAO_0000218,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,,,Staphylococcus aureus,CHEMBL615131,1280.0
11347,D,,,,,100122,9,Expert,,17,A,,,1,BAO_0000357,Inhibition of cytochrome P450 progesterone 15-alpha hydroxylase,,,,Rattus norvegicus,CHEMBL884521,10116.0
