ss_d,tss_d,b_frmt,vrnt_d,rltnshp_tp,crtd_b,ss_strn,ss_cll_tp,cll_d,src_d,ss_tss,td,ss_tst_tp,dc_d,ss_sbclllr_frctn,chmbl_d,ss_rgnsm,ss_tx_d,cnfdnc_scr,src_ss_d
7524,2113.0,BAO_0000218,,N,Intermediate,,,,1,Kidney,50597,In vivo,9866,,CHEMBL618647,Rattus norvegicus,10116.0,1,
7525,2113.0,BAO_0000218,,N,Intermediate,,,,1,Kidney,50597,In vivo,9866,,CHEMBL618648,Rattus norvegicus,10116.0,1,
7526,2113.0,BAO_0000218,,N,Intermediate,,,,1,Kidney,50597,In vivo,9866,,CHEMBL618649,Rattus norvegicus,10116.0,1,
7527,2107.0,BAO_0000218,,N,Intermediate,,,,1,Liver,50597,In vivo,9866,,CHEMBL618650,Rattus norvegicus,10116.0,1,
7528,2107.0,BAO_0000218,,N,Intermediate,,,,1,Liver,50597,In vivo,9866,,CHEMBL618651,Rattus norvegicus,10116.0,1,
7529,2107.0,BAO_0000218,,N,Intermediate,,,,1,Liver,50597,In vivo,9866,,CHEMBL876497,Rattus norvegicus,10116.0,1,
7530,2048.0,BAO_0000218,,N,Intermediate,,,,1,Lung,50597,In vivo,9866,,CHEMBL618652,Rattus norvegicus,10116.0,1,
7531,2048.0,BAO_0000218,,N,Intermediate,,,,1,Lung,50597,In vivo,9866,,CHEMBL618653,Rattus norvegicus,10116.0,1,
7532,2048.0,BAO_0000218,,N,Intermediate,,,,1,Lung,50597,In vivo,9866,,CHEMBL618654,Rattus norvegicus,10116.0,1,
7533,,BAO_0000218,,N,Intermediate,,,,1,,50597,,6351,,CHEMBL618655,Rattus norvegicus,10116.0,1,
7534,,BAO_0000218,,N,Intermediate,,,,1,,50597,,1465,,CHEMBL618656,Rattus norvegicus,10116.0,1,
7535,,BAO_0000100,,U,Intermediate,,,,1,,22229,,5182,,CHEMBL618657,,,0,
7536,,BAO_0000218,,N,Intermediate,,,,1,,50597,,17847,,CHEMBL618658,Rattus norvegicus,10116.0,1,
7537,,BAO_0000218,,N,Intermediate,,,,1,,50597,,15339,,CHEMBL618659,Rattus norvegicus,10116.0,1,
7538,,BAO_0000218,,N,Intermediate,,,,1,,50597,,5202,,CHEMBL618660,Rattus norvegicus,10116.0,1,
7539,,BAO_0000218,,N,Intermediate,,,,1,,50597,,1088,,CHEMBL618661,Rattus norvegicus,10116.0,1,
7540,,BAO_0000218,,N,Intermediate,,,,1,,50597,,3169,,CHEMBL873807,Rattus norvegicus,10116.0,1,
7541,,BAO_0000218,,N,Intermediate,,,,1,,50597,,5353,,CHEMBL618662,Rattus norvegicus,10116.0,1,
7542,,BAO_0000218,,N,Intermediate,,,,1,,50597,In vivo,2864,,CHEMBL618663,Rattus norvegicus,10116.0,1,
7543,,BAO_0000218,,N,Intermediate,,,,1,,50597,In vivo,2864,,CHEMBL618664,Rattus norvegicus,10116.0,1,
7544,,BAO_0000218,,N,Intermediate,,,,1,,50597,In vivo,2864,,CHEMBL618665,Rattus norvegicus,10116.0,1,
7545,,BAO_0000218,,N,Intermediate,,,,1,,50597,,6362,,CHEMBL876498,Rattus norvegicus,10116.0,1,
7546,,BAO_0000218,,N,Intermediate,,,,1,,50597,,6249,,CHEMBL618666,Rattus norvegicus,10116.0,1,
7547,,BAO_0000218,,N,Intermediate,,,,1,,50597,,3169,,CHEMBL620440,Rattus norvegicus,10116.0,1,
7548,,BAO_0000218,,N,Intermediate,,,,1,,50597,,3169,,CHEMBL620441,Rattus norvegicus,10116.0,1,
7549,,BAO_0000218,,N,Intermediate,,,,1,,50597,,3169,,CHEMBL620442,Rattus norvegicus,10116.0,1,
7550,,BAO_0000218,,N,Intermediate,,,,1,,50597,In vivo,17260,,CHEMBL620443,Rattus norvegicus,10116.0,1,
7551,,BAO_0000218,,N,Intermediate,,,,1,,50597,In vivo,17260,,CHEMBL620444,Rattus norvegicus,10116.0,1,
7552,,BAO_0000218,,N,Intermediate,,,,1,,50597,In vivo,17260,,CHEMBL620445,Rattus norvegicus,10116.0,1,
7553,,BAO_0000218,,N,Intermediate,,,,1,,50597,In vivo,17260,,CHEMBL620446,Rattus norvegicus,10116.0,1,
7554,1969.0,BAO_0000218,,N,Intermediate,,,,1,Plasma,50597,,2879,,CHEMBL620447,Rattus norvegicus,10116.0,1,
