assays_ss_d,assays_dscrptn,assays_src_d,assays_rltnshp_tp,assays_src_ss_d,assays_ss_rgnsm,assays_vrnt_d,assays_ss_sbclllr_frctn,assays_ss_ctgr,assays_ss_tss,assays_ss_cll_tp,assays_tss_d,assays_b_frmt,assays_chmbl_d,assays_cnfdnc_scr,assays_crtd_b,assays_ss_tx_d,assays_ss_strn,assays_td,assays_cll_d
1,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,1,H,,,,,,,,,BAO_0000019,CHEMBL615117,8,Autocuration,,,12052,
2,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,1,U,,,,,,,,,BAO_0000219,CHEMBL615118,0,Autocuration,,,22226,
3,,1,U,,,,,,,,,BAO_0000019,CHEMBL615119,0,Autocuration,,,22226,
4,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,1,H,,Bos taurus,,,,,,,BAO_0000249,CHEMBL615120,4,Autocuration,9913.0,,104729,
5,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),1,N,,Homo sapiens,,,,,143B,,BAO_0000219,CHEMBL615121,1,Intermediate,9606.0,,80001,163.0
6,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),1,N,,Homo sapiens,,,,,143B,,BAO_0000219,CHEMBL615122,1,Intermediate,9606.0,,80001,163.0
7,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,1,N,,Mus musculus,,,,,143B,,BAO_0000219,CHEMBL615123,1,Intermediate,10090.0,,80001,163.0
8,In vitro cell cytotoxicity was determined against 143B cell line,1,N,,Homo sapiens,,,,,143B,,BAO_0000219,CHEMBL615124,1,Expert,9606.0,,80001,163.0
9,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,1,N,,Homo sapiens,,,,,143B,,BAO_0000219,CHEMBL615125,1,Intermediate,9606.0,,80001,163.0
10,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,1,N,,Homo sapiens,,,,,143B,,BAO_0000219,CHEMBL615126,1,Intermediate,9606.0,,80001,163.0
11,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,1,N,,Homo sapiens,,,,,143B,,BAO_0000219,CHEMBL615127,1,Intermediate,9606.0,,80001,163.0
12,In vitro cell cytotoxicity was determined against 143B-LTK cell line,1,N,,Homo sapiens,,,,,143B,,BAO_0000219,CHEMBL615128,1,Expert,9606.0,,80001,163.0
13,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",1,N,,Staphylococcus aureus,,,,,,,BAO_0000218,CHEMBL857900,1,Intermediate,1280.0,,50185,
14,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",1,N,,Staphylococcus aureus,,,,,,,BAO_0000218,CHEMBL615129,1,Intermediate,1280.0,,50185,
15,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",1,N,,Staphylococcus aureus,,,,,,,BAO_0000218,CHEMBL615130,1,Intermediate,1280.0,,50185,
16,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",1,N,,Staphylococcus aureus,,,,,,,BAO_0000218,CHEMBL615131,1,Intermediate,1280.0,,50185,
17,Inhibition of cytochrome P450 progesterone 15-alpha hydroxylase,1,D,,Rattus norvegicus,,,,,,,BAO_0000357,CHEMBL884521,9,Expert,10116.0,,100122,
18,Concentration that cause 50% activation of human reticulocyte 15-lipoxygenase (15-HLO),1,H,,,,,,,,,BAO_0000357,CHEMBL615132,8,Autocuration,,,12054,
19,Inhibition of partially purified 15-lipoxygenase from human leukocytes,1,H,,,,,,,,,BAO_0000019,CHEMBL615133,8,Autocuration,,,12054,
20,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),1,H,,,,,,,,,BAO_0000357,CHEMBL615134,8,Autocuration,,,12054,
21,Compound was evaluated for the percent increase in activation concentration of human reticulocyte 15-lipoxygenase (15-HLO),1,H,,,,,,,,,BAO_0000357,CHEMBL615135,8,Autocuration,,,12054,
22,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),1,H,,,,,,,,,BAO_0000357,CHEMBL615136,8,Autocuration,,,12054,
23,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,1,H,,,,,,,,,BAO_0000357,CHEMBL615137,8,Autocuration,,,12054,
24,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,1,H,,,,,,,,,BAO_0000357,CHEMBL615138,8,Autocuration,,,12054,
25,"Inhibitory concentration against 15-lipoxygenase, by inhibiting 15-HETE production by human umbilical vein endothelial cells (HUVEC) stimulated by calcium ionophore A 23187 at concentration of 10e-5 M.",1,U,,,,,,,,,BAO_0000219,CHEMBL836324,0,Autocuration,,,22226,
26,In vitro inhibitory activity of compound on rabbit reticulocyte 15-lipoxygenase,1,H,,Oryctolagus cuniculus,,,,,,,BAO_0000357,CHEMBL615139,8,Autocuration,9986.0,,12054,
27,Inhibition of rabbit reticulocyte 15-lipoxygenase by compound (30 uM),1,H,,Oryctolagus cuniculus,,,,,,,BAO_0000357,CHEMBL615140,8,Autocuration,9986.0,,12054,
28,Inhibitory activity against 15-lipoxygenase in rat polymorphonuclear leukocytes,1,H,,,,,,,,,BAO_0000219,CHEMBL615141,8,Autocuration,,,12426,
29,Inhibitory activity against 15-lipoxygenase was determined obtained from soya bean,1,H,,soya bean,,,,,,,BAO_0000357,CHEMBL615142,8,Autocuration,3847.0,,12054,
30,Inhibitory activity against soybean 15-lipoxygenase was evaluated,1,H,,Glycine max,,,,,,,BAO_0000357,CHEMBL615143,8,Autocuration,3847.0,,12054,
31,Inhibitory activity against soybean 15-lipoxygenase was evaluated at 100 uM,1,H,,Glycine max,,,,,,,BAO_0000357,CHEMBL615144,8,Autocuration,3847.0,,12054,
32,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 10 uM,1,H,,Glycine max,,,,,,,BAO_0000357,CHEMBL872867,8,Autocuration,3847.0,,12054,
33,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 100 uM,1,H,,Glycine max,,,,,,,BAO_0000357,CHEMBL615145,8,Autocuration,3847.0,,12054,
34,Compound was tested in vitro for inhibition of 15-lipoxygenase soybean,1,H,,Glycine max,,,,,,,BAO_0000357,CHEMBL615146,8,Autocuration,3847.0,,12054,
35,Compound at 100 uM was tested in vitro for inhibition of 15-lipoxygenase soybean,1,H,,Glycine max,,,,,,,BAO_0000357,CHEMBL615147,8,Autocuration,3847.0,,12054,
36,Inhibition of cytochrome P450 progesterone 16-alpha hydroxylase,1,U,,Rattus norvegicus,,,,,,,BAO_0000019,CHEMBL615148,0,Autocuration,10116.0,,22226,
37,Binding affinity against bacterial 16S rRNA using mass spectrometry based assay,1,U,,Escherichia coli,,,,,,,BAO_0000019,CHEMBL615149,0,Autocuration,562.0,,22226,
38,Dissociation constant with dimeric 16S rRNA RNA construct B,1,U,,,,,,,,,BAO_0000019,CHEMBL615150,0,Autocuration,,,22226,
39,Dissociation constant towards 16S rRNA construct A,1,M,,,,,,,,,BAO_0000225,CHEMBL615151,3,Intermediate,,,22222,
40,Dissociation constant towards 16S rRNA construct B,1,M,,,,,,,,,BAO_0000225,CHEMBL615152,3,Intermediate,,,22222,
41,Binding affinity of aminoglycoside to 16S ribosomal RNA A-site in Escherichia coli,1,M,,Escherichia coli,,,,,,,BAO_0000225,CHEMBL615153,3,Expert,562.0,,100263,
42,Binding affinity for the 16S ribosomal RNA A-site of Escherichia coli,1,M,,Escherichia coli,,,,,,,BAO_0000225,CHEMBL615154,3,Expert,562.0,,100263,
43,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),1,H,,,,,,,,,BAO_0000019,CHEMBL615155,8,Autocuration,,,13053,
44,Inhibitory constant against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),1,H,,,,,,,,,BAO_0000019,CHEMBL615156,8,Autocuration,,,13053,
45,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,1,H,,Homo sapiens,,,,,,,BAO_0000019,CHEMBL615157,8,Autocuration,9606.0,,20001,
46,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,1,H,,Homo sapiens,,,,,,,BAO_0000019,CHEMBL615158,8,Autocuration,9606.0,,20001,
47,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",1,D,,Rattus norvegicus,,,,,,,BAO_0000019,CHEMBL615159,9,Expert,10116.0,,12971,
48,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",1,D,,Rattus norvegicus,,,,,,,BAO_0000019,CHEMBL615172,9,Expert,10116.0,,12971,
49,"Percent inhibition of 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",1,D,,Rattus norvegicus,,,,,,,BAO_0000019,CHEMBL615173,9,Expert,10116.0,,12971,
50,"Percent inhibition of Steroid 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",1,D,,Rattus norvegicus,,,,,,,BAO_0000019,CHEMBL615174,9,Expert,10116.0,,12971,
51,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),1,H,,,,,,,,,BAO_0000019,CHEMBL884518,8,Autocuration,,,13053,
52,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1),1,H,,,,,,,,,BAO_0000357,CHEMBL615175,8,Autocuration,,,11512,
53,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 1 uM concentration,1,H,,,,,,,,,BAO_0000357,CHEMBL615176,8,Autocuration,,,11512,
54,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 10 uM concentration,1,H,,,,,,,,,BAO_0000357,CHEMBL615177,8,Autocuration,,,11512,
55,Selectivity ratio of binding affinity towards mu to delta receptors of rat brain membranes,1,D,,Rattus norvegicus,,Membranes,,,,,BAO_0000249,CHEMBL615178,5,Autocuration,10116.0,,104740,
56,Cytotoxicity against ovarian cancer cell line (1A-9) of humans was determined,1,N,,Homo sapiens,,,,,1A9,,BAO_0000219,CHEMBL615179,1,Intermediate,9606.0,,80002,506.0
57,Functional antagonism by electrical assays in Xenopus oocytes expressing 1A/2A NMDA receptor subtype,1,D,,Rattus norvegicus,,,,,Oocytes,,BAO_0000219,CHEMBL615180,7,Autocuration,10116.0,,104835,
58,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2B NMDA receptor,1,D,,Rattus norvegicus,,,,,Oocytes,,BAO_0000219,CHEMBL615181,7,Autocuration,10116.0,,104821,
59,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2C NMDA receptor,1,D,,Rattus norvegicus,,,,,Oocytes,,BAO_0000219,CHEMBL615182,7,Autocuration,10116.0,,104848,
60,In vitro effective concentration required to reduce the number of human ovarian cancer (1A9) after 3-day incubation,1,N,,Homo sapiens,,,,,1A9,,BAO_0000219,CHEMBL615183,1,Expert,9606.0,,80002,506.0
61,In vitro effective concentration required to reduce the number of human ovarian cancer cells (1A9) after 3-day incubation,1,N,,Homo sapiens,,,,,1A9,,BAO_0000219,CHEMBL615184,1,Intermediate,9606.0,,80002,506.0
62,Cytotoxic activity against human ovarian cancer (1A9) cell line,1,N,,Homo sapiens,,,,,1A9,,BAO_0000219,CHEMBL615185,1,Intermediate,9606.0,,80002,506.0
63,Cytotoxic activity against human ovarian cancer (1A9) cell line; ND=Not determined,1,N,,Homo sapiens,,,,,1A9,,BAO_0000219,CHEMBL615186,1,Intermediate,9606.0,,80002,506.0
64,Effective dose of compound against replication of 1A9 cell line was evaluated,1,N,,Homo sapiens,,,,,1A9,,BAO_0000219,CHEMBL615187,1,Intermediate,9606.0,,80002,506.0
65,In vitro cytotoxic activity was determined against ovarian cancer (1A9) cell line,1,N,,Homo sapiens,,,,,1A9,,BAO_0000219,CHEMBL885343,1,Expert,9606.0,,80002,506.0
