payment_id,customer_id,staff_id,rental_id,amount,payment_date
14140,526,2,1848,0.99,2005-06-17 00:07:07
14967,559,1,3674,5.99,2005-07-06 09:03:13
13874,515,1,8706,4.99,2005-07-29 17:19:15
12863,476,1,489,4.99,2005-05-28 00:09:12
1260,46,2,1214,4.99,2005-06-15 03:18:40
14562,541,1,8322,4.99,2005-07-29 03:52:49
12209,452,1,4720,0.99,2005-07-08 12:34:34
9816,363,2,6705,4.99,2005-07-12 12:53:11
8710,322,2,6709,4.99,2005-07-12 13:20:41
10693,394,2,13178,4.99,2006-02-14 15:16:03
4909,180,1,13994,2.99,2005-08-20 19:33:21
1193,43,1,9204,4.99,2005-07-30 12:43:58
13244,491,2,5134,6.99,2005-07-09 07:53:12
6145,228,1,4636,4.99,2005-07-08 08:44:32
1878,69,2,8649,6.99,2005-07-29 14:57:33
2861,106,1,8115,4.99,2005-07-28 19:14:17
6759,251,2,393,2.99,2005-05-27 11:18:25
8043,296,2,14571,7.99,2005-08-21 16:40:26
13581,504,1,2938,6.99,2005-06-20 05:17:22
4810,177,1,8139,0.99,2005-07-28 20:16:30
15040,561,1,10907,4.99,2005-08-02 01:51:48
6571,243,1,3965,4.99,2005-07-06 22:36:20
13788,512,1,7219,2.99,2005-07-27 09:35:36
12138,450,2,2278,0.99,2005-06-18 06:37:57
13891,516,1,1200,1.99,2005-06-15 01:59:51
14060,522,1,8966,2.99,2005-07-30 03:54:12
7499,277,2,2723,4.99,2005-06-19 14:55:23
2800,104,1,163,10.99,2005-05-26 02:26:23
13494,501,2,3541,6.99,2005-07-06 01:50:11
5420,200,2,1309,4.99,2005-06-15 10:10:49
9855,364,2,13936,0.99,2005-08-20 17:22:35
1219,44,2,7526,6.99,2005-07-27 21:13:47
12191,451,2,14500,0.99,2005-08-21 14:11:30
13296,493,1,15490,6.99,2005-08-23 02:08:18
6314,234,1,12921,5.99,2005-08-19 04:47:48
3168,118,2,1766,4.99,2005-06-16 17:59:37
62,3,1,1546,8.99,2005-06-16 01:34:05
2377,87,1,10387,4.99,2005-08-01 06:42:31
13343,495,1,8672,5.99,2005-07-29 15:49:48
9512,352,1,1649,4.99,2005-06-16 09:20:33
2164,79,2,13026,2.99,2005-08-19 08:22:45
7708,285,2,1161,7.99,2005-06-14 23:07:08
4528,167,1,5781,2.99,2005-07-10 13:49:30
1532,55,1,13345,6.99,2005-08-19 20:25:24
11615,430,1,13007,0.99,2005-08-19 07:47:43
7149,264,1,13664,5.99,2005-08-20 08:18:36
14909,556,1,14176,2.99,2005-08-21 03:09:23
11852,439,2,11042,6.99,2005-08-02 06:04:33
1228,44,2,13428,4.99,2006-02-14 15:16:03
9131,338,1,2179,0.99,2005-06-18 00:41:36
3018,112,1,11599,7.99,2005-08-17 03:08:10
10712,395,1,15970,4.99,2005-08-23 19:54:24
