assay_id,assay_tissue,relationship_type,assay_tax_id,tissue_id,variant_id,doc_id,description,assay_type,assay_test_type,assay_category,assay_organism,assay_strain,assay_cell_type
1,,H,,,,11087,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,B,,,,,
2,,U,,,,684,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,F,,,,,
3,,U,,,,15453,,B,,,,,
4,,H,1687.0,,,17841,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,B,,,Bos taurus,,
5,,N,3154.0,,,17430,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),F,,,Homo sapiens,,143B
6,,N,62257.0,,,17430,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),F,,,Homo sapiens,,143B
7,,N,26151.0,,,13799,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,F,,,Mus musculus,,143B
8,,N,7439.0,,,17774,In vitro cell cytotoxicity was determined against 143B cell line,F,,,Homo sapiens,,143B
9,,N,12588.0,,,3801,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,F,,,Homo sapiens,,143B
10,,N,57210.0,,,17430,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,F,,,Homo sapiens,,143B
11,,N,5671.0,,,17430,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,F,,,Homo sapiens,,143B
12,,N,21496.0,,,17774,In vitro cell cytotoxicity was determined against 143B-LTK cell line,F,,,Homo sapiens,,143B
13,,N,38302.0,,,11324,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",F,,,Staphylococcus aureus,,
14,,N,2605.0,,,11324,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",F,,,Staphylococcus aureus,,
15,,N,19286.0,,,11324,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",F,,,Staphylococcus aureus,,
16,,N,40913.0,,,11324,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",F,,,Staphylococcus aureus,,
