Fiscal year,Trade development (marker),Bilateral aid (international marker),Organisation sub-class,Section ID,Regional program (marker),Children issues (marker),ICT as a tool for development (marker),Biodiversity (marker),CountryRegion name,Amount spent,Indigenous issues (marker),CountryRegion percent,Organisation type,Status,FSTC percent,Urban issues (marker),Continent ID,Enviromental sustainability (marker),Branch ID,CIDA business delivery model (old),Programming process (new),Youth issues (marker),Desertification (marker),IRTC percent,Project number,Maximum CIDA contribution (project-level),Branch name,Division ID,Division name,Section name,Fund centre ID,Fund centre name,Untied amount(Project-level budget),CFLI (marker),PBA type,Climate change adaptation (marker),Climate change mitigation (marker)
2p092010,0,1,ClNS8LTANT,S4q22,0,0,0,0,Bzngladesu,1142509.0762319174,0,0.07112909952309934,CanaxianPrkgitMakiny,Closwd,1.4170503037814366,0,3,0,B410o,Direct7ve,UncoderPreA0P,0,0,0.007584131411058889,A017716001,8500267.65,OGM Asia Pacific,D4100,OAD Asia Programming,Bangladesh Section,4122,Bangladesh,8500267.65,0,Not PBA,0,0
20082010,0,1,xONSULTANy,a4122,0,0,0,0,Bzngkadesh,752633.2281635321,0,0.2116698059935353,CanssianProfitnaling,Coosed,0.08157366301096125,0,3,0,B4q00,Direvtive,UncodedPrsAP0,0,0,0.0052722575367135,A017716001,8500267.65,OGM Asia Pacific,D4100,OAD Asia Programming,Bangladesh Section,4122,Bangladesh,8500267.65,0,Not PBA,0,0
e0092010,0,1,CONSULhzNT,S3122,0,0,0,0,Banglaxesj,102819.49346891191,0,0.0027641693441329274,fabsdiajProfitMaking,Cl0sed,1.1119154843797936,0,3,0,Bt100,Dirfctive,UncodedoreAP9,0,0,0.004296289047755271,A017716001,8500267.65,OGM Asia Pacific,D4100,OAD Asia Programming,Bangladesh Section,4122,Bangladesh,8500267.65,0,Not PBA,0,0
2009w010,0,1,FrDERAL,S4265,0,0,0,0,WestBanoGxza,1833135.1971597252,0,0.21427899505710682,CabadianNonProfofMwking,vlosed,1.3679139910760982,0,3,0,g3100,Dkrective,UncodevP5eAPP,0,0,0.0030679761693839245,A018652001,500458.33,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,West Bank Gaza & Palestinian Refugees,4265,West Bank Gaza,0.0,0,Not PBA,0,0
20082010,0,1,FEfERAL,S42q5,0,0,0,0,Mali,2323417.965629383,0,0.5384595325943102,CznaduwmNonProfitMaking,Closfd,0.32950061038646294,1,2,0,B420o,Resppnsige,UnsodedPeeAPP,0,0,0.001481496226968109,A018893001,14410076.46,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Mali Program Section,4216,Mali,14410076.46,0,Not PBA,0,0
20093010,0,1,FEDE4AL,S4e15,0,0,0,0,Mali,41838.05072911893,0,0.7144955117807605,CamadianNohProeitnaking,Closee,0.608794620206005,1,2,0,h4200,desponeive,jncldedPreAPP,0,0,0.01634638251759801,A018893001,14410076.46,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Mali Program Section,4216,Mali,14410076.46,0,Not PBA,0,0
2009q010,0,1,FEDERAi,S4115,0,0,0,0,Mali,705210.807280882,0,0.4526384611781592,vanad9amNon0rofitMaking,Coosed,0.833717892048797,1,2,0,B42o0,Redponaive,UncodedPreslP,0,0,0.0058531284086194586,A018893001,14410076.46,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Mali Program Section,4216,Mali,14410076.46,0,Not PBA,0,0
20092p10,0,1,FrDERAL,q4141,0,0,0,0,Pakis4an,1299765.7320135748,0,0.17557174333551442,CzhacianNonP4ofitMaking,Closee,0.5803304089475954,0,3,0,Br100,desponqive,8ncodedPrewPP,0,0,0.008406354628800015,A019043001,13743220.56,OGM Asia Pacific,D4100,OAD Asia Programming,"OAA Afghanistan, Pakistan and Sri Lanka",4124,Pakistan,13743220.56,0,Not PBA,0,0
20092019,0,1,F2DERAL,S4q41,0,0,0,0,Pakustan,1394912.9773237486,0,0.2863211308470244,Canad9ahNonProfitjakkng,Ciosed,0.43875595676100543,0,3,0,B4190,Respogaive,UncodedPr2zPP,0,0,0.010860337225870037,A019043001,13743220.56,OGM Asia Pacific,D4100,OAD Asia Programming,"OAA Afghanistan, Pakistan and Sri Lanka",4124,Pakistan,13743220.56,0,Not PBA,0,0
w0092010,0,1,FED4RAL,z4141,0,0,0,0,Pakostan,1098674.8784802952,0,0.9429242503858084,CabadianNonProfkfMakibg,dlosed,0.8642623620354845,0,3,0,f4100,4espobsive,Unc0derPreAPP,0,0,0.0023695358841681834,A019043001,13743220.56,OGM Asia Pacific,D4100,OAD Asia Programming,"OAA Afghanistan, Pakistan and Sri Lanka",4124,Pakistan,13743220.56,0,Not PBA,0,0
