class,addr,type,phone,city,id,name
534,' 10801 w. pico blvd. ',american,310-475-3585,` west la ',0,` apple pan the '
535,' 2027 sawtelle blvd. ',` noodle shops ',310-479-2231,` west la ',1,` asahi ramen '
536,' 3345 kimber dr. ',mexican,805-498-4049,` westlake village ',2,` baja fresh '
537,' 9882 little santa monica blvd. ',` pacific new wave ',310-788-2306,` beverly hills ',3,` belvedere the '
538,' 1433 third st. promenade ',` fast food ',310-458-2889,` santa monica ',4,` benita \ 's frites '
539,' 515 s. olive st. ',continental,213-612-1580,` los angeles ',5,` bernard \ 's '
540,'45 s. mentor ave. ',californian,818-795-2478,pasadena,6,` bistro 45 '
541,' 19565 parthenia ave. ',delis,818-886-5679,northridge,7,` brent \ 's deli '
542,' 9600 brighton way ',` coffee shops ',310-276-7732,` beverly hills ',8,` brighton coffee shop '
543,' 1570 rosecrans ave. s. ',californian,310-643-5229,pasadena,9,` bristol farms market cafe '
544,' 3838 centinela ave. ',italian,310-397-5703,` mar vista ',10,` bruno \ 's '
545,' 838 lincoln blvd. ',american,310-399-1955,venice,11,` cafe \ '50s '
546,' 9777 little santa monica blvd. ',` pacific new wave ',310-888-0108,` beverly hills ',12,` cafe blanc '
547,' 3266 w. sixth st. ',hamburgers,213-480-8668,la,13,` cassell \ 's '
548,' 1716 pch ',eclectic,310-540-1222,` redondo beach ',14,` chez melange '
549,' 1020 n. san vicente blvd. ',russian,310-854-1111,` w. hollywood ',15,diaghilev
550,' 1136 westwood blvd. ',italian,310-209-1422,westwood,16,` don antonio \ 's '
551,' 8909 sunset blvd. ',` coffee shops ',310-652-3100,` w. hollywood ',17,` duke \ 's '
552,' 1059 broxton ave. ',` middle eastern ',310-208-4444,westwood,18,` falafel king '
553,' 1949 westwood blvd. ',chinese,310-475-0400,` west la ',19,` feast from the east '
554,' 6333 w. third st. ',cajun/creole,213-933-0358,la,20,` gumbo pot the '
555,' 6145 franklin ave. ',` coffee shops ',213-467-7678,hollywood,21,` hollywood hills coffee shop '
556,' 10428 1/2 national blvd. ',indonesian,310-815-1290,la,22,` indo cafe '
557,' 8424 beverly blvd. ',` coffee shops ',213-651-2866,la,23,` jan \ 's family restaurant '
558,' 502 santa monica blvd ',californian,310-917-6671,` santa monica ',24,jiraffe
559,' 2011 ocean front walk ',` hot dogs ',310-306-1995,venice,25,` jody maroni \ 's sausage kingdom '
560,' 1023 abbot kinney blvd. ',` american ( new ) ',310-399-5811,venice,26,` joe \ 's '
561,' 10516 w. pico blvd. ',` coffee shops ',310-204-0692,` west la ',27,` john o \ ` groats '
562,' 4017 s. sepulveda blvd. ',delis,310-397-6654,` culver city ',28,` johnnie \ 's pastrami '
563,' 4663 long beach blvd. ',southern/soul,310-423-7327,` long beach ',29,` johnny reb \ 's southern smokehouse '
564,' 7507 melrose ave. ',american,213-651-3361,la,30,` johnny rockets ( la ) '
565,' 4000 colfax ave. ',seafood,818-508-1570,` studio city ',31,` killer shrimp '
566,' 6333 w. third st. ',american,213-933-0773,la,32,` kokomo cafe '
567,' 8393 w. beverly blvd. ',chicken,213-655-9045,la,33,` koo koo roo '
568,' 10506 little santa monica blvd. ',` french ( new ) ',310-470-4992,` century city ',34,` la cachette '
569,' 22800 pch ',mexican,310-456-6299,malibu,35,` la salsa ( la ) '
570,' 1842 e. first ',mexican/tex-mex,213-265-2887,` st. boyle hts . ',36,` la serenata de garibaldi '
571,' 704 s. alvarado st. ',delis,213-483-8050,la,37,` langer \ 's '
572,' 30869 thousand oaks blvd. ',` health food ',818-706-7706,` westlake village ',38,` local nochol '
573,' 10509 w. pico blvd. ',american,310-475-7564,` rancho park ',39,` main course the '
574,' 519 s. fairfax ave. ',desserts,213-938-8800,la,40,` mani \ 's bakery & espresso bar '
575,' 22nd street grill 25 22nd ',american,310-376-7786,` st. hermosa beach ',41,` martha \ 's '
576,' 13329 washington blvd. ',american,310-306-7829,` marina del rey ',42,` maxwell \ 's cafe '
577,' 1147 third st. ',californian,310-451-0843,` santa monica ',43,` michael \ 's ( los angeles ) '
578,' 8474 w. third st. ',` noodle shops ',213-782-0181,la,44,mishima
579,' 7261 melrose ave. ',hamburgers,213-935-5280,la,45,` mo better meatty meat '
580,' 17040 ventura blvd. ',pizza,818-906-8881,encino,46,` mulberry st. '
581,' 3117 ocean park blvd. ',american,310-452-5728,` santa monica ',47,` ocean park cafe '
582,' 145 n. atlantic blvd. ',seafood,818-308-2128,` monterey park ',48,` ocean star '
583,' 875 s. figueroa st. downtown ',diners,213-627-6879,la,49,` original pantry bakery '
584,' 510 s. arroyo pkwy . ',californian,818-795-1001,pasadena,50,` parkway grill '
585,' 642 broadway ',vietnamese,213-626-5530,chinatown,51,` pho hoa '
586,' 709 n. la brea ave. ',` hot dogs ',213-931-4223,la,52,` pink \ 's famous chili dogs '
587,' 2635 w. olive ave. ',mexican,818-563-2252,burbank,53,` poquito mas '
588,' 923 e. third st. ',japanese,213-687-7178,` los angeles ',54,r-23
589,' 2901 pico blvd. ',diners,310-828-7937,` santa monica ',55,` rae \ 's '
590,' 15322 ventura blvd. ',` hot dogs ',818-905-6515,encino,56,` rubin \ 's red hots '
591,'45 s. fair oaks ave. ',diners,818-796-7829,pasadena,57,` ruby \ 's ( la ) '
592,' 1198 pch ',hamburgers,310-596-9556,` seal beach ',58,` russell \ 's burgers '
593,' 224 s. beverly dr. ',steakhouses,310-859-8744,` beverly hills ',59,` ruth \ 's chris steak house ( los angeles ) '
594,' 1505 mission st. s. ',` pacific new wave ',818-799-4774,pasadena,60,shiro
595,' 11288 ventura blvd. ',japanese,818-508-7017,` studio city ',61,` sushi nozawa '
596,' 8360 melrose ave. ',desserts,213-653-7145,la,62,` sweet lady jane '
597,' 11677 san vicente blvd. ',` noodle shops ',310-207-7782,brentwood,63,taiko
598,' 2575 beverly blvd. ',hamburgers,213-389-9060,la,64,` tommy \ 's '
599,' 1305 highland ave. ',diners,310-545-5177,` manhattan beach ',65,` uncle bill \ 's pancake house '
600,' 544 s. grand ave. ',seafood,213-891-0900,` los angeles ',66,` water grill '
601,' 1415 e. colorado st. ',` middle eastern ',818-244-1937,glendale,67,` zankou chicken '
602,' 764 ninth ave. ',afghan,212-307-1612,` new york city ',68,` afghan kebab house '
603,'21 e. 62nd st. ',` american ( new ) ',212-223-2900,` new york city ',69,arcadia
604,'93 ave. a ',mexican,212-254-2054,` new york city ',70,` benny \ 's burritos '
605,' 424 amsterdam ave. ',cuban,212-595-7000,` new york city ',71,` cafe con leche '
606,' 331 w. fourth st. ',hamburgers,212-242-9502,` new york city ',72,` corner bistro '
607,' 368 bleecker st. ',italian,212-242-0636,` new york city ',73,` cucina della fontana '
608,'87 e. fourth st. ',seafood,212-260-6800,` new york city ',74,` cucina di pesce '
609,'44 w. 56th st. ',indian,212-432-7227,` new york city ',75,darbar
610,' 432 sixth ave. ',diners,212-473-5555,` new york city ',76,` ej \ 's luncheonette '
611,' 228 w. 47th st. ',diners,212-840-5000,` new york city ',77,` edison cafe '
612,' 24-02 31st st. ',greek,718-932-1510,queens,78,` elias corner '
613,' 483 amsterdam ave. ',american,212-496-0163,` new york city ',79,` good enough to eat '
614,' 2090 broadway ',` hot dogs ',212-799-0243,` new york city ',80,` gray \ 's papaya '
615,'86 w. third st. ',italian,212-673-3783,` new york city ',81,` il mulino '
616,' 37-03 74th st. ',indian,718-672-1232,queens,82,` jackson diner '
617,' 9 pell st. ',chinese,718-539-3838,queens,83,` joe \ 's shanghai '
618,'48 w. 65th st. ',pizza,212-721-7001,` new york city ',84,` john \ 's pizzeria '
619,' 127 greene st. ',pan-asian,212-228-1212,` new york city ',85,` kelley & ping '
620,' 117 second ave. ',ukrainian,212-674-4040,` new york city ',86,kiev
621,' 2nd fl . ',japanese,212-317-2802,` new york city ',87,` kuruma zushi '
622,' 2199 broadway ',cuban,212-874-2780,` new york city ',88,` la caridad '
623,' 3 e. 52nd st. ',` french ( classic ) ',212-752-1495,` new york city ',89,` la grenouille '
624,' 61a seventh ave. ',thai,718-399-7100,brooklyn,90,` lemongrass grill '
625,'32 spring st. ',pizza,212-941-7994,` new york city ',91,` lombardi \ 's '
626,' 466 hudson st. ',asian,212-741-3214,` new york city ',92,` marnie \ 's noodle shop '
627,'39 w. 55th st. ',japanese,212-247-1585,` new york city ',93,menchanko-tei
628,' 296 bleecker st. ',indian,212-989-1367,` new york city ',94,` mitali east-west '
629,' 435 amsterdam ave. ',thai,212-580-8686,` new york city ',95,` monsoon ( ny ) '
