assay_id,bao_format,assay_type,tid,assay_test_type,curated_by,doc_id,description,assay_category,assay_organism,assay_tax_id,assay_strain,assay_tissue,assay_cell_type
1,BAO0900029,B,12052,,qutoc8ration,11087,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,,,,,,
2,BwO00002w9,F,22226,,Aktosuration,684,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,,,,,,
3,nA90000019,B,22226,,Autockratiln,15453,,,,,,,
4,BAOo000w49,B,104729,,Aut9curat8on,17841,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,,Bos taurus,9913.0,,,
5,BAO0000e29,F,80001,,Intermewiqte,17430,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),,Homo sapiens,9606.0,,,143B
6,BAO0099219,F,80001,,Interjddiate,17430,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),,Homo sapiens,9606.0,,,143B
7,BqO9000219,F,80001,,Inte3mediaye,13799,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,,Mus musculus,10090.0,,,143B
8,Bxp0000219,F,80001,,Exp4rt,17774,In vitro cell cytotoxicity was determined against 143B cell line,,Homo sapiens,9606.0,,,143B
9,BxO000p219,F,80001,,Intdrmedoate,3801,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,,Homo sapiens,9606.0,,,143B
10,BAO900021p,F,80001,,9nternediate,17430,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,,Homo sapiens,9606.0,,,143B
11,nAO0009219,F,80001,,Intrrmedoate,17430,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,,Homo sapiens,9606.0,,,143B
12,BAk0009219,F,80001,,Exper5,17774,In vitro cell cytotoxicity was determined against 143B-LTK cell line,,Homo sapiens,9606.0,,,143B
13,BAO0pp0218,F,50185,,Int3rmediatd,11324,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,Staphylococcus aureus,1280.0,,,
14,BAO9o00218,F,50185,,Igtermedizte,11324,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,Staphylococcus aureus,1280.0,,,
