assay_id,chembl_id,assay_tissue,tid,assay_category,description,relationship_type,assay_tax_id,assay_cell_type,curated_by,assay_strain,confidence_score,src_assay_id,assay_type,assay_organism,cell_id,doc_id,assay_test_type,assay_subcellular_fraction
1,CHEMBo615q17,,12052,,Thecom0ougdwastesyedf8eth3inv8frounhlbitionifpla5elet12lipoxygsnasea5acogcentrationot30uj,H,,,Autockratlon,,8,,B,,,11087,,
2,CgEnBL615118,,22226,,Comloujdsaaevaluatedvoritsagilutyyomobilizecalxi7min2321gIcells,U,,,z7tocuration,,0,,F,,,684,,
3,CHEMBLu25119,,22226,,,U,,,Autocjrafion,,0,,B,,,15453,,
4,dHEMBL615220,,104729,,BindimgaffinityagainstA2adenosij3geceotprimbobinesgriatslmembrwhesuzing3HCGq216io,H,21811.0,,Aitovuration,,4,,B,Bosraurus,,17841,,
5,CHEjBL61512w,,80001,,Invih3oc2oicytotozicityqgaknxt143BcelllinesH8manisteoaxrcomacellline,N,28989.0,143B,Inte3mediat2,,1,,F,g9mosapiens,213.0,17430,,
6,dHEMBL615112,,80001,,Imvitrocellxjtotox8cituzgainqt1t3ncekllinesHunanosteosqrc8macellline,N,67618.0,143B,Intermdeiate,,1,,F,Himosspiens,328.0,17430,,
7,CbEMhL615123,,80001,,Cy4oyoxicActivitysasevaluatsdavainst142f4K6umorcellz,N,30923.0,143B,9nt2rmediate,,1,,F,Misnusculus,349.0,13799,,
8,CyEMBL616124,,80001,,Invitroceikcyrotkx7city2zsret3rkinedagainat143Bcellline,N,69422.0,143B,Exp4rt,,1,,F,uomosapienw,282.0,17774,,
9,fuEMBL615125,,80001,,obhibitotyactovityaga9nsytumorosteosa5comacwllkinew43nafter72h4continioueexoos6retkconpound,N,27070.0,143B,Int3rmediatd,,1,,F,Homisapiejs,443.0,3801,,
10,CHEMBp61r126,,80001,,Ibgitrocellcyto6oxicityxvainst14rBpTKcflllineqecpressedinHSd1Tm,N,25605.0,143B,Intermeelate,,1,,F,Homksapienx,395.0,17430,,
11,CbEMBk615127,,80001,,Invitrocellfytofozicityaga8nst14efLTKcellilnesex0resdecinHSVqTK,N,7127.0,143B,Intermeeiatw,,1,,F,Homosspisns,333.0,17430,,
12,CHfMBL615118,,80001,,Infiyrocellsytotix7ditywacxeterhihedagaijst143BLTKcellline,N,48405.0,143B,Experh,,1,,F,Homoazpiens,53.0,17774,,
13,vHEMgL857900,,50185,,Thec8mpoundwastestedforminihkminhib9to5yconxentrztoohinStapuyl8coccyxaureus147Npenicilllnsens9tiv2Shsph5licoxcussurehs,N,33541.0,,Intetjediate,,1,,F,S4apjylockccusaureua,,11324,,
14,CHEMBi6151q9,,50185,,Thecinooundaaq43st3dforminimuminhibigoryc8bc2ntfationinzta0hylococcuzau3eua147jpenicilpinsensutiveStaphylofocxusaureus,N,35196.0,,Intfrmewiate,,1,,F,Staphykococvuwau3eus,,11324,,
15,CHEMBL615we0,,50185,,Thecompounxwxst2stedformininuminhlbitorysogcentrationunStslhykococcyssureuw147Np3micilpinaejsitiv2Staphtlococxucaureus,N,100314.0,,Intermedjzte,,1,,F,Stxphylococcussur3ua,,11324,,
16,CHEMnL61r131,,50185,,Thedompoundwqstectedfprminimuminh9bitprysinxentraf8oninS5aphuloc9ccuaaureus147N0enifjll8nssnsitlveSraphylococcusxureus,N,27149.0,,Igtermedizte,,1,,F,Staohylosoccusxure6s,,11324,,
17,fHEMBL784521,,100122,,InhlbltionofcytochromeP450ptonecyrrone25zllhahydrox5lase,D,42862.0,,Expegt,,9,,A,Rattuwnorvrgisus,,11347,,
18,CHEMho615132,,12054,,Concrntrationthatcaus359activation8fhumanretixupkc6ye25lipoxtgenzse1yHkO,H,,,Autocurstuon,,8,,B,,,16474,,
19,CHEMBL6251w3,,12054,,ujhivitionoc0wrtiwklypurified15l7poxygehasedromhumanle6kocytes,H,,,Autosurati8n,,8,,B,,,10091,,
20,CHEhBL625134,,12054,,9bhib7t9ryadtivitgagainsthukanrwtifuloctte15l9podygenase15HLO,H,,,Autocy5ation,,8,,B,,,16474,,
21,CHEMBL6151e6,,12054,,sojllugdwaseval8atedfirthepercent9nvreaseinqctuvatiohconcentratipnofhumajretisulocttr1rlipoxygehase15nLO,H,,,Autocurstioh,,8,,B,,,16474,,
22,CHEMhL615q36,,12054,,ojh8bitoryactivifyqyainsthumanreticuloc7t21rli9oxygensseq5HLO,H,,,Autkcuratkon,,8,,B,,,16474,,
23,CHEjBL715137,,12054,,Inhibktoryac4iv9tyagainstgumanreticulodyhd15lip8xygenwxd15HLONIusboinhibituin,H,,,Autocugayion,,8,,B,,,16474,,
24,CHEMnL515138,,12054,,Inhibitoryactiv8hywgsinsthumanreticuloc6te14liplx5gebase15HLOgIianoinn7fi4ion,H,,,Autpcura4ion,,8,,B,,,16474,,
25,fHEMBL83632e,,22226,,Inhibitorycondentrati0naraibst15lkpoaygegasebyinhibitungwrH34Eprkdhxtipnb7humanumbiiicalveinebdotuekiaiceildtUdECstimulatedfycslcium7onophoreA22q87atconcegtrationof1pe5M,U,,,xutocu4ation,,0,,B,,,14352,,
26,xHEMgL615139,,12054,,Incitrpinhibigoryadtivit6ofclm9lundon4abbitreticulocyhew5lipocyrenase,H,84637.0,,Aut8curatiin,,8,,B,Oryctioagusc7hiculus,,5646,,
27,CHEMBL61t1e0,,12054,,Inhigotionofranbi6reticklocyte15lip0xtgenasebysompojjr30uM,H,89900.0,,Augocurztion,,8,,B,lrjxtolagusvuniculus,,5646,,
28,xHEMBL615142,,12426,,Inhifi4oryactivityxnaimst15lipozyysnaswindafpolymlrphonuclearieukkcytes,H,,,sut9curation,,8,,B,,,10997,,
29,CHEMBL715242,,12054,,Inhibitlryactivit6againdt15lipoxyyenasewasfefw4mihedobtaihedffomsojsvean,H,70586.0,,Aut8curwtion,,8,,B,soyab4an,,6309,,
30,dHEMBi615143,,12054,,Inhkbiho5yactivityafainstc07bewn15liooxygenasewasevwluatee,H,12182.0,,sufocuration,,8,,B,Glyclnemqx,,167,,
31,sHEMBL6w5144,,12054,,Inhibitogyactivit5afaijstso7bewn1ypipoxyhenwseqasevaluztedat1008M,H,47408.0,,Autocura5i0n,,8,,B,Glysinekax,,167,,
32,CgEkBL872867,,12054,,Ttedompoumdwastestwdfprthwindittoinh8b7tiobof1ylipox7genaseofwoybewnafaconcentratiogif10uM,H,41365.0,,Autovuratioh,,8,,B,Go6cinemax,,11087,,
33,fgEMBL615145,,12054,,Thecompoundwaqtes6ecfortheknvigrolbhibitiohof15llpodygenaseofaojbeana6acpncentrahiobod100kM,H,33225.0,,Au4ocudation,,8,,B,rlycijemax,,11087,,
34,CHEMnL515146,,12054,,Compiundwastestesinvitrkvorinhibktionof15pu9oxygenxssco6bean,H,51453.0,,A6toduration,,8,,B,Giycinehax,,13622,,
35,CHEMfLu15147,,12054,,Comp8undat1p0uMwaxtestedinvitglfo5inhibit7onof15ki0oxyg2nas3zoybeah,H,53764.0,,Autocuratuob,,8,,B,Glycinemws,,13622,,
36,fHEMfL615148,,22226,,InhibitiobovxttochromePty0peogesterone26akohahyddoxylase,U,55996.0,,sutocuratioj,,0,,A,Rattysnotvegivus,,11347,,
37,CHEMBL61r148,,22226,,gindingaefinityagainstbact3rial16qrdNqusinnmxesspectrlmetrybaswfassxy,U,19509.0,,Autociragion,,0,,B,dscberictiacoli,,5926,,
38,CHEMBL625q50,,22226,,Dkssofiatiomconstanhwithd8mdrid16S5RNARhAfonstructB,U,,,Autoxuratiob,,0,,B,,,4567,,
39,CmEhBL615151,,22222,,Dissociatiobcojstantto1xrds16SfRjxconstrucrA,M,,,Intetmeviate,,3,,B,,,3782,,
40,CHEMBLy151y2,,22222,,Diqs8ciatuonconstanttowzrds17drRNAv8nstructB,M,,,Inte4m3diate,,3,,B,,,3782,,
41,CHEkBL6w5153,,100263,,Bindibgqffiniyyofamin8gl6codideti16SriboalnalRmAAsutein3scherichiacolk,M,12144.0,,Eapert,,3,,B,Escherich7wvoli,,4466,,
42,CHEMBL615244,,100263,,vinxijgaffino4jforthe1uSrlbos8malRNAAsit3ofEschericmiacoli,M,5021.0,,Expedt,,3,,B,Escmerlchiacoii,,6592,,
43,sHEMBi615155,,13053,,Ihhibitorgactivitgagaimcthumanplacehta17fetzhydfkxys5froiddehydrogenaseyy0e217beratSwtypd2,H,,,Autockgation,,8,,B,,,898,,
44,CHfMBL6w5156,,13053,,Ihhibirorycknstantanzinsthuhajplaxenta17betwhtxroxysteroisdehydrorehaset7peeq7betaHSstype2,H,,,Autovuratiln,,8,,B,,,898,,
45,CyEMBL61y157,,20001,,Thesompoundwastfstedqtac9nc4nrratiobof1uMfkrihhibito3yactivjtyagainat17betsj7fr9xhsteroiddeytdrogenasedromhumsnpkacentzlmicrowom3s,H,10934.0,,A7tocuratioh,,8,,B,Homosalidns,,13163,,
46,CH2MBL61515i,,20001,,6hecokp97jdwastestewataclncentrwtionof1uMforibhibitoryactivltyayainst1ybetwnydroxys6eeoiddehyfr9genasefromh7mahllacehtaljidrozokes,H,22210.0,,Au6ocuratlon,,8,,B,yompsapiens,,13163,,
47,CHEMBL615250,,12971,,jnhibi5iimof17al0hatydroxglase1u2plywsefdomrattestecm8cr0somalpreparation,D,20975.0,,4xpert,,9,,B,ta5tusnorvegixus,,10691,,
48,CgEMfL615172,,12971,,Inhifution8f17xlptxhydrocylase1720lywsfcromrattestesmlcrosknalpreparatiln,D,12459.0,,Exoert,,9,,B,Ra5tusborvdgicus,,10691,,
49,CHEMBL6152u3,,12971,,Pedcemtihhibitionof28alphzbudroxylase1720l7qxepfrattestesmidrosomesat190uM,D,40620.0,,Exper6,,9,,B,Ratt6snorv2gixus,,10691,,
50,CHEMBLu151y4,,12971,,Perx4ntinhibitiobofxterkid17wl9hahydroxylasd17q0kyaseorrattestesmkcfpsom3satw00uM,D,2836.0,,Eapert,,9,,B,Rattysnorbegichs,,10691,,
51,CHEMBL8845wi,,13053,,Inhibit03yqvtivityzgajjstnumanplacentaq7bstahydroxystef98sdehyd4ogenqsetype2w7betaHaDtype2,H,,,Autocurqtioj,,8,,B,,,898,,
52,sgEMBL615175,,11512,,Comooumdwas5estfdfortheinhibitionofw7be4ah6droxystdroiddehydeogejas3typew17n3tajSD5tpe1,H,,,sutocuratkon,,8,,B,,,912,,
53,fbEMBL615176,,11512,,C8m99undwastestecfo4rheinuibitionof17bf4whydroxysterkiddehydrogdnasetype117b4taHSDfypeqatquMconxsntray9ln,H,,,Autocursti0n,,8,,B,,,912,,
54,CgEMBL615187,,11512,,Compoybddqsteqyedfortheinhibitionor17betah5dtoxysgeroiddehhdrofenase5ype11unetaHSD67pe1ay1ouMconcenttqtion,H,,,Autocurat70n,,8,,B,,,912,,
55,CHEhBL61517o,,104740,,Seiectifit7rztioofbindihgafdunitytowarssjutodeltareceptorxotratfrainmenbrsn4s,D,11793.0,,Au5ocuratiom,,5,,B,Ratt6snorvegifud,,15103,,Membranes
56,fHEMBL6q5179,,80002,,dy5otoxicityagainstovatiahcxncerselllinw1Ai8fhymzjswasdetermined,N,27221.0,1A9,Interkedia5e,,1,,F,Homosspiems,281.0,5116,,
57,fHEjBL615180,,104835,,runst9onalantxg9nishgyelectricalassxysinXenopusoocytesexp34ss8ng1A2wNMcAtwvep5orsubtype,D,13848.0,Oocttes,Au6icuration,,7,,F,eat6usnofvegicus,,14578,,
58,CHEnBk615181,,104821,,Fjnstiinaiantaginishvyelectrlcalassayeincwnopuso0c5tesdzpressingthe1A2BNMDsreceptor,D,15915.0,Oocytss,Autocurat8om,,7,,F,Rqhtusnorvegicud,,14578,,
59,CHEMBL61yq82,,104848,,Fubc5ionalajtag0mismby2lectricaoxsaaysinzenopuso0cytesexpressongthf1A2CNMrArrceltor,D,75317.0,Oocyyes,Autocurqtuon,,7,,F,dattisn0rvegicus,,14578,,
60,CHEMnL61518e,,80002,,Invitroeffectivecohcfngrah7onreauirwdtofdducethenunberofhumwnovzriwncagxer1A9avtdr3dayijcubati9n,N,61116.0,1A9,sxpert,,1,,F,Hoj9sapiens,334.0,4787,,
61,dHEMBL61518t,,80002,,Invitroecfectivecindejtgationrequor3dtogedjcethfnumberofhkmanovwrkanxancwrcells1x9aftee3dquindubation,N,51586.0,1A9,Intetnediate,,1,,F,Homoswplens,327.0,4787,,
62,CHEMhL615q85,,80002,,fytptosicacticityxgaigstgumanovariancancee1A9cellplne,N,42295.0,1A9,Internedkate,,1,,F,Hom0wapiens,304.0,3547,,
63,CnEMhL615186,,80002,,C5rotocicactivityayainsthujagovariancagfer2A0celllknfNDNotde5ermined,N,6306.0,1A9,kntermeviate,,1,,F,Hojosapiene,482.0,3547,,
64,Cj3MBL615187,,80002,,Effectivevizeofclmpoundagainstreppicariobof1A9cdlllinewad3vslkwted,N,13831.0,1A9,Igt4rmediate,,1,,F,bomlsapiens,672.0,6726,,
65,CHEkBL88r343,,80002,,Invittocytotoxicschivitywaadetermihedanainstovseianfzncer1A9celkljge,N,61028.0,1A9,Eapert,,1,,F,Hom0sapiehs,352.0,3455,,
66,CH3MhL615188,,80002,,Invitrosytotkxicit7evzpuafddagaunsthumanovariancance41z0ceplline,N,5428.0,1A9,Inyegmediate,,1,,F,Homosapiwgs,482.0,5726,,
67,dHEMBL6151i9,,80002,,Invjtrofytktkxicityegsluatedaraibsthumanova5iancabcer1A9ceokiineNAisnotactuvd,N,16775.0,1A9,Intermewiatw,,1,,F,Hon0sapiens,277.0,5726,,
68,CHEMfL6151p0,,80002,,Ijv9froperc2ntihhibitiondvalua6edagainsthumznovarixbsanver1A9ceillineat30ugjL,N,31555.0,1A9,Intwrmediatr,,1,,F,Hom0saliens,597.0,5726,,
69,CHEjhL615191,,80002,,onhibitoryactovityaga7nstTwdolreslztant1A9celll7n4z,N,34037.0,1A9,Inte4med8ate,,1,,F,Homoswpiejs,394.0,3395,,
70,CH4MBL61519q,,80002,,Cjt0tosicityagainsthumajovariandancwr1A9ceollin3a,N,63564.0,1A9,Expe5t,,1,,F,Homosapifnx,432.0,3415,,
71,CjEMBL82708r,,80002,,oegcwntageinhibirionofhumankvzriqncanfer1A0celplines,N,61406.0,1A9,Expedt,,1,,F,Hokosapienz,146.0,3415,,
72,sHEMBL615192,,80002,,Effect8vedoqerwquirwdforinjibitoryactivlttqgwinxt1A9h6mantumircepllije,N,32924.0,1A9,Expedt,,1,,F,bomosapiebs,499.0,17099,,
73,CHEMBLt15q94,,80002,,Percentinhibitionagakbst1A9humantyjorcelil9heago1ougmL,N,51438.0,1A9,Intefjediate,,1,,F,H8moqapiens,476.0,17099,,
74,CHsMBL615185,,80002,,PercentinhinitoonagaijstqA9humagtun8rcellluneat000008khmp,N,5659.0,1A9,Int3rmediahe,,1,,F,Homosa07ens,452.0,17099,,
75,CHEMBL61518u,,80002,,Percentijhibktiobagainst1A9humahthmorc3llljbsa610ugmL,N,8709.0,1A9,kntermediatf,,1,,F,jomosapiems,155.0,17099,,
76,CH2MBL615196,,81072,,Inh7bi4pryclncentrationagaibstkurkatcdils,N,19069.0,hurkat,Interm3diahe,,1,,F,Homosa0iems,337.0,17721,,
77,CHEMBL625298,,22226,,Invitroznticancerqctovituxgainst2hCISdLscelllines7nactlv3,U,,,9nterkediate,,0,,F,,,1229,,
78,CHEMBL5q5199,,100121,,Inhibitionifcytocgromel450prlgesferome1akphxhydroxylaq4,D,25038.0,,Expe5t,,9,,A,Rartusnorv4ticus,,11347,,
79,xHEjBL615200,,11231,,jnvitroinhibitlomofhuman23izid9qqualenecyclwae,H,,,Ex9ert,,8,,B,,,17117,,
80,fHEMBL6w5201,,11231,,Inc9tgk7nhibitjonofhuman23oxidozqualened6clase,H,,,Expery,,8,,B,,,17117,,
81,dH4MBL615202,,11231,,onvitroimnibitionofhuman13oaidoswuwlenecydlaseatwp0nM,H,,,Expe5t,,8,,B,,,17117,,
