assay_id,assay_test_type,chembl_id,assay_strain,assay_cell_type,doc_id,description,assay_type,assay_category,assay_organism,assay_tax_id,assay_tissue,assay_subcellular_fraction,tid
1,,CHEMBo6151w7,,,11087,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,B,,,,,,12052
2,,CHEMBL61y11i,,,684,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,F,,,,,,22226
3,,dHEMBL615w19,,,15453,,B,,,,,,22226
4,,CuEMBL614120,,,17841,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,B,,Bos taurus,9913.0,,,104729
5,,CHEMBL61511w,,143B,17430,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),F,,Homo sapiens,9606.0,,,80001
6,,CHEMvL61y122,,143B,17430,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),F,,Homo sapiens,9606.0,,,80001
7,,vHEMBL615223,,143B,13799,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,F,,Mus musculus,10090.0,,,80001
8,,CHEkBL61512r,,143B,17774,In vitro cell cytotoxicity was determined against 143B cell line,F,,Homo sapiens,9606.0,,,80001
9,,CHEMfLy15125,,143B,3801,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,F,,Homo sapiens,9606.0,,,80001
10,,sHEMBL61t126,,143B,17430,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,F,,Homo sapiens,9606.0,,,80001
11,,CHEMBi61512u,,143B,17430,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,F,,Homo sapiens,9606.0,,,80001
12,,CHEMnL61t128,,143B,17774,In vitro cell cytotoxicity was determined against 143B-LTK cell line,F,,Homo sapiens,9606.0,,,80001
13,,CHEMBk85i900,,,11324,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",F,,Staphylococcus aureus,1280.0,,,50185
14,,CbEkBL615129,,,11324,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",F,,Staphylococcus aureus,1280.0,,,50185
15,,CH2MBLy15130,,,11324,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",F,,Staphylococcus aureus,1280.0,,,50185
16,,CHEMBL515231,,,11324,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",F,,Staphylococcus aureus,1280.0,,,50185
17,,CH4MBL8845e1,,,11347,Inhibition of cytochrome P450 progesterone 15-alpha hydroxylase,A,,Rattus norvegicus,10116.0,,,100122
18,,CHEMBL715142,,,16474,Concentration that cause 50% activation of human reticulocyte 15-lipoxygenase (15-HLO),B,,,,,,12054
19,,CHEMBo616133,,,10091,Inhibition of partially purified 15-lipoxygenase from human leukocytes,B,,,,,,12054
20,,CHEMBi615124,,,16474,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),B,,,,,,12054
21,,CHEMBL6w5134,,,16474,Compound was evaluated for the percent increase in activation concentration of human reticulocyte 15-lipoxygenase (15-HLO),B,,,,,,12054
22,,CHEMBL62r136,,,16474,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),B,,,,,,12054
23,,fHfMBL615137,,,16474,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,B,,,,,,12054
24,,CHEMBL6wt138,,,16474,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,B,,,,,,12054
25,,CHEMBL83732e,,,14352,"Inhibitory concentration against 15-lipoxygenase, by inhibiting 15-HETE production by human umbilical vein endothelial cells (HUVEC) stimulated by calcium ionophore A 23187 at concentration of 10e-5 M.",B,,,,,,22226
26,,xHEMBL61513i,,,5646,In vitro inhibitory activity of compound on rabbit reticulocyte 15-lipoxygenase,B,,Oryctolagus cuniculus,9986.0,,,12054
27,,CjEMBL61t140,,,5646,Inhibition of rabbit reticulocyte 15-lipoxygenase by compound (30 uM),B,,Oryctolagus cuniculus,9986.0,,,12054
28,,sHEMBL6w5141,,,10997,Inhibitory activity against 15-lipoxygenase in rat polymorphonuclear leukocytes,B,,,,,,12426
29,,CHEMBL614141,,,6309,Inhibitory activity against 15-lipoxygenase was determined obtained from soya bean,B,,soya bean,3847.0,,,12054
30,,CHEhBL6q5143,,,167,Inhibitory activity against soybean 15-lipoxygenase was evaluated,B,,Glycine max,3847.0,,,12054
31,,CHEMhL61514t,,,167,Inhibitory activity against soybean 15-lipoxygenase was evaluated at 100 uM,B,,Glycine max,3847.0,,,12054
32,,CHEMBou72867,,,11087,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 10 uM,B,,Glycine max,3847.0,,,12054
33,,dHEMBL615155,,,11087,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 100 uM,B,,Glycine max,3847.0,,,12054
34,,CbEhBL615146,,,13622,Compound was tested in vitro for inhibition of 15-lipoxygenase soybean,B,,Glycine max,3847.0,,,12054
35,,CHEMhL615w47,,,13622,Compound at 100 uM was tested in vitro for inhibition of 15-lipoxygenase soybean,B,,Glycine max,3847.0,,,12054
36,,CHEMhL615149,,,11347,Inhibition of cytochrome P450 progesterone 16-alpha hydroxylase,A,,Rattus norvegicus,10116.0,,,22226
37,,CHEkBL615q49,,,5926,Binding affinity against bacterial 16S rRNA using mass spectrometry based assay,B,,Escherichia coli,562.0,,,22226
38,,CHEjBL61515o,,,4567,Dissociation constant with dimeric 16S rRNA RNA construct B,B,,,,,,22226
