film_id,categoria_id,nome,titolo,descrizione,data_rilascio,lingua,lingua_originale_id,durata_noleggio,tariffa_noleggio,durata,costo_sostituzione,voto
501,1,Action,KISSING DOLLS,A Insightful Reflection of a Pioneer And a Teacher who must Build a Composer in The First Manned Space Station,2006,English,,3,4.99,141,9.99,R
794,1,Action,SIDE ARK,A Stunning Panorama of a Crocodile And a Womanizer who must Meet a Feminist in The Canadian Rockies,2006,English,,5,0.99,52,28.99,G
968,1,Action,WEREWOLF LOLA,A Fanciful Story of a Man And a Sumo Wrestler who must Outrace a Student in A Monastery,2006,English,,6,4.99,79,19.99,G
329,1,Action,FORREST SONS,A Thrilling Documentary of a Forensic Psychologist And a Butler who must Defeat a Explorer in A Jet Boat,2006,English,,4,2.99,63,15.99,R
318,1,Action,FIREHOUSE VIETNAM,A Awe-Inspiring Character Study of a Boat And a Boy who must Kill a Pastry Chef in The Sahara Desert,2006,English,,7,0.99,103,14.99,G
56,1,Action,BAREFOOT MANCHURIAN,A Intrepid Story of a Cat And a Student who must Vanquish a Girl in An Abandoned Amusement Park,2006,English,,6,2.99,129,15.99,G
417,1,Action,HILLS NEIGHBORS,A Epic Display of a Hunter And a Feminist who must Sink a Car in A U-Boat,2006,English,,5,0.99,93,29.99,G
982,1,Action,WOMEN DORADO,A Insightful Documentary of a Waitress And a Butler who must Vanquish a Composer in Australia,2006,English,,4,0.99,126,23.99,R
194,1,Action,CROW GREASE,A Awe-Inspiring Documentary of a Woman And a Husband who must Sink a Database Administrator in The First Manned Space Station,2006,English,,6,0.99,104,22.99,PG
748,1,Action,RUGRATS SHAKESPEARE,A Touching Saga of a Crocodile And a Crocodile who must Discover a Technical Writer in Nigeria,2006,English,,4,0.99,109,16.99,PG-13
375,1,Action,GRAIL FRANKENSTEIN,A Unbelieveable Saga of a Teacher And a Monkey who must Fight a Girl in An Abandoned Mine Shaft,2006,English,,4,2.99,85,17.99,NC-17
927,1,Action,UPRISING UPTOWN,A Fanciful Reflection of a Boy And a Butler who must Pursue a Woman in Berlin,2006,English,,6,2.99,174,16.99,NC-17
911,1,Action,TRIP NEWTON,A Fanciful Character Study of a Lumberjack And a Car who must Discover a Cat in An Abandoned Amusement Park,2006,English,,7,4.99,64,14.99,PG-13
97,1,Action,BRIDE INTRIGUE,A Epic Tale of a Robot And a Monkey who must Vanquish a Man in New Orleans,2006,English,,7,0.99,56,24.99,G
838,1,Action,STAGECOACH ARMAGEDDON,A Touching Display of a Pioneer And a Butler who must Chase a Car in California,2006,English,,5,4.99,112,25.99,R
229,1,Action,DEVIL DESIRE,A Beautiful Reflection of a Monkey And a Dentist who must Face a Database Administrator in Ancient Japan,2006,English,,6,4.99,87,12.99,R
707,1,Action,QUEST MUSSOLINI,A Fateful Drama of a Husband And a Sumo Wrestler who must Battle a Pastry Chef in A Baloon Factory,2006,English,,5,2.99,177,29.99,R
