class,name,addr,id,phone,city,type
class,name,addr,id,phone,city,type
0,` arnie morton \ 's of chicago ',' 435 s. la cienega blv . ',0,310/246 -1501,` los angeles ',american
1,` art \ 's delicatessen ',' 12224 ventura blvd. ',1,818/762 -1221,` studio city ',american
2,` hotel bel-air ',' 701 stone canyon rd. ',2,310/472 -1211,` bel air ',californian
3,` cafe bizou ',' 14016 ventura blvd. ',3,818/788 -3536,` sherman oaks ',french
4,campanile,' 624 s. la brea ave. ',4,213/938 -1447,` los angeles ',american
5,` chinois on main ',' 2709 main st. ',5,310/392 -9025,` santa monica ',french
6,citrus,' 6703 melrose ave. ',6,213/857 -0034,` los angeles ',californian
7,fenix,' 8358 sunset blvd. west ',7,213/848 -6677,hollywood,american
8,granita,' 23725 w. malibu rd. ',8,310/456 -0488,malibu,californian
9,` grill on the alley ',' 9560 dayton way ',9,310/276 -0615,` los angeles ',american
10,` restaurant katsu ',' 1972 n. hillhurst ave. ',10,213/665 -1891,` los angeles ',asian
11,` l \ ` orangerie ',' 903 n. la cienega blvd. ',11,310/652 -9770,` los angeles ',french
12,` le chardonnay ',' 8284 melrose ave. ',12,213/655 -8880,` los angeles ',french
13,` locanda veneta ',' 3rd st. ',13,310/274 -1893,` los angeles ',italian
14,matsuhisa,' 129 n. la cienega blvd. ',14,310/659 -9639,` beverly hills ',asian
15,` the palm ',' 9001 santa monica blvd. ',15,310/550 -8811,` los angeles ',american
16,patina,' 5955 melrose ave. ',16,213/467 -1108,` los angeles ',californian
17,` philippe \ 's the original ',' 1001 n. alameda st. ',17,213/628 -3781,` los angeles ',american
18,` pinot bistro ',' 12969 ventura blvd. ',18,818/990 -0500,` los angeles ',french
19,` rex il ristorante ',' 617 s. olive st. ',19,213/627 -2300,` los angeles ',italian
20,spago,' 1114 horn ave. ',20,310/652 -4025,` los angeles ',californian
21,valentino,' 3115 pico blvd. ',21,310/829 -4313,` santa monica ',italian
22,` yujean kang \ 's gourmet chinese cuisine ','67 n. raymond ave. ',22,818/585 -0855,` los angeles ',asian
23,'21 club ','21 w. 52nd st. ',23,212/582 -7200,` new york ',american
24,aquavit,'13 w. 54th st. ',24,212/307 -7311,` new york ',continental
25,aureole,'34 e. 61st st. ',25,' 212 / 319-1660 ',` new york ',american
26,` cafe lalo ',' 201 w. 83rd st. ',26,212/496 -6031,` new york ',` coffee bar '
27,` cafe des artistes ',' 1 w. 67th st. ',27,212/877 -3500,` new york ',continental
28,` carmine \ 's ',' 2450 broadway between 90th and 91st sts . ',28,212/362 -2200,` new york ',italian
29,` carnegie deli ',' 854 7th ave. between 54th and 55th sts . ',29,212/757 -2245,` new york ',delicatessen
30,chanterelle,' 2 harrison st. near hudson st. ',30,212/966 -6960,` new york ',american
31,daniel,'20 e. 76th st. ',31,212/288 -0033,` new york ',french
32,dawat,' 210 e. 58th st. ',32,212/355 -7555,` new york ',asian
