assays_chmbl_d,assays_cnfdnc_scr,assays_cll_d,assays_src_d,assays_ss_strn,assays_ss_ctgr,assays_src_ss_d,assays_ss_tp,assays_ss_d,assays_crtd_b,assays_b_frmt,assays_tss_d,assays_rltnshp_tp,assays_ss_rgnsm,assays_ss_tss,assays_ss_tx_d,assays_ss_cll_tp,assays_ss_tst_tp,assays_vrnt_d,assays_dc_d,assays_td,assays_ss_sbclllr_frctn,assays_dscrptn
CHEMBL618647,1,,1,,,,A,7524,Intermediate,BAO_0000218,2113.0,N,Rattus norvegicus,Kidney,10116.0,,In vivo,,9866,50597,,Biodistribution in normal rat kidney in the presence of 0.005 M Gd/0.01 M lig at 2 hr
CHEMBL618648,1,,1,,,,A,7525,Intermediate,BAO_0000218,2113.0,N,Rattus norvegicus,Kidney,10116.0,,In vivo,,9866,50597,,Biodistribution in normal rat kidney in the presence of 0.01 M Gd/0.05 M lig
CHEMBL618649,1,,1,,,,A,7526,Intermediate,BAO_0000218,2113.0,N,Rattus norvegicus,Kidney,10116.0,,In vivo,,9866,50597,,Biodistribution in normal rat kidney in the presence of NAC Gd 0.01 M lig at 2 hr
CHEMBL618650,1,,1,,,,A,7527,Intermediate,BAO_0000218,2107.0,N,Rattus norvegicus,Liver,10116.0,,In vivo,,9866,50597,,Biodistribution in normal rat liver in the presence of 0.005 M Gd/0.01 M lig at 2 hr
CHEMBL618651,1,,1,,,,A,7528,Intermediate,BAO_0000218,2107.0,N,Rattus norvegicus,Liver,10116.0,,In vivo,,9866,50597,,Biodistribution in normal rat liver in the presence of 0.01 M Gd/0.05 M lig
CHEMBL876497,1,,1,,,,A,7529,Intermediate,BAO_0000218,2107.0,N,Rattus norvegicus,Liver,10116.0,,In vivo,,9866,50597,,Biodistribution in normal rat liver in the presence of NAC Gd 0.01 M lig at 2 hr
CHEMBL618652,1,,1,,,,A,7530,Intermediate,BAO_0000218,2048.0,N,Rattus norvegicus,Lung,10116.0,,In vivo,,9866,50597,,Biodistribution in normal rat lung in the presence of 0.005 M Gd/0.01 M lig at 2 hr
CHEMBL618653,1,,1,,,,A,7531,Intermediate,BAO_0000218,2048.0,N,Rattus norvegicus,Lung,10116.0,,In vivo,,9866,50597,,Biodistribution in normal rat lung in the presence of 0.01 M Gd/0.05 M lig
CHEMBL618654,1,,1,,,,A,7532,Intermediate,BAO_0000218,2048.0,N,Rattus norvegicus,Lung,10116.0,,In vivo,,9866,50597,,Biodistribution in normal rat lung in the presence of NAC Gd 0.01 M lig at 2 hr
CHEMBL618655,1,,1,,,,A,7533,Intermediate,BAO_0000218,,N,Rattus norvegicus,,10116.0,,,,6351,50597,,Recovery rate from urine and bile was determined after iv administration at 20 mg/kg in rats; Not tested
CHEMBL618656,1,,1,,,,A,7534,Intermediate,BAO_0000218,,N,Rattus norvegicus,,10116.0,,,,1465,50597,,Compound was tested for solubility in water
CHEMBL618657,0,,1,,,,P,7535,Intermediate,BAO_0000100,,U,,,,,,,5182,22229,,Solubility in phosphate buffered saline (1% DMSO) at pH 6.5 (24 hr equilibration)
CHEMBL618658,1,,1,,,,A,7536,Intermediate,BAO_0000218,,N,Rattus norvegicus,,10116.0,,,,17847,50597,,Solubility was determined
CHEMBL618659,1,,1,,,,A,7537,Intermediate,BAO_0000218,,N,Rattus norvegicus,,10116.0,,,,15339,50597,,solubility in water (ug/mL) at 37 degree C.
CHEMBL618660,1,,1,,,,A,7538,Intermediate,BAO_0000218,,N,Rattus norvegicus,,10116.0,,,,5202,50597,,First pass metabolism and metabolic bioavailability using rat hepatic microsomes
CHEMBL618661,1,,1,,,,A,7539,Intermediate,BAO_0000218,,N,Rattus norvegicus,,10116.0,,,,1088,50597,,In vitro stability relative to (+)-AJ76 in rat hepatocyte assay
CHEMBL873807,1,,1,,,,A,7540,Intermediate,BAO_0000218,,N,Rattus norvegicus,,10116.0,,,,3169,50597,,Half life in rats
CHEMBL618662,1,,1,,,,A,7541,Intermediate,BAO_0000218,,N,Rattus norvegicus,,10116.0,,,,5353,50597,,Half life in Dawley rat
CHEMBL618663,1,,1,,,,A,7542,Intermediate,BAO_0000218,,N,Rattus norvegicus,,10116.0,,In vivo,,2864,50597,,Half life period after 3 mg/kg iv administration
CHEMBL618664,1,,1,,,,A,7543,Intermediate,BAO_0000218,,N,Rattus norvegicus,,10116.0,,In vivo,,2864,50597,,Half life period after 3 mg/kg iv administration in rat
CHEMBL618665,1,,1,,,,A,7544,Intermediate,BAO_0000218,,N,Rattus norvegicus,,10116.0,,In vivo,,2864,50597,,Half life period after 3 mg/kg iv administration in the rat
CHEMBL876498,1,,1,,,,A,7545,Intermediate,BAO_0000218,,N,Rattus norvegicus,,10116.0,,,,6362,50597,,Half life period in female Sprague-Dawley rats
CHEMBL618666,1,,1,,,,A,7546,Intermediate,BAO_0000218,,N,Rattus norvegicus,,10116.0,,,,6249,50597,,Half life period in rat
CHEMBL620440,1,,1,,,,A,7547,Intermediate,BAO_0000218,,N,Rattus norvegicus,,10116.0,,,,3169,50597,,Half-life in rats was determined
CHEMBL620441,1,,1,,,,A,7548,Intermediate,BAO_0000218,,N,Rattus norvegicus,,10116.0,,,,3169,50597,,Half-life in rats with metabolic oxidation
CHEMBL620442,1,,1,,,,A,7549,Intermediate,BAO_0000218,,N,Rattus norvegicus,,10116.0,,,,3169,50597,,Half-life in rats
CHEMBL620443,1,,1,,,,A,7550,Intermediate,BAO_0000218,,N,Rattus norvegicus,,10116.0,,In vivo,,17260,50597,,T 1/2 at a dose of 10 mg/Kg administered intravenously in female hanover-wistar rat
CHEMBL620444,1,,1,,,,A,7551,Intermediate,BAO_0000218,,N,Rattus norvegicus,,10116.0,,In vivo,,17260,50597,,T 1/2 at a dose of 10 mg/Kg administered perorally in female hanover-wistar rat
CHEMBL620445,1,,1,,,,A,7552,Intermediate,BAO_0000218,,N,Rattus norvegicus,,10116.0,,In vivo,,17260,50597,,T max at a dose of 10 mg/Kg administered intravenously in female hanover-wistar rat
CHEMBL620446,1,,1,,,,A,7553,Intermediate,BAO_0000218,,N,Rattus norvegicus,,10116.0,,In vivo,,17260,50597,,T max at a dose of 10 mg/Kg administered perorally in female hanover-wistar rat
CHEMBL620447,1,,1,,,,A,7554,Intermediate,BAO_0000218,1969.0,N,Rattus norvegicus,Plasma,10116.0,,,,2879,50597,,Biological half-life measured in plasma of rat
CHEMBL621129,1,,1,,,,A,7555,Intermediate,BAO_0000218,1969.0,N,Rattus norvegicus,Plasma,10116.0,,,,2879,50597,,Biological half-life measured in plasma of rat; 22-25
CHEMBL621130,1,,1,,,,A,7556,Intermediate,BAO_0000218,1969.0,N,Rattus norvegicus,Plasma,10116.0,,,,2879,50597,,Biological half-life measured in plasma of rat; 9-16
CHEMBL873808,1,,1,,,,A,7557,Intermediate,BAO_0000218,,N,Rattus norvegicus,,10116.0,,In vivo,,3184,50597,,Compound was evaluated for its half life when administered intravenously in rat
CHEMBL876598,1,,1,,,,A,7558,Intermediate,BAO_0000218,,N,Rattus norvegicus,,10116.0,,In vivo,,4891,50597,,Compound was evaluated for pharmacokinetic parameter percent bioavailability at 8 h
CHEMBL621131,1,,1,,,,A,7559,Intermediate,BAO_0000218,,N,Rattus norvegicus,,10116.0,,In vivo,,429,50597,,Evaluated for pharmacokinetic parameter half-life in rat at the dose 50 mg/kg
CHEMBL621132,1,,1,,,,A,7560,Intermediate,BAO_0000218,,N,Rattus norvegicus,,10116.0,,In vivo,,5656,50597,,Half life (T1/2) after oral administration in rat
CHEMBL621133,1,,1,,,,A,7561,Intermediate,BAO_0000218,,N,Rattus norvegicus,,10116.0,,In vivo,,4413,50597,,Half life of compound after iv administration of 20 mg/kg dose in rat
CHEMBL621312,1,,1,,,,A,7562,Expert,BAO_0000218,,N,Rattus norvegicus,,10116.0,,In vivo,,3598,50597,,Half life of compound determined in rat after iv administration at a dose of 10 mg/kg
CHEMBL621313,1,,1,,,,A,7563,Intermediate,BAO_0000218,,N,Rattus norvegicus,,10116.0,,,,17267,50597,,Half life of compound was determined in rat
CHEMBL621314,1,,1,,,,A,7564,Intermediate,BAO_0000218,178.0,N,Rattus norvegicus,Blood,10116.0,,,,4727,50597,,Half life of compound was determined in rat blood
CHEMBL621315,1,,1,,,,A,7565,Intermediate,BAO_0000218,,N,Rattus norvegicus,,10116.0,,In vivo,,17651,50597,,Half life at 1 mg/kg was determined in rat
CHEMBL621316,1,,1,,,,A,7566,Intermediate,BAO_0000218,,N,Rattus norvegicus,,10116.0,,In vivo,,17651,50597,,Half life at 10 mg/kg was determined in rat
CHEMBL621317,1,,1,,,,A,7567,Intermediate,BAO_0000218,,N,Rattus norvegicus,,10116.0,,,,401,50597,,Half life in rats
CHEMBL621318,1,,1,,,,A,7568,Intermediate,BAO_0000218,,N,Rattus norvegicus,,10116.0,,,,4942,50597,,Half life in rats in hours
CHEMBL621319,1,,1,,,,A,7569,Intermediate,BAO_0000218,,N,Rattus norvegicus,,10116.0,,In vivo,,17735,50597,,Half life following 10 mg/kg intravenous or 50 mg/kg oral dosing in rats was determined
CHEMBL621377,1,,1,,,,A,7570,Intermediate,BAO_0000218,,N,Rattus norvegicus,,10116.0,,In vivo,,6056,50597,,Half life was calculated at a single intravenous administration of 20 mg/kg in rat
CHEMBL621378,1,,1,,,,A,7571,Intermediate,BAO_0000218,,N,Rattus norvegicus,,10116.0,,,,5213,50597,,Half life was determined
CHEMBL876599,1,,1,,,,A,7572,Intermediate,BAO_0000218,,N,Rattus norvegicus,,10116.0,,In vivo,,6616,50597,,Half life after i.v. administration
CHEMBL621379,1,,1,,,,A,7573,Intermediate,BAO_0000218,,N,Rattus norvegicus,,10116.0,,In vivo,,5937,50597,,Half life in rat after intravenous administration at a concentration 0.5 mg/kg
CHEMBL621380,1,,1,,,,A,7574,Intermediate,BAO_0000218,1969.0,N,Rattus norvegicus,Plasma,10116.0,,,,5819,50597,,Half life in rat plasma
