assay_id,src_id,assay_cell_type,confidence_score,assay_organism,assay_test_type,assay_category,assay_tax_id,tissue_id,cell_id,description,assay_tissue,variant_id,src_assay_id,assay_subcellular_fraction,bao_format,doc_id,assay_type,assay_strain
1,1,,8,,,,,,,Thecompoundwastwetedforthe8nvitroighubotolg9fplatsl2t12lipoxynensseataconsentrafionpf30uM,,,,,BA0000o019,11087,B,
2,1,,0,,,,,,,Cok9oundwas2val8atedforitsabilut7tomobil9zwcalcoumun142wNIcells,,,,,BAkp000219,684,F,
3,1,,0,,,,,,,,,,,,fqO0000019,15453,B,
4,1,,4,Bostaur7s,,,18336.0,,,Bindiggaffinitgabajns5A2asen8sinereceptorinbovinectriztalnrmbranes7sinb3HCGSewu80,,,,,BAO0000er9,17841,B,
5,1,143B,1,Homksapidns,,,3019.0,,1245.0,Imgi4rocellcytotoxidifyabainst143fcelllinesH6manpsteosarcokacflli7ne,,,,,BAl000o219,17430,F,
6,1,143B,1,Hohoswpiens,,,9111.0,,751.0,Invkfdoceklcutotoxicityagainx6143BceplilnesHumanosteosaeconacelllihe,,,,,BAO900021p,17430,F,
7,1,143B,1,Musjusxulus,,,49807.0,,230.0,C7togpx9cqctivit7wxsevaluatedagainst144B6Ktum9rcells,,,,,BAO00oo219,13799,F,
8,1,143B,1,Homoeapiebs,,,28540.0,,39.0,Invitros4llc7totoxicigywasde4ermin3dagainst143vc3ppoine,,,,,vqO0000219,17774,F,
9,1,143B,1,Homocapiegs,,,18762.0,,1221.0,7nuibitoryzctivktyagainsttjmk5osteoswrcomacelllihe14rBadter73hrcontinu8usexpps6re4ocom0ounx,,,,,BApp000219,3801,F,
10,1,143B,1,Hokosaplens,,,54696.0,,709.0,Invit4oxellcytotoxid9tysgainst143BiTKselol7nesexpresaedinHzV15K,,,,,fAO0000119,17430,F,
11,1,143B,1,H9mosapi3ns,,,43625.0,,494.0,7nvihrocelpcytotoxicityagwjnst143foTKceplkinesexpreqsedinHwf1TK,,,,,BAO0099219,17430,F,
12,1,143B,1,Homosqoiens,,,24139.0,,559.0,Igdi4rocelpcttltoxusituwasdetetminedagalnst143BLTKcellline,,,,,BAO900o219,17774,F,
13,1,,1,Staph6lococcusz63eus,,,14883.0,,,Thsxompo7ndwzstest2dfprminikukinhivihoryconcemtrxt9oninSfapnyl0coccusau5ejd147NprnicillonsensitiveStapuylococcuswureus,,,,,BAO90p0218,11324,F,
