ABV,Brew_Factory_Name,Style,Beer_Name,id
ABV,Brew_Factory_Name,Style,Beer_Name,id
7.50 %,TrÃ ¶ egs Brewing Company,American Amber / Red Ale,TrÃ ¶ egs Nugget Nectar,0
5.20 %,New Belgium Brewing,American Amber / Red Ale,Fat Tire Amber Ale,1
4.40 %,Stone Brewing Co. .,American Amber / Red Ale,Levitation Ale,2
8.10 %,Green Flash Brewing Co. .,American Amber / Red Ale,Green Flash Hop Head Red Ale,3
6.00 %,TrÃ ¶ egs Brewing Company,American Amber / Red Ale,TrÃ ¶ egs Hopback Amber Ale,4
6.20 %,Sierra Nevada Brewing Co. .,American Amber / Red Ale,Flipside Red IPA,5
6.75 %,Lagunitas Brewing Company,American Amber / Red Ale,Censored,6
6.80 %,Bear Republic Brewing Co. .,American Amber / Red Ale,Red Rocket Ale,7
8.00 %,Great Lakes Brewing Co. .,American Amber / Red Ale,Great Lakes Nosferatu,8
7.80 %,Lagunitas Brewing Company,American Amber / Red Ale,Lagunitas Imperial Red Ale,9
7.20 %,Maine Beer Company,American Amber / Red Ale,Zoe,10
5.30 %,Rogue Ales,American Amber / Red Ale,Santa 's Private Reserve Ale,11
8.65 %,Lagunitas Brewing Company,American Amber / Red Ale,Lagunitas Lucky 13 Mondo Large Red Ale,12
5.40 %,North Coast Brewing Co. .,American Amber / Red Ale,Ruedrich 's Red Seal Ale,13
5.80 %,Anderson Valley Brewing Company,American Amber / Red Ale,Boont Amber Ale,14
5.30 %,Rogue Ales,American Amber / Red Ale,American Amber Ale,15
5.80 %,Highland Brewing,American Amber / Red Ale,Highland Gaelic Ale,16
7.40 %,Cigar City Brewing,American Amber / Red Ale,Tocobaga Red Ale,17
5.50 %,Ballast Point Brewing Company,American Amber / Red Ale,Calico Copper Amber Ale,18
4.40 %,Breckenridge Brewery,American Amber / Red Ale,Avalanche Ale,19
7.00 %,Ithaca Beer Company,American Amber / Red Ale,CascaZilla,20
5.50 %,Full Sail Brewery & Tasting Room & Pub,American Amber / Red Ale,Full Sail Amber,21
5.10 %,Rogue Ales,American Amber / Red Ale,St. Rogue Red,22
6.10 %,Mendocino Brewing Company,American Amber / Red Ale,Red Tail Ale,23
6.10 %,Speakeasy Ales & Lagers,American Amber / Red Ale,Prohibition Ale,24
7.00 %,Sixpoint Brewery,American Amber / Red Ale,Global Warmer,25
6.80 %,Modern Times Beer,American Amber / Red Ale,Blazing World,26
7.00 %,Maine Beer Company,American Amber / Red Ale,Red Wheelbarrow,27
6.00 %,Anchor Brewing Company,American Amber / Red Ale,Anchor BigLeaf Maple Autumn Red,28
10.00 %,Ballast Point Brewing Company,American Amber / Red Ale,Tongue Buckler - Imperial Red Ale,29
6.00 %,New Belgium Brewing,American Amber / Red Ale,Red Hoptober,30
6.20 %,Rogue Ales,American Amber / Red Ale,Captain Sig 's Northwestern Ale,31
5.00 %,BrewDog,American Amber / Red Ale,Five AM,32
8.50 %,AleSmith Brewing Company,American Amber / Red Ale,YuleSmith ( Winter ),33
9.00 %,Port Brewing,American Amber / Red Ale,Shark Attack Double Red Ale,34
5.00 %,Switchback Brewing Company,American Amber / Red Ale,Switchback Ale,35
6.50 %,Odell Brewing Company,American Amber / Red Ale,Runoff Red IPA,36
5.40 %,Humboldt Brewing Co. .,American Amber / Red Ale,Red Nectar,37
6.80 %,Ale Asylum,American Amber / Red Ale,Ambergeddon,38
10.30 %,Terrapin Beer Company,American Amber / Red Ale,Terrapin Oaked Big Hoppy Monster,39
5.40 %,Weyerbacher Brewing Co. .,American Amber / Red Ale,AutumnFest,40
6.66 %,AleSmith Brewing Company,American Amber / Red Ale,AleSmith My Bloody Valentine,41
7.50 %,BridgePort Brewing Co. / Brewpub,American Amber / Red Ale,Kingpin Double Red Ale,42
6.90 %,The Bruery,American Amber / Red Ale,Loakal Red,43
8.00 %,Sierra Nevada Brewing Co. .,American Amber / Red Ale,Red-oric - Beer Camp # 65 ( Best Of Beer Camp : Imperial Red Ale ),44
5.80 %,Redhook Ale Brewery,American Amber / Red Ale,Redhook Copperhook,45
5.50 %,The Duck-Rabbit Craft Brewery,American Amber / Red Ale,Duck-Rabbit Amber Ale,46
5.70 %,Boston Beer Company ( Samuel Adams ),American Amber / Red Ale,Samuel Adams Mighty Oak Ale,47
6.90 %,Ninkasi Brewing Company,American Amber / Red Ale,Believer,48
5.70 %,Coronado Brewing Company,American Amber / Red Ale,Mermaid 's Red Ale,49
6.50 %,Mad River Brewing Company,American Amber / Red Ale,Jamaica Red Ale,50
6.10 %,Revolution Brewing Company,American Amber / Red Ale,Fistmas,51
5.50 %,Saint Arnold Brewing Company,American Amber / Red Ale,Saint Arnold Amber Ale,52
8.50 %,Grand Teton Brewing Co. .,American Amber / Red Ale,Pursuit Of Hoppiness,53
7.30 %,Local Option,American Amber / Red Ale,Mourning Wood,54
5.90 %,Coors Brewing Company,American Amber / Red Ale,Blue Moon Valencia Amber Ale,55
5.70 %,New Glarus Brewing Company,American Amber / Red Ale,Snowshoe Red Ale,56
6.50 %,Pipeworks Brewing Company,American Amber / Red Ale,Blood Of The Unicorn,57
6.66 %,AleSmith Brewing Company,American Amber / Red Ale,AleSmith Evil Dead Red,58
5.25 %,New Holland Brewing Company,American Amber / Red Ale,New Holland Sundog Amber Ale,59
5.30 %,Deschutes Brewery,American Amber / Red Ale,Cinder Cone Red,60
5.50 %,Dark Horse Brewing Company,American Amber / Red Ale,Dark Horse Amber Ale,61
5.70 %,Red Brick Brewing Company,American Amber / Red Ale,Laughing Skull Amber Ale,62
5.00 %,Widmer Brothers Brewing Company,American Amber / Red Ale,Drop Top Amber,63
5.90 %,Thirsty Dog Brewing Company,American Amber / Red Ale,Hoppus Maximus,64
8.00 %,Finch 's Beer Co. .,American Amber / Red Ale,Fascist Pig Ale,65
8.50 %,Sierra Nevada Brewing Co. .,American Amber / Red Ale,Blood Shot - Beer Camp # 95,66
7.00 %,Evil Twin Brewing,American Amber / Red Ale,Evil Twin Hop Flood,67
4.80 %,Florida Beer Company,American Amber / Red Ale,Key West Sunset Ale,68
5.50 %,Lost Coast Brewery and Cafe,American Amber / Red Ale,Alleycat Amber,69
5.20 %,Mac and Jack 's Brewery,American Amber / Red Ale,African Amber,70
5.00 %,Odell Brewing Company,American Amber / Red Ale,Odell Levity Amber Ale,71
6.50 %,Brewery Vivant,American Amber / Red Ale,Big Red Coq,72
7.00 %,Blue Point Brewing Company,American Amber / Red Ale,Blue Point Winter Ale,73
7.00 %,Flying Fish Brewing Company,American Amber / Red Ale,Red Fish,74
5.30 %,The Fort Collins Brewery,American Amber / Red Ale,Red Banshee,75
5.20 %,Deschutes Brewery,American Amber / Red Ale,Green Lakes Organic Ale,76
5.40 %,Coors Brewing Company,American Amber / Red Ale,Blue Moon Rising Moon Spring Ale,77
6.80 %,Heretic Brewing Company,American Amber / Red Ale,Evil Twin,78
4.90 %,Natty Greene 's Pub & Brewing Co. .,American Amber / Red Ale,Buckshot Amber Ale,79
5.50 %,O'Fallon Brewery,American Amber / Red Ale,Hemp Hop Rye,80
9.50 %,Two Brothers Brewing Company,American Amber / Red Ale,Revelry,81
5.15 %,Ska Brewing Co. .,American Amber / Red Ale,Pinstripe Red Ale,82
5.20 %,Coastal Extreme Brewing Co. .,American Amber / Red Ale,Newport Storm Hurricane Amber Ale,83
5.90 %,Redhook Ale Brewery,American Amber / Red Ale,Redhook Late Harvest Autumn Ale,84
9.00 %,Rogue Ales,American Amber / Red Ale,XS Imperial Red,85
5.60 %,Elysian Brewing Company,American Amber / Red Ale,The Men 's Room Ale,86
5.00 %,Belfast Bay Brewing Co. .,American Amber / Red Ale,Lobster Ale,87
5.30 %,Mayflower Brewing Company,American Amber / Red Ale,Mayflower Spring Hop,88
6.00 %,New Belgium Brewing,American Amber / Red Ale,Giddy Up !,89
