variant_id,cell_id,assay_strain,chembl_id,tissue_id,bao_format,src_assay_id,assay_category,assay_cell_type,assay_type,doc_id,assay_tax_id,tid,description,src_id,relationship_type,assay_id,assay_test_type,assay_organism,assay_tissue,confidence_score,assay_subcellular_fraction,curated_by
,,,CHEMBL618647,2113.0,BAO_0000218,,,,A,9866,10116.0,50597,Biodistribution in normal rat kidney in the presence of 0.005 M Gd/0.01 M lig at 2 hr,1,N,7524,In vivo,Rattus norvegicus,Kidney,1,,Intermediate
,,,CHEMBL618648,2113.0,BAO_0000218,,,,A,9866,10116.0,50597,Biodistribution in normal rat kidney in the presence of 0.01 M Gd/0.05 M lig,1,N,7525,In vivo,Rattus norvegicus,Kidney,1,,Intermediate
,,,CHEMBL618649,2113.0,BAO_0000218,,,,A,9866,10116.0,50597,Biodistribution in normal rat kidney in the presence of NAC Gd 0.01 M lig at 2 hr,1,N,7526,In vivo,Rattus norvegicus,Kidney,1,,Intermediate
,,,CHEMBL618650,2107.0,BAO_0000218,,,,A,9866,10116.0,50597,Biodistribution in normal rat liver in the presence of 0.005 M Gd/0.01 M lig at 2 hr,1,N,7527,In vivo,Rattus norvegicus,Liver,1,,Intermediate
,,,CHEMBL618651,2107.0,BAO_0000218,,,,A,9866,10116.0,50597,Biodistribution in normal rat liver in the presence of 0.01 M Gd/0.05 M lig,1,N,7528,In vivo,Rattus norvegicus,Liver,1,,Intermediate
,,,CHEMBL876497,2107.0,BAO_0000218,,,,A,9866,10116.0,50597,Biodistribution in normal rat liver in the presence of NAC Gd 0.01 M lig at 2 hr,1,N,7529,In vivo,Rattus norvegicus,Liver,1,,Intermediate
,,,CHEMBL618652,2048.0,BAO_0000218,,,,A,9866,10116.0,50597,Biodistribution in normal rat lung in the presence of 0.005 M Gd/0.01 M lig at 2 hr,1,N,7530,In vivo,Rattus norvegicus,Lung,1,,Intermediate
,,,CHEMBL618653,2048.0,BAO_0000218,,,,A,9866,10116.0,50597,Biodistribution in normal rat lung in the presence of 0.01 M Gd/0.05 M lig,1,N,7531,In vivo,Rattus norvegicus,Lung,1,,Intermediate
,,,CHEMBL618654,2048.0,BAO_0000218,,,,A,9866,10116.0,50597,Biodistribution in normal rat lung in the presence of NAC Gd 0.01 M lig at 2 hr,1,N,7532,In vivo,Rattus norvegicus,Lung,1,,Intermediate
,,,CHEMBL618655,,BAO_0000218,,,,A,6351,10116.0,50597,Recovery rate from urine and bile was determined after iv administration at 20 mg/kg in rats; Not tested,1,N,7533,,Rattus norvegicus,,1,,Intermediate
,,,CHEMBL618656,,BAO_0000218,,,,A,1465,10116.0,50597,Compound was tested for solubility in water,1,N,7534,,Rattus norvegicus,,1,,Intermediate
,,,CHEMBL618657,,BAO_0000100,,,,P,5182,,22229,Solubility in phosphate buffered saline (1% DMSO) at pH 6.5 (24 hr equilibration),1,U,7535,,,,0,,Intermediate
,,,CHEMBL618658,,BAO_0000218,,,,A,17847,10116.0,50597,Solubility was determined,1,N,7536,,Rattus norvegicus,,1,,Intermediate
,,,CHEMBL618659,,BAO_0000218,,,,A,15339,10116.0,50597,solubility in water (ug/mL) at 37 degree C.,1,N,7537,,Rattus norvegicus,,1,,Intermediate
