ASSI,CUB,ASSUBCELFRAC,ASTI,TISI,Desc,Ti,ASORG,DI,BAFO,ASSST,CONFISC,SI,SASI,CHEI,CI,VARI
7524,Intermediate,,Kidney,2113.0,Biodistribution in normal rat kidney in the presence of 0.005 M Gd/0.01 M lig at 2 hr,50597,Rattus norvegicus,9866,BAO_0000218,,1,1,,CHEMBL618647,,
7525,Intermediate,,Kidney,2113.0,Biodistribution in normal rat kidney in the presence of 0.01 M Gd/0.05 M lig,50597,Rattus norvegicus,9866,BAO_0000218,,1,1,,CHEMBL618648,,
7526,Intermediate,,Kidney,2113.0,Biodistribution in normal rat kidney in the presence of NAC Gd 0.01 M lig at 2 hr,50597,Rattus norvegicus,9866,BAO_0000218,,1,1,,CHEMBL618649,,
7527,Intermediate,,Liver,2107.0,Biodistribution in normal rat liver in the presence of 0.005 M Gd/0.01 M lig at 2 hr,50597,Rattus norvegicus,9866,BAO_0000218,,1,1,,CHEMBL618650,,
7528,Intermediate,,Liver,2107.0,Biodistribution in normal rat liver in the presence of 0.01 M Gd/0.05 M lig,50597,Rattus norvegicus,9866,BAO_0000218,,1,1,,CHEMBL618651,,
7529,Intermediate,,Liver,2107.0,Biodistribution in normal rat liver in the presence of NAC Gd 0.01 M lig at 2 hr,50597,Rattus norvegicus,9866,BAO_0000218,,1,1,,CHEMBL876497,,
7530,Intermediate,,Lung,2048.0,Biodistribution in normal rat lung in the presence of 0.005 M Gd/0.01 M lig at 2 hr,50597,Rattus norvegicus,9866,BAO_0000218,,1,1,,CHEMBL618652,,
7531,Intermediate,,Lung,2048.0,Biodistribution in normal rat lung in the presence of 0.01 M Gd/0.05 M lig,50597,Rattus norvegicus,9866,BAO_0000218,,1,1,,CHEMBL618653,,
7532,Intermediate,,Lung,2048.0,Biodistribution in normal rat lung in the presence of NAC Gd 0.01 M lig at 2 hr,50597,Rattus norvegicus,9866,BAO_0000218,,1,1,,CHEMBL618654,,
7533,Intermediate,,,,Recovery rate from urine and bile was determined after iv administration at 20 mg/kg in rats; Not tested,50597,Rattus norvegicus,6351,BAO_0000218,,1,1,,CHEMBL618655,,
7534,Intermediate,,,,Compound was tested for solubility in water,50597,Rattus norvegicus,1465,BAO_0000218,,1,1,,CHEMBL618656,,
7535,Intermediate,,,,Solubility in phosphate buffered saline (1% DMSO) at pH 6.5 (24 hr equilibration),22229,,5182,BAO_0000100,,0,1,,CHEMBL618657,,
7536,Intermediate,,,,Solubility was determined,50597,Rattus norvegicus,17847,BAO_0000218,,1,1,,CHEMBL618658,,
7537,Intermediate,,,,solubility in water (ug/mL) at 37 degree C.,50597,Rattus norvegicus,15339,BAO_0000218,,1,1,,CHEMBL618659,,
7538,Intermediate,,,,First pass metabolism and metabolic bioavailability using rat hepatic microsomes,50597,Rattus norvegicus,5202,BAO_0000218,,1,1,,CHEMBL618660,,
7539,Intermediate,,,,In vitro stability relative to (+)-AJ76 in rat hepatocyte assay,50597,Rattus norvegicus,1088,BAO_0000218,,1,1,,CHEMBL618661,,
7540,Intermediate,,,,Half life in rats,50597,Rattus norvegicus,3169,BAO_0000218,,1,1,,CHEMBL873807,,
7541,Intermediate,,,,Half life in Dawley rat,50597,Rattus norvegicus,5353,BAO_0000218,,1,1,,CHEMBL618662,,
7542,Intermediate,,,,Half life period after 3 mg/kg iv administration,50597,Rattus norvegicus,2864,BAO_0000218,,1,1,,CHEMBL618663,,
7543,Intermediate,,,,Half life period after 3 mg/kg iv administration in rat,50597,Rattus norvegicus,2864,BAO_0000218,,1,1,,CHEMBL618664,,
7544,Intermediate,,,,Half life period after 3 mg/kg iv administration in the rat,50597,Rattus norvegicus,2864,BAO_0000218,,1,1,,CHEMBL618665,,
7545,Intermediate,,,,Half life period in female Sprague-Dawley rats,50597,Rattus norvegicus,6362,BAO_0000218,,1,1,,CHEMBL876498,,
7546,Intermediate,,,,Half life period in rat,50597,Rattus norvegicus,6249,BAO_0000218,,1,1,,CHEMBL618666,,
7547,Intermediate,,,,Half-life in rats was determined,50597,Rattus norvegicus,3169,BAO_0000218,,1,1,,CHEMBL620440,,
7548,Intermediate,,,,Half-life in rats with metabolic oxidation,50597,Rattus norvegicus,3169,BAO_0000218,,1,1,,CHEMBL620441,,
7549,Intermediate,,,,Half-life in rats,50597,Rattus norvegicus,3169,BAO_0000218,,1,1,,CHEMBL620442,,
7550,Intermediate,,,,T 1/2 at a dose of 10 mg/Kg administered intravenously in female hanover-wistar rat,50597,Rattus norvegicus,17260,BAO_0000218,,1,1,,CHEMBL620443,,
7551,Intermediate,,,,T 1/2 at a dose of 10 mg/Kg administered perorally in female hanover-wistar rat,50597,Rattus norvegicus,17260,BAO_0000218,,1,1,,CHEMBL620444,,
