actor_id,film_id,title,description,release_year,language,original_language_id,rental_duration,rental_rate,length,replacement_cost,rating,first_name,last_name
51,525,LOATHING LEGALLY,A Boring Epistle of a Pioneer And a Mad Scientist who must Escape a Frisbee in The Gulf of Mexico,2006,English,,4,0.99,140,29.99,R,GARY,PHOENIX
51,490,JUMANJI BLADE,A Intrepid Yarn of a Husband And a Womanizer who must Pursue a Mad Scientist in New Orleans,2006,English,,4,2.99,121,13.99,G,GARY,PHOENIX
51,891,TIMBERLAND SKY,A Boring Display of a Man And a Dog who must Redeem a Girl in A U-Boat,2006,English,,3,0.99,69,13.99,G,GARY,PHOENIX
51,627,NORTH TEQUILA,A Beautiful Character Study of a Mad Cow And a Robot who must Reach a Womanizer in New Orleans,2006,English,,4,4.99,67,9.99,NC-17,GARY,PHOENIX
51,408,HEAD STRANGER,A Thoughtful Saga of a Hunter And a Crocodile who must Confront a Dog in The Gulf of Mexico,2006,English,,4,4.99,69,28.99,R,GARY,PHOENIX
73,77,BIRDS PERDITION,A Boring Story of a Womanizer And a Pioneer who must Face a Dog in California,2006,English,,5,4.99,61,15.99,G,GARY,PENN
73,667,PEACH INNOCENT,A Action-Packed Drama of a Monkey And a Dentist who must Chase a Butler in Berlin,2006,English,,3,2.99,160,20.99,PG-13,GARY,PENN
73,148,CHOCOLATE DUCK,A Unbelieveable Story of a Mad Scientist And a Technical Writer who must Discover a Composer in Ancient China,2006,English,,3,2.99,132,13.99,R,GARY,PENN
73,36,ARGONAUTS TOWN,A Emotional Epistle of a Forensic Psychologist And a Butler who must Challenge a Waitress in An Abandoned Mine Shaft,2006,English,,7,0.99,127,12.99,PG-13,GARY,PENN
73,946,VIRTUAL SPOILERS,A Fateful Tale of a Database Administrator And a Squirrel who must Discover a Student in Soviet Georgia,2006,English,,3,4.99,144,14.99,NC-17,GARY,PENN
73,379,GREEDY ROOTS,A Amazing Reflection of a A Shark And a Butler who must Chase a Hunter in The Canadian Rockies,2006,English,,7,0.99,166,14.99,R,GARY,PENN
73,565,MATRIX SNOWMAN,A Action-Packed Saga of a Womanizer And a Woman who must Overcome a Student in California,2006,English,,6,4.99,56,9.99,PG-13,GARY,PENN
30,77,BIRDS PERDITION,A Boring Story of a Womanizer And a Pioneer who must Face a Dog in California,2006,English,,5,4.99,61,15.99,G,SANDRA,PECK
30,286,ENOUGH RAGING,A Astounding Character Study of a Boat And a Secret Agent who must Find a Mad Cow in The Sahara Desert,2006,English,,7,2.99,158,16.99,NC-17,SANDRA,PECK
30,357,GILBERT PELICAN,A Fateful Tale of a Man And a Feminist who must Conquer a Crocodile in A Manhattan Penthouse,2006,English,,7,0.99,114,13.99,G,SANDRA,PECK
30,292,EXCITEMENT EVE,A Brilliant Documentary of a Monkey And a Car who must Conquer a Crocodile in A Shark Tank,2006,English,,3,0.99,51,20.99,G,SANDRA,PECK
30,838,STAGECOACH ARMAGEDDON,A Touching Display of a Pioneer And a Butler who must Chase a Car in California,2006,English,,5,4.99,112,25.99,R,SANDRA,PECK
10,782,SHAKESPEARE SADDLE,A Fast-Paced Panorama of a Lumberjack And a Database Administrator who must Defeat a Madman in A MySQL Convention,2006,English,,6,2.99,60,26.99,PG-13,CHRISTIAN,GABLE
10,587,MOD SECRETARY,A Boring Documentary of a Mad Cow And a Cat who must Build a Lumberjack in New Orleans,2006,English,,6,4.99,77,20.99,NC-17,CHRISTIAN,GABLE
10,251,DRAGONFLY STRANGERS,A Boring Documentary of a Pioneer And a Man who must Vanquish a Man in Nigeria,2006,English,,6,4.99,133,19.99,NC-17,CHRISTIAN,GABLE
10,964,WATERFRONT DELIVERANCE,A Unbelieveable Documentary of a Dentist And a Technical Writer who must Build a Womanizer in Nigeria,2006,English,,4,4.99,61,17.99,G,CHRISTIAN,GABLE
10,1,ACADEMY DINOSAUR,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,2006,English,,6,0.99,86,20.99,PG,CHRISTIAN,GABLE
10,480,JEEPERS WEDDING,A Astounding Display of a Composer And a Dog who must Kill a Pastry Chef in Soviet Georgia,2006,English,,3,2.99,84,29.99,R,CHRISTIAN,GABLE
23,782,SHAKESPEARE SADDLE,A Fast-Paced Panorama of a Lumberjack And a Database Administrator who must Defeat a Madman in A MySQL Convention,2006,English,,6,2.99,60,26.99,PG-13,SANDRA,KILMER
23,536,LOVELY JINGLE,A Fanciful Yarn of a Crocodile And a Forensic Psychologist who must Discover a Crocodile in The Outback,2006,English,,3,2.99,65,18.99,PG,SANDRA,KILMER
23,649,OZ LIAISONS,A Epic Yarn of a Mad Scientist And a Cat who must Confront a Womanizer in A Baloon Factory,2006,English,,4,2.99,85,14.99,R,SANDRA,KILMER
23,117,CANDLES GRAPES,A Fanciful Character Study of a Monkey And a Explorer who must Build a Astronaut in An Abandoned Fun House,2006,English,,6,4.99,135,15.99,NC-17,SANDRA,KILMER
23,842,STATE WASTELAND,A Beautiful Display of a Cat And a Pastry Chef who must Outrace a Mad Cow in A Jet Boat,2006,English,,4,2.99,113,13.99,NC-17,SANDRA,KILMER
23,826,SPEED SUIT,A Brilliant Display of a Frisbee And a Mad Scientist who must Succumb a Robot in Ancient China,2006,English,,7,4.99,124,19.99,PG-13,SANDRA,KILMER
23,370,GORGEOUS BINGO,A Action-Packed Display of a Sumo Wrestler And a Car who must Overcome a Waitress in A Baloon Factory,2006,English,,4,2.99,108,26.99,R,SANDRA,KILMER
23,833,SPLENDOR PATTON,A Taut Story of a Dog And a Explorer who must Find a Astronaut in Berlin,2006,English,,5,0.99,134,20.99,R,SANDRA,KILMER
23,636,OLEANDER CLUE,A Boring Story of a Teacher And a Monkey who must Succumb a Forensic Psychologist in A Jet Boat,2006,English,,5,0.99,161,12.99,PG,SANDRA,KILMER
23,691,POSEIDON FOREVER,A Thoughtful Epistle of a Womanizer And a Monkey who must Vanquish a Dentist in A Monastery,2006,English,,6,4.99,159,29.99,PG-13,SANDRA,KILMER
