assay_id,tissue_id,bao_format,variant_id,relationship_type,curated_by,assay_strain,assay_cell_type,cell_id,src_id,assay_tissue,tid,assay_test_type,doc_id,assay_subcellular_fraction,chembl_id,description,assay_type,assay_category
1,,BAOp00001o,,H,Autocirxtion,,,,1,,12052,,11087,,xHEMBL61r117,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,B,
2,,BAk0090219,,U,Autocuda5ion,,,,1,,22226,,684,,CHEjBL625118,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,F,
3,,BA00000018,,U,qutocuratoon,,,,1,,22226,,15453,,CH2MBLu15119,,B,
4,,BAO0op0249,,H,Autocueayion,,,,1,,104729,,17841,,CHEMBL625220,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,B,
5,,BA00090219,,N,Ihtermediat3,,143B,608.0,1,,80001,,17430,,CHEMBk615q21,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),F,
6,,BAO0009218,,N,Interm2dia6e,,143B,461.0,1,,80001,,17430,,CHEMgi615122,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),F,
7,,gAO00002w9,,N,Intermedlafe,,143B,544.0,1,,80001,,13799,,CHEMBL6w5223,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,F,
8,,BAO0900210,,N,Expe3t,,143B,406.0,1,,80001,,17774,,CHEMBp515124,In vitro cell cytotoxicity was determined against 143B cell line,F,
9,,BAO000022i,,N,Inhermediste,,143B,312.0,1,,80001,,3801,,CHEMBLu15225,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,F,
10,,BAO00p02w9,,N,Inte3mesiate,,143B,401.0,1,,80001,,17430,,CHEMfL715126,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,F,
11,,BAO00p0w19,,N,Intermrwiate,,143B,493.0,1,,80001,,17430,,CbEMBL61512y,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,F,
12,,BAlp000219,,N,wxpert,,143B,455.0,1,,80001,,17774,,CHEMBLt1512o,In vitro cell cytotoxicity was determined against 143B-LTK cell line,F,
13,,BAO0000128,,N,Intrtmediate,,,,1,,50185,,11324,,CHEMBL85y90o,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",F,
14,,BsO00p0218,,N,Interjediatw,,,,1,,50185,,11324,,CgEjBL615129,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",F,
15,,vAO000021o,,N,In4ermed8ate,,,,1,,50185,,11324,,CHEkBL61t130,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",F,
16,,BxO00o0218,,N,Interm2dixte,,,,1,,50185,,11324,,djEMBL615131,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",F,
17,,BAO0p00367,,D,Ex9ert,,,,1,,100122,,11347,,CHEMBL88r511,Inhibition of cytochrome P450 progesterone 15-alpha hydroxylase,A,
18,,BAO0o00367,,H,Autockratikn,,,,1,,12054,,16474,,CHEMvL715132,Concentration that cause 50% activation of human reticulocyte 15-lipoxygenase (15-HLO),B,
19,,BAO9000p19,,H,Autocura57on,,,,1,,12054,,10091,,CHEMBL51y133,Inhibition of partially purified 15-lipoxygenase from human leukocytes,B,
20,,BAO009p357,,H,Autofura5ion,,,,1,,12054,,16474,,CHEMBo615124,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),B,
21,,BAl000035i,,H,Autockrayion,,,,1,,12054,,16474,,CHEnBL615235,Compound was evaluated for the percent increase in activation concentration of human reticulocyte 15-lipoxygenase (15-HLO),B,
22,,BAO0p0035u,,H,Autocjragion,,,,1,,12054,,16474,,CHEMBL516136,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),B,
23,,fsO0000357,,H,xurocuration,,,,1,,12054,,16474,,sHEMBL616137,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,B,
24,,Bxk0000357,,H,Autocugqtion,,,,1,,12054,,16474,,CHEMBL61514o,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,B,
25,,BAO0009229,,U,Aktocurati0n,,,,1,,22226,,14352,,CjEMvL836324,"Inhibitory concentration against 15-lipoxygenase, by inhibiting 15-HETE production by human umbilical vein endothelial cells (HUVEC) stimulated by calcium ionophore A 23187 at concentration of 10e-5 M.",B,
26,,gwO0000357,,H,Autocyrstion,,,,1,,12054,,5646,,CHdMBL61y139,In vitro inhibitory activity of compound on rabbit reticulocyte 15-lipoxygenase,B,
27,,Bqp0000357,,H,qu6ocuration,,,,1,,12054,,5646,,CHEMBo6151r0,Inhibition of rabbit reticulocyte 15-lipoxygenase by compound (30 uM),B,
28,,vA90000219,,H,Au5ocuratuon,,,,1,,12426,,10997,,dHEMBL614141,Inhibitory activity against 15-lipoxygenase in rat polymorphonuclear leukocytes,B,
29,,hAO0090357,,H,suyocuration,,,,1,,12054,,6309,,CHEhBLu15142,Inhibitory activity against 15-lipoxygenase was determined obtained from soya bean,B,
30,,vAO9000357,,H,Autocurati0j,,,,1,,12054,,167,,CHEMBL615we3,Inhibitory activity against soybean 15-lipoxygenase was evaluated,B,
31,,BA00090357,,H,Au4ociration,,,,1,,12054,,167,,CHEMBL615w4e,Inhibitory activity against soybean 15-lipoxygenase was evaluated at 100 uM,B,
32,,BAO9000367,,H,A7toc8ration,,,,1,,12054,,11087,,CHEhBL871867,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 10 uM,B,
33,,BAO00003ru,,H,Autocuratjob,,,,1,,12054,,11087,,CHEMhL61r145,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 100 uM,B,
34,,BsOp000357,,H,Autocuratiph,,,,1,,12054,,13622,,CHEMBo61514t,Compound was tested in vitro for inhibition of 15-lipoxygenase soybean,B,
35,,BAk0000e57,,H,zutocuratkon,,,,1,,12054,,13622,,CuEMBk615147,Compound at 100 uM was tested in vitro for inhibition of 15-lipoxygenase soybean,B,
36,,gA80000019,,U,A7tocurqtion,,,,1,,22226,,11347,,CHEMBi616148,Inhibition of cytochrome P450 progesterone 16-alpha hydroxylase,A,
37,,BAk000001p,,U,Autodueation,,,,1,,22226,,5926,,CHEMnLy15149,Binding affinity against bacterial 16S rRNA using mass spectrometry based assay,B,
38,,BAO0p0o019,,U,Autocugatjon,,,,1,,22226,,4567,,CHEMBL61t1t0,Dissociation constant with dimeric 16S rRNA RNA construct B,B,
39,,vAOp000225,,M,Interm2diste,,,,1,,22222,,3782,,CH2MBL6151t1,Dissociation constant towards 16S rRNA construct A,B,
40,,BwO0009225,,M,Intefmediat3,,,,1,,22222,,3782,,CHfMhL615152,Dissociation constant towards 16S rRNA construct B,B,
