assay_id,assay_type,assay_test_type,assay_tax_id,assay_strain,tid,curated_by,description,src_assay_id,chembl_id,assay_category,doc_id,assay_organism,assay_tissue,assay_cell_type,assay_subcellular_fraction,relationship_type
1,B,,,,12052,Autocuration,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,,CHEMBL615117,,11087,,,,,H
2,F,,,,22226,Autocuration,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,,CHEMBL615118,,684,,,,,U
3,B,,,,22226,Autocuration,,,CHEMBL615119,,15453,,,,,U
4,B,,9913.0,,104729,Autocuration,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,,CHEMBL615120,,17841,Bos taurus,,,,H
5,F,,9606.0,,80001,Intermediate,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),,CHEMBL615121,,17430,Homo sapiens,,143B,,N
6,F,,9606.0,,80001,Intermediate,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),,CHEMBL615122,,17430,Homo sapiens,,143B,,N
7,F,,10090.0,,80001,Intermediate,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,,CHEMBL615123,,13799,Mus musculus,,143B,,N
8,F,,9606.0,,80001,Expert,In vitro cell cytotoxicity was determined against 143B cell line,,CHEMBL615124,,17774,Homo sapiens,,143B,,N
9,F,,9606.0,,80001,Intermediate,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,,CHEMBL615125,,3801,Homo sapiens,,143B,,N
10,F,,9606.0,,80001,Intermediate,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,,CHEMBL615126,,17430,Homo sapiens,,143B,,N
11,F,,9606.0,,80001,Intermediate,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,,CHEMBL615127,,17430,Homo sapiens,,143B,,N
12,F,,9606.0,,80001,Expert,In vitro cell cytotoxicity was determined against 143B-LTK cell line,,CHEMBL615128,,17774,Homo sapiens,,143B,,N
13,F,,1280.0,,50185,Intermediate,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,CHEMBL857900,,11324,Staphylococcus aureus,,,,N
14,F,,1280.0,,50185,Intermediate,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,CHEMBL615129,,11324,Staphylococcus aureus,,,,N
15,F,,1280.0,,50185,Intermediate,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,CHEMBL615130,,11324,Staphylococcus aureus,,,,N
16,F,,1280.0,,50185,Intermediate,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,CHEMBL615131,,11324,Staphylococcus aureus,,,,N
17,A,,10116.0,,100122,Expert,Inhibition of cytochrome P450 progesterone 15-alpha hydroxylase,,CHEMBL884521,,11347,Rattus norvegicus,,,,D
18,B,,,,12054,Autocuration,Concentration that cause 50% activation of human reticulocyte 15-lipoxygenase (15-HLO),,CHEMBL615132,,16474,,,,,H
19,B,,,,12054,Autocuration,Inhibition of partially purified 15-lipoxygenase from human leukocytes,,CHEMBL615133,,10091,,,,,H
20,B,,,,12054,Autocuration,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),,CHEMBL615134,,16474,,,,,H
21,B,,,,12054,Autocuration,Compound was evaluated for the percent increase in activation concentration of human reticulocyte 15-lipoxygenase (15-HLO),,CHEMBL615135,,16474,,,,,H
22,B,,,,12054,Autocuration,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),,CHEMBL615136,,16474,,,,,H
