film_id,inventory_id,store_id
1,1,1
1,2,1
1,4,1
4,16,1
4,19,1
6,28,1
7,32,1
9,41,1
9,42,1
10,46,1
10,47,1
10,49,1
11,53,1
11,56,1
12,60,1
12,61,1
15,71,1
15,72,1
17,81,1
18,87,1
19,93,1
19,94,1
19,95,1
19,96,1
20,99,1
20,100,1
20,101,1
21,102,1
21,103,1
22,108,1
22,109,1
23,115,1
23,117,1
24,120,1
25,124,1
25,125,1
25,126,1
25,127,1
27,136,1
27,137,1
27,138,1
28,139,1
28,140,1
28,141,1
29,142,1
29,143,1
30,145,1
31,148,1
35,160,1
35,162,1
35,163,1
37,167,1
39,175,1
39,176,1
43,189,1
43,191,1
44,197,1
45,201,1
45,203,1
45,204,1
48,212,1
48,213,1
50,223,1
50,224,1
51,227,1
51,228,1
54,238,1
55,242,1
55,243,1
55,245,1
56,248,1
56,249,1
57,253,1
57,255,1
59,265,1
59,266,1
60,269,1
60,270,1
60,271,1
61,272,1
61,273,1
63,280,1
63,281,1
66,291,1
66,293,1
67,294,1
69,304,1
69,307,1
70,313,1
72,321,1
72,322,1
73,326,1
73,327,1
73,329,1
74,335,1
76,342,1
76,343,1
77,346,1
77,347,1
77,348,1
78,351,1
78,353,1
79,358,1
79,359,1
79,360,1
80,364,1
80,366,1
80,367,1
81,368,1
81,369,1
81,370,1
81,371,1
82,373,1
83,375,1
83,376,1
84,379,1
84,380,1
84,381,1
86,388,1
86,389,1
89,400,1
89,401,1
90,406,1
90,407,1
94,426,1
94,427,1
95,429,1
96,435,1
97,436,1
97,439,1
98,442,1
98,443,1
98,444,1
99,445,1
99,447,1
100,453,1
101,457,1
101,460,1
103,465,1
103,466,1
103,467,1
105,476,1
105,477,1
109,485,1
109,488,1
112,504,1
114,513,1
114,514,1
114,515,1
115,519,1
115,520,1
115,521,1
117,533,1
117,535,1
118,539,1
118,540,1
120,551,1
120,552,1
121,554,1
121,556,1
122,561,1
122,562,1
122,563,1
123,568,1
127,581,1
127,582,1
129,590,1
130,594,1
130,595,1
131,600,1
131,601,1
131,602,1
131,603,1
132,609,1
133,613,1
135,619,1
136,627,1
138,634,1
139,638,1
139,639,1
139,640,1
140,644,1
140,645,1
141,651,1
142,654,1
142,655,1
142,656,1
143,659,1
143,661,1
146,669,1
146,671,1
147,672,1
147,673,1
149,678,1
149,679,1
149,680,1
150,684,1
150,685,1
151,690,1
151,691,1
152,694,1
152,695,1
152,697,1
153,699,1
154,702,1
154,703,1
154,704,1
155,709,1
158,719,1
158,720,1
159,724,1
159,726,1
160,731,1
161,737,1
162,739,1
164,748,1
164,749,1
165,755,1
166,759,1
166,760,1
167,764,1
167,765,1
167,766,1
168,771,1
169,773,1
169,774,1
170,777,1
170,778,1
172,783,1
172,786,1
173,792,1
174,795,1
174,797,1
174,798,1
178,818,1
179,821,1
179,822,1
181,825,1
181,826,1
181,827,1
182,833,1
183,834,1
183,835,1
184,840,1
185,845,1
185,846,1
186,847,1
186,848,1
188,854,1
189,858,1
191,867,1
193,873,1
193,874,1
193,875,1
193,876,1
194,882,1
197,887,1
199,890,1
199,891,1
199,892,1
200,897,1
200,899,1
201,906,1
201,907,1
201,908,1
202,909,1
202,910,1
202,911,1
204,916,1
204,917,1
204,919,1
205,922,1
205,923,1
205,924,1
205,925,1
206,926,1
206,928,1
207,937,1
208,938,1
209,942,1
209,943,1
211,949,1
212,950,1
212,952,1
213,955,1
213,957,1
213,958,1
215,963,1
215,965,1
218,974,1
218,975,1
219,984,1
220,985,1
220,986,1
220,987,1
222,994,1
224,1001,1
