release_year,film_id,rental_duration,replacement_cost,rating,rental_rate,description,original_language_id,length,title,language
2006,1,6,20.99,PG,0.99,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,,86,ACADEMY DINOSAUR,English
2006,2,3,12.99,G,4.99,A Astounding Epistle of a Database Administrator And a Explorer who must Find a Car in Ancient China,,48,ACE GOLDFINGER,English
2006,3,7,18.99,NC-17,2.99,A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory,,50,ADAPTATION HOLES,English
2006,4,5,26.99,G,2.99,A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank,,117,AFFAIR PREJUDICE,English
2006,5,6,22.99,G,2.99,A Fast-Paced Documentary of a Pastry Chef And a Dentist who must Pursue a Forensic Psychologist in The Gulf of Mexico,,130,AFRICAN EGG,English
2006,6,3,17.99,PG,2.99,A Intrepid Panorama of a Robot And a Boy who must Escape a Sumo Wrestler in Ancient China,,169,AGENT TRUMAN,English
2006,7,6,28.99,PG-13,4.99,A Touching Saga of a Hunter And a Butler who must Discover a Butler in A Jet Boat,,62,AIRPLANE SIERRA,English
2006,8,6,15.99,R,4.99,A Epic Tale of a Moose And a Girl who must Confront a Monkey in Ancient India,,54,AIRPORT POLLOCK,English
2006,9,3,21.99,PG-13,2.99,A Thoughtful Panorama of a Database Administrator And a Mad Scientist who must Outgun a Mad Scientist in A Jet Boat,,114,ALABAMA DEVIL,English
2006,10,6,24.99,NC-17,4.99,A Action-Packed Tale of a Man And a Lumberjack who must Reach a Feminist in Ancient China,,63,ALADDIN CALENDAR,English
2006,11,6,16.99,G,0.99,A Boring Epistle of a Butler And a Cat who must Fight a Pastry Chef in A MySQL Convention,,126,ALAMO VIDEOTAPE,English
2006,12,6,22.99,PG,0.99,A Fanciful Saga of a Hunter And a Pastry Chef who must Vanquish a Boy in Australia,,136,ALASKA PHANTOM,English
2006,13,4,21.99,PG,4.99,A Action-Packed Drama of a Dentist And a Crocodile who must Battle a Feminist in The Canadian Rockies,,150,ALI FOREVER,English
2006,14,6,23.99,NC-17,0.99,A Emotional Drama of a A Shark And a Database Administrator who must Vanquish a Pioneer in Soviet Georgia,,94,ALICE FANTASIA,English
2006,15,5,10.99,NC-17,2.99,A Brilliant Drama of a Cat And a Mad Scientist who must Battle a Feminist in A MySQL Convention,,46,ALIEN CENTER,English
2006,16,6,23.99,NC-17,2.99,A Fast-Paced Drama of a Robot And a Composer who must Battle a Astronaut in New Orleans,,180,ALLEY EVOLUTION,English
2006,17,3,14.99,R,0.99,A Fast-Paced Character Study of a Composer And a Dog who must Outgun a Boat in An Abandoned Fun House,,82,ALONE TRIP,English
2006,18,6,27.99,PG-13,0.99,A Thoughtful Drama of a Composer And a Feminist who must Meet a Secret Agent in The Canadian Rockies,,57,ALTER VICTORY,English
2006,19,6,20.99,PG,0.99,A Emotional Display of a Pioneer And a Technical Writer who must Battle a Man in A Baloon,,113,AMADEUS HOLY,English
2006,20,4,23.99,R,4.99,A Boring Drama of a Woman And a Squirrel who must Conquer a Student in A Baloon,,79,AMELIE HELLFIGHTERS,English
2006,21,3,17.99,R,4.99,A Insightful Drama of a Girl And a Astronaut who must Face a Database Administrator in A Shark Tank,,129,AMERICAN CIRCUS,English
2006,22,6,10.99,G,2.99,A Emotional Character Study of a Dentist And a Crocodile who must Meet a Sumo Wrestler in California,,85,AMISTAD MIDSUMMER,English
2006,23,3,9.99,R,0.99,A Lacklusture Display of a Dentist And a Dentist who must Fight a Girl in Australia,,92,ANACONDA CONFESSIONS,English
2006,24,6,19.99,R,2.99,A Thoughtful Display of a Explorer And a Pastry Chef who must Overcome a Feminist in The Sahara Desert,,181,ANALYZE HOOSIERS,English
2006,25,3,15.99,G,2.99,A Thoughtful Display of a Woman And a Astronaut who must Battle a Robot in Berlin,,74,ANGELS LIFE,English
2006,26,3,15.99,G,0.99,A Amazing Panorama of a Pastry Chef And a Boat who must Escape a Woman in An Abandoned Amusement Park,,86,ANNIE IDENTITY,English
2006,27,7,12.99,NC-17,0.99,A Amazing Reflection of a Database Administrator And a Astronaut who must Outrace a Database Administrator in A Shark Tank,,179,ANONYMOUS HUMAN,English
2006,28,5,16.99,PG-13,4.99,A Touching Panorama of a Waitress And a Woman who must Outrace a Dog in An Abandoned Amusement Park,,91,ANTHEM LUKE,English
2006,29,5,11.99,NC-17,2.99,A Fateful Yarn of a Womanizer And a Feminist who must Succumb a Database Administrator in Ancient India,,168,ANTITRUST TOMATOES,English
2006,30,4,27.99,R,2.99,A Epic Story of a Pastry Chef And a Woman who must Chase a Feminist in An Abandoned Fun House,,82,ANYTHING SAVANNAH,English
2006,31,5,16.99,NC-17,4.99,A Awe-Inspiring Reflection of a Pastry Chef And a Teacher who must Overcome a Sumo Wrestler in A U-Boat,,92,APACHE DIVINE,English
