payment_id,amount,payment_date,rental_id,staff_id,customer_id
1,2.99,2005-05-25 11:30:37,76,1,1
4,0.99,2005-06-15 18:02:53,1422,2,1
6,4.99,2005-06-16 15:18:57,1725,1,1
7,4.99,2005-06-18 08:41:48,2308,1,1
11,5.99,2005-07-08 07:33:56,4611,1,1
13,4.99,2005-07-09 16:38:01,5326,1,1
19,0.99,2005-07-28 19:20:07,8116,2,1
28,2.99,2005-08-19 13:56:54,13176,2,1
30,1.99,2005-08-22 01:27:57,14825,1,1
33,4.99,2005-05-27 00:09:24,320,1,2
43,4.99,2005-07-30 06:06:10,9031,1,2
45,0.99,2005-07-30 14:14:11,9248,2,2
49,0.99,2005-08-01 09:45:26,10466,1,2
50,0.99,2005-08-02 02:10:56,10918,1,2
54,2.99,2005-08-17 03:52:18,11614,1,2
57,5.99,2005-08-21 22:41:56,14743,2,2
58,4.99,2005-08-22 13:53:04,15145,2,2
61,2.99,2005-05-29 22:43:55,830,1,3
64,6.99,2005-06-17 05:15:15,1911,2,3
66,4.99,2005-07-07 10:23:25,4180,1,3
68,5.99,2005-07-27 04:54:42,7096,1,3
69,10.99,2005-07-27 20:23:12,7503,2,3
70,7.99,2005-07-28 03:59:21,7703,2,3
74,2.99,2005-07-29 11:07:04,8545,1,3
77,2.99,2005-07-31 03:27:58,9595,1,3
82,2.99,2005-08-20 06:14:12,13610,2,3
84,0.99,2005-08-22 09:37:27,15038,2,3
85,2.99,2005-08-23 07:10:14,15619,1,3
87,0.99,2005-06-16 08:08:40,1633,1,4
89,0.99,2005-06-16 15:51:52,1735,2,4
90,0.99,2005-06-17 14:31:12,2043,2,4
91,5.99,2005-06-19 09:39:01,2642,1,4
95,5.99,2005-07-30 08:46:09,9100,1,4
108,0.99,2005-05-29 07:25:16,731,1,5
111,3.99,2005-06-15 22:03:14,1502,1,5
113,4.99,2005-06-17 15:56:53,2063,2,5
114,2.99,2005-06-19 04:20:13,2570,2,5
116,4.99,2005-07-06 09:11:58,3677,2,5
119,5.99,2005-07-09 07:13:52,5118,2,5
124,4.99,2005-07-12 12:16:28,6685,2,5
128,2.99,2005-07-29 01:11:23,8263,1,5
129,1.99,2005-07-30 04:14:28,8978,1,5
134,4.99,2005-08-02 04:56:45,11001,2,5
140,0.99,2005-08-20 15:16:18,13877,2,5
145,0.99,2006-02-14 15:16:03,13209,2,5
150,2.99,2005-06-16 23:44:13,1841,2,6
156,5.99,2005-07-11 12:39:01,6211,2,6
157,7.99,2005-07-11 15:01:54,6248,1,6
181,0.99,2005-06-19 14:00:26,2709,1,7
185,2.99,2005-07-07 13:22:20,4238,2,7
186,5.99,2005-07-08 16:16:04,4787,2,7
187,4.99,2005-07-08 18:47:38,4856,1,7
191,2.99,2005-07-11 17:30:58,6295,1,7
194,7.99,2005-07-31 04:30:03,9624,2,7
200,7.99,2005-08-17 00:51:32,11542,2,7
202,2.99,2005-08-18 21:55:01,12730,1,7
208,2.99,2005-06-15 09:59:16,1305,2,8
215,3.99,2005-07-08 02:17:12,4503,1,8
216,2.99,2005-07-09 15:40:46,5300,1,8
217,2.99,2005-07-09 17:13:23,5341,2,8
219,0.99,2005-07-12 10:43:53,6647,1,8
222,0.99,2005-07-31 22:08:29,10141,2,8
224,9.99,2005-08-02 13:04:12,11232,1,8
227,0.99,2005-08-21 01:07:11,14114,1,8
231,4.99,2005-05-27 05:01:28,350,2,9
233,4.99,2005-05-31 10:13:34,1075,2,9
239,2.99,2005-07-10 07:45:40,5659,1,9
250,2.99,2005-08-18 05:58:40,12309,1,9
255,4.99,2005-06-16 20:21:53,1801,1,10
262,1.99,2005-07-07 14:14:13,4255,1,10
267,2.99,2005-07-28 05:21:42,7738,1,10
268,6.99,2005-07-28 15:10:55,8001,2,10
271,8.99,2005-08-01 17:09:59,10671,2,10
272,2.99,2005-08-02 14:55:00,11289,2,10
284,4.99,2005-07-08 22:43:05,4943,1,11
286,6.99,2005-07-11 09:09:59,6146,2,11
294,4.99,2005-08-01 22:41:16,10812,1,11
297,5.99,2005-08-17 19:32:44,12015,2,11
299,4.99,2005-08-20 12:17:27,13790,1,11
309,2.99,2005-06-20 19:33:52,3135,2,12
318,0.99,2005-07-27 11:50:47,7279,2,12
323,5.99,2005-07-31 07:45:33,9708,2,12
332,4.99,2005-06-18 02:24:01,2209,1,13
335,2.99,2005-07-06 21:39:24,3946,2,13
345,0.99,2005-07-31 06:12:08,9664,1,13
346,7.99,2005-07-31 08:58:40,9736,1,13
347,4.99,2005-07-31 17:48:51,10003,1,13
355,9.99,2005-08-21 05:44:07,14252,1,13
356,7.99,2005-08-21 15:44:23,14545,2,13
361,2.99,2005-05-28 22:04:30,671,1,14
369,7.99,2005-07-10 03:29:48,5565,1,14
370,6.99,2005-07-28 16:23:01,8035,1,14
373,4.99,2005-07-29 22:46:08,8836,2,14
376,2.99,2005-08-01 05:23:00,10348,1,14
378,4.99,2005-08-02 22:18:24,11480,1,14
386,2.99,2005-06-18 21:26:56,2486,1,15
391,2.99,2005-07-10 11:02:03,5717,1,15
393,4.99,2005-07-27 05:15:37,7105,1,15
400,2.99,2005-08-02 15:48:08,11307,2,15
