Fiscal year,Desertification (marker),Project number,Untied amount(Project-level budget),Indigenous issues (marker),Sector ID,ICT as a tool for development (marker),Fund centre ID,Children issues (marker),Programming process (new),Knowledge for development (marker),Division name,Maximum CIDA contribution (project-level),CountryRegion percent,Status,Branch ID,Trade development (marker),Continent name,Organisation class,CountryRegion ID,PBA type,Regional program (marker),Biodiversity (marker),Continent ID,CountryRegion name,Branch name,Division ID,Section ID,Section name,Fund centre name,FSTC percent,IRTC percent,CFLI (marker),CIDA business delivery model (old),Bilateral aid (international marker),Enviromental sustainability (marker),Climate change adaptation (marker),Climate change mitigation (marker)
2009/2010,0,A017716001,8500267.65,0,15150,0,4122,0,Uncoded: Pre-APP,0,OAD Asia Programming,8500267.65,1.0,Closed,B4100,0,Asia,Individual,BD,Not PBA,0,0,3,Bangladesh,OGM Asia Pacific,D4100,S4122,Bangladesh Section,Bangladesh,1.0,0.0,0,Directive,1,0,0,0
2009/2010,0,A017716001,8500267.65,0,24040,0,4122,0,Uncoded: Pre-APP,0,OAD Asia Programming,8500267.65,1.0,Closed,B4100,0,Asia,Individual,BD,Not PBA,0,0,3,Bangladesh,OGM Asia Pacific,D4100,S4122,Bangladesh Section,Bangladesh,1.0,0.0,0,Directive,1,0,0,0
2009/2010,0,A017716001,8500267.65,0,25020,0,4122,0,Uncoded: Pre-APP,0,OAD Asia Programming,8500267.65,1.0,Closed,B4100,0,Asia,Individual,BD,Not PBA,0,0,3,Bangladesh,OGM Asia Pacific,D4100,S4122,Bangladesh Section,Bangladesh,1.0,0.0,0,Directive,1,0,0,0
2009/2010,0,A018652001,0.0,0,99810,0,4265,0,Uncoded: Pre-APP,0,EDD Europe-Middle East Programming,500458.33,1.0,Closed,B3100,0,Asia,Governmental,PS,Not PBA,0,0,3,West Bank Gaza,"EGM Europe, Middle East and Maghreb",D3100,S4264,West Bank Gaza & Palestinian Refugees,West Bank Gaza,0.0,0.0,0,Directive,1,0,0,0
2009/2010,0,A018893001,14410076.46,0,16020,0,4216,0,Uncoded: Pre-APP,0,WWD West & Central Africa,14410076.46,1.0,Closed,B4200,0,Africa,Governmental,ML,Not PBA,0,0,2,Mali,WGM Sub-Saharan Africa,D4207,S4215,Mali Program Section,Mali,1.0,0.0,0,Responsive,1,0,0,0
2009/2010,0,A018893001,14410076.46,0,32310,0,4216,0,Uncoded: Pre-APP,0,WWD West & Central Africa,14410076.46,1.0,Closed,B4200,0,Africa,Governmental,ML,Not PBA,0,0,2,Mali,WGM Sub-Saharan Africa,D4207,S4215,Mali Program Section,Mali,1.0,0.0,0,Responsive,1,0,0,0
2009/2010,0,A018893001,14410076.46,0,43030,0,4216,0,Uncoded: Pre-APP,0,WWD West & Central Africa,14410076.46,1.0,Closed,B4200,0,Africa,Governmental,ML,Not PBA,0,0,2,Mali,WGM Sub-Saharan Africa,D4207,S4215,Mali Program Section,Mali,1.0,0.0,0,Responsive,1,0,0,0
2009/2010,0,A019043001,13743220.56,0,15110,0,4124,0,Uncoded: Pre-APP,0,OAD Asia Programming,13743220.56,1.0,Closed,B4100,0,Asia,Governmental,PK,Not PBA,0,0,3,Pakistan,OGM Asia Pacific,D4100,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",Pakistan,1.0,0.0,0,Responsive,1,0,0,0
2009/2010,0,A019043001,13743220.56,0,15111,0,4124,0,Uncoded: Pre-APP,0,OAD Asia Programming,13743220.56,1.0,Closed,B4100,0,Asia,Governmental,PK,Not PBA,0,0,3,Pakistan,OGM Asia Pacific,D4100,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",Pakistan,1.0,0.0,0,Responsive,1,0,0,0
2009/2010,0,A019043001,13743220.56,0,16010,0,4124,0,Uncoded: Pre-APP,0,OAD Asia Programming,13743220.56,1.0,Closed,B4100,0,Asia,Governmental,PK,Not PBA,0,0,3,Pakistan,OGM Asia Pacific,D4100,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",Pakistan,1.0,0.0,0,Responsive,1,0,0,0
2009/2010,0,A019362001,3441416.83,0,24040,1,4439,0,Uncoded: Pre-APP,0,NDD Americas Programming,3441416.83,1.0,Closed,B4400,0,America,Civil Society,JM,Not PBA,0,0,1,Jamaica,NGM Americas,D4400,S4429,Caricom - Adm,Caribbean Regional - Jamaica,1.0,0.0,0,Responsive,1,0,0,0
2009/2010,0,A019362001,3441416.83,0,24040,1,4439,0,Uncoded: Pre-APP,0,NDD Americas Programming,3441416.83,1.0,Closed,B4400,0,America,Civil Society,JM,Not PBA,0,0,1,Jamaica,NGM Americas,D4400,S4429,Caricom - Adm,Caribbean Regional - Jamaica,1.0,0.0,0,Responsive,1,0,0,0
2009/2010,0,A019608001,0.0,0,15150,1,4263,0,Uncoded: Pre-APP,0,EDD Europe-Middle East Programming,16700508.62,1.0,Closed,B3100,0,Africa,Civil Society,EG,Not PBA,0,0,2,Egypt,"EGM Europe, Middle East and Maghreb",D3100,S4256,Middle East and North Africa,Egypt,1.0,0.0,0,Directive,1,1,0,0
2009/2010,0,A019608001,0.0,0,24030,1,4263,0,Uncoded: Pre-APP,0,EDD Europe-Middle East Programming,16700508.62,1.0,Closed,B3100,0,Africa,Civil Society,EG,Not PBA,0,0,2,Egypt,"EGM Europe, Middle East and Maghreb",D3100,S4256,Middle East and North Africa,Egypt,1.0,0.0,0,Directive,1,1,0,0
2009/2010,0,A019608001,0.0,0,25010,1,4263,0,Uncoded: Pre-APP,0,EDD Europe-Middle East Programming,16700508.62,1.0,Closed,B3100,0,Africa,Civil Society,EG,Not PBA,0,0,2,Egypt,"EGM Europe, Middle East and Maghreb",D3100,S4256,Middle East and North Africa,Egypt,1.0,0.0,0,Directive,1,1,0,0
2009/2010,0,A019608001,0.0,0,32110,1,4263,0,Uncoded: Pre-APP,0,EDD Europe-Middle East Programming,16700508.62,1.0,Closed,B3100,0,Africa,Civil Society,EG,Not PBA,0,0,2,Egypt,"EGM Europe, Middle East and Maghreb",D3100,S4256,Middle East and North Africa,Egypt,1.0,0.0,0,Directive,1,1,0,0
2009/2010,0,A019608001,0.0,0,32130,1,4263,0,Uncoded: Pre-APP,0,EDD Europe-Middle East Programming,16700508.62,1.0,Closed,B3100,0,Africa,Civil Society,EG,Not PBA,0,0,2,Egypt,"EGM Europe, Middle East and Maghreb",D3100,S4256,Middle East and North Africa,Egypt,1.0,0.0,0,Directive,1,1,0,0
2009/2010,0,A019608001,0.0,0,32182,1,4263,0,Uncoded: Pre-APP,0,EDD Europe-Middle East Programming,16700508.62,1.0,Closed,B3100,0,Africa,Civil Society,EG,Not PBA,0,0,2,Egypt,"EGM Europe, Middle East and Maghreb",D3100,S4256,Middle East and North Africa,Egypt,1.0,0.0,0,Directive,1,1,0,0
