assays_ss_d,assays_ss_ctgr,assays_ss_cll_tp,assays_vrnt_d,assays_ss_tp,assays_tss_d,assays_ss_tss,assays_b_frmt,assays_rltnshp_tp,assays_dc_d,assays_chmbl_d,assays_ss_strn,assays_ss_tst_tp,assays_src_ss_d,assays_ss_sbclllr_frctn,assays_crtd_b,assays_td,assays_cnfdnc_scr,assays_src_d,assays_cll_d
7524,,,,A,2113.0,Kidney,BAO_0000218,N,9866,CHEMBL618647,,In vivo,,,Intermediate,50597,1,1,
7525,,,,A,2113.0,Kidney,BAO_0000218,N,9866,CHEMBL618648,,In vivo,,,Intermediate,50597,1,1,
7526,,,,A,2113.0,Kidney,BAO_0000218,N,9866,CHEMBL618649,,In vivo,,,Intermediate,50597,1,1,
7527,,,,A,2107.0,Liver,BAO_0000218,N,9866,CHEMBL618650,,In vivo,,,Intermediate,50597,1,1,
7528,,,,A,2107.0,Liver,BAO_0000218,N,9866,CHEMBL618651,,In vivo,,,Intermediate,50597,1,1,
7529,,,,A,2107.0,Liver,BAO_0000218,N,9866,CHEMBL876497,,In vivo,,,Intermediate,50597,1,1,
7530,,,,A,2048.0,Lung,BAO_0000218,N,9866,CHEMBL618652,,In vivo,,,Intermediate,50597,1,1,
7531,,,,A,2048.0,Lung,BAO_0000218,N,9866,CHEMBL618653,,In vivo,,,Intermediate,50597,1,1,
7532,,,,A,2048.0,Lung,BAO_0000218,N,9866,CHEMBL618654,,In vivo,,,Intermediate,50597,1,1,
7533,,,,A,,,BAO_0000218,N,6351,CHEMBL618655,,,,,Intermediate,50597,1,1,
7534,,,,A,,,BAO_0000218,N,1465,CHEMBL618656,,,,,Intermediate,50597,1,1,
7535,,,,P,,,BAO_0000100,U,5182,CHEMBL618657,,,,,Intermediate,22229,0,1,
7536,,,,A,,,BAO_0000218,N,17847,CHEMBL618658,,,,,Intermediate,50597,1,1,
7537,,,,A,,,BAO_0000218,N,15339,CHEMBL618659,,,,,Intermediate,50597,1,1,
7538,,,,A,,,BAO_0000218,N,5202,CHEMBL618660,,,,,Intermediate,50597,1,1,
7539,,,,A,,,BAO_0000218,N,1088,CHEMBL618661,,,,,Intermediate,50597,1,1,
7540,,,,A,,,BAO_0000218,N,3169,CHEMBL873807,,,,,Intermediate,50597,1,1,
7541,,,,A,,,BAO_0000218,N,5353,CHEMBL618662,,,,,Intermediate,50597,1,1,
7542,,,,A,,,BAO_0000218,N,2864,CHEMBL618663,,In vivo,,,Intermediate,50597,1,1,
7543,,,,A,,,BAO_0000218,N,2864,CHEMBL618664,,In vivo,,,Intermediate,50597,1,1,
7544,,,,A,,,BAO_0000218,N,2864,CHEMBL618665,,In vivo,,,Intermediate,50597,1,1,
7545,,,,A,,,BAO_0000218,N,6362,CHEMBL876498,,,,,Intermediate,50597,1,1,
7546,,,,A,,,BAO_0000218,N,6249,CHEMBL618666,,,,,Intermediate,50597,1,1,
7547,,,,A,,,BAO_0000218,N,3169,CHEMBL620440,,,,,Intermediate,50597,1,1,
7548,,,,A,,,BAO_0000218,N,3169,CHEMBL620441,,,,,Intermediate,50597,1,1,
7549,,,,A,,,BAO_0000218,N,3169,CHEMBL620442,,,,,Intermediate,50597,1,1,
7550,,,,A,,,BAO_0000218,N,17260,CHEMBL620443,,In vivo,,,Intermediate,50597,1,1,
7551,,,,A,,,BAO_0000218,N,17260,CHEMBL620444,,In vivo,,,Intermediate,50597,1,1,
7552,,,,A,,,BAO_0000218,N,17260,CHEMBL620445,,In vivo,,,Intermediate,50597,1,1,
7553,,,,A,,,BAO_0000218,N,17260,CHEMBL620446,,In vivo,,,Intermediate,50597,1,1,
7554,,,,A,1969.0,Plasma,BAO_0000218,N,2879,CHEMBL620447,,,,,Intermediate,50597,1,1,
7555,,,,A,1969.0,Plasma,BAO_0000218,N,2879,CHEMBL621129,,,,,Intermediate,50597,1,1,
7556,,,,A,1969.0,Plasma,BAO_0000218,N,2879,CHEMBL621130,,,,,Intermediate,50597,1,1,
7557,,,,A,,,BAO_0000218,N,3184,CHEMBL873808,,In vivo,,,Intermediate,50597,1,1,
7558,,,,A,,,BAO_0000218,N,4891,CHEMBL876598,,In vivo,,,Intermediate,50597,1,1,
7559,,,,A,,,BAO_0000218,N,429,CHEMBL621131,,In vivo,,,Intermediate,50597,1,1,
7560,,,,A,,,BAO_0000218,N,5656,CHEMBL621132,,In vivo,,,Intermediate,50597,1,1,
7561,,,,A,,,BAO_0000218,N,4413,CHEMBL621133,,In vivo,,,Intermediate,50597,1,1,
7562,,,,A,,,BAO_0000218,N,3598,CHEMBL621312,,In vivo,,,Expert,50597,1,1,
7563,,,,A,,,BAO_0000218,N,17267,CHEMBL621313,,,,,Intermediate,50597,1,1,
7564,,,,A,178.0,Blood,BAO_0000218,N,4727,CHEMBL621314,,,,,Intermediate,50597,1,1,
7565,,,,A,,,BAO_0000218,N,17651,CHEMBL621315,,In vivo,,,Intermediate,50597,1,1,
7566,,,,A,,,BAO_0000218,N,17651,CHEMBL621316,,In vivo,,,Intermediate,50597,1,1,
7567,,,,A,,,BAO_0000218,N,401,CHEMBL621317,,,,,Intermediate,50597,1,1,
