actor_id,first_name,last_name
62,JAYNE,NEESON
176,JON,CHASE
156,FAY,WOOD
108,WARREN,NOLTE
131,JANE,JACKMAN
123,JULIANNE,DENCH
18,DAN,TORN
90,SEAN,GUINESS
153,MINNIE,KILMER
146,ALBERT,JOHANSSON
70,MICHELLE,MCCONAUGHEY
129,DARYL,CRAWFORD
175,WILLIAM,HACKMAN
14,VIVIEN,BERGEN
64,RAY,JOHANSSON
178,LISA,MONROE
6,BETTE,NICHOLSON
183,RUSSELL,CLOSE
58,CHRISTIAN,AKROYD
170,MENA,HOPPER
194,MERYL,ALLEN
85,MINNIE,ZELLWEGER
134,GENE,HOPKINS
199,JULIA,FAWCETT
197,REESE,WEST
2,NICK,WAHLBERG
46,PARKER,GOLDBERG
99,JIM,MOSTEL
139,EWAN,GOODING
106,GROUCHO,DUNST
158,VIVIEN,BASINGER
65,ANGELA,HUDSON
166,NICK,DEGENERES
160,CHRIS,DEPP
72,SEAN,WILLIAMS
19,BOB,FAWCETT
44,NICK,STALLONE
93,ELLEN,PRESLEY
109,SYLVESTER,DERN
61,CHRISTIAN,NEESON
96,GENE,WILLIS
83,BEN,WILLIS
182,DEBBIE,AKROYD
152,BEN,HARRIS
82,WOODY,JOLIE
8,MATTHEW,JOHANSSON
167,LAURENCE,BULLOCK
59,DUSTIN,TAUTOU
137,MORGAN,WILLIAMS
37,VAL,BOLGER
87,SPENCER,PECK
78,GROUCHO,SINATRA
117,RENEE,TRACY
73,GARY,PENN
22,ELVIS,MARX
89,CHARLIZE,DENCH
107,GINA,DEGENERES
91,CHRISTOPHER,BERRY
81,SCARLETT,DAMON
48,FRANCES,DAY-LEWIS
159,LAURA,BRODY
84,JAMES,PITT
68,RIP,WINSLET
190,AUDREY,BAILEY
25,KEVIN,BLOOM
27,JULIA,MCQUEEN
127,KEVIN,GARLAND
138,LUCILLE,DEE
4,JENNIFER,DAVIS
24,CAMERON,STREEP
195,JAYNE,SILVERSTONE
43,KIRK,JOVOVICH
15,CUBA,OLIVIER
173,ALAN,DREYFUSS
150,JAYNE,NOLTE
63,CAMERON,WRAY
12,KARL,BERRY
92,KIRSTEN,AKROYD
130,GRETA,KEITEL
53,MENA,TEMPLE
31,SISSY,SOBIESKI
125,ALBERT,NOLTE
174,MICHAEL,BENING
97,MEG,HAWKE
54,PENELOPE,PINKETT
35,JUDY,DEAN
192,JOHN,SUVARI
34,AUDREY,OLIVIER
188,ROCK,DUKAKIS
38,TOM,MCKELLEN
7,GRACE,MOSTEL
200,THORA,TEMPLE
51,GARY,PHOENIX
124,SCARLETT,BENING
116,DAN,STREEP
148,EMILY,DEE
76,ANGELINA,ASTAIRE
86,GREG,CHAPLIN
79,MAE,HOFFMAN
56,DAN,HARRIS
