city_id,city,country_id,country
62,Bayugan,75,Philippines
254,Kaliningrad,80,Russian Federation
475,Shivapuri,44,India
445,Salamanca,60,Mexico
363,NDjamna,21,Chad
176,Gandhinagar,44,India
578,Xi´angfan,23,China
485,São Bernardo do Campo,15,Brazil
320,Maikop,80,Russian Federation
425,Rae Bareli,44,India
346,Munger (Monghyr),44,India
296,Lausanne,91,Switzerland
410,Poá,15,Brazil
156,Elista,80,Russian Federation
108,Changhwa,92,Taiwan
593,Zanzibar,93,Tanzania
131,Cuernavaca,60,Mexico
506,Sumy,100,Ukraine
209,Hsichuh,92,Taiwan
123,Clarksville,103,United States
438,´s-Hertogenbosch,67,Netherlands
339,Mogiljov,13,Belarus
307,Linz,9,Austria
353,Nador,62,Morocco
513,Tabora,93,Tanzania
293,Laohekou,23,China
18,Allappuzha (Alleppey),44,India
281,Kütahya,97,Turkey
90,Bratislava,84,Slovakia
419,Purwakarta,45,Indonesia
488,Sokoto,69,Nigeria
153,El Alto,14,Bolivia
371,Nuuk,40,Greenland
146,Donostia-San Sebastián,87,Spain
204,Hino,50,Japan
587,Yinchuan,23,China
303,Liepaja,54,Latvia
262,Kansas City,103,United States
244,Johannesburg,85,South Africa
377,Okinawa,50,Japan
396,Pangkal Pinang,45,Indonesia
70,Bergamo,49,Italy
129,Cuauhtémoc,60,Mexico
574,Weifang,23,China
175,Fuzhou,23,China
14,al-Manama,11,Bahrain
532,Tegal,45,Indonesia
64,Beira,63,Mozambique
178,Garland,103,United States
250,Juárez,60,Mexico
224,Isesaki,50,Japan
314,Lublin,76,Poland
6,Addis Abeba,31,Ethiopia
484,Smolensk,80,Russian Federation
183,Goiânia,15,Brazil
287,Kuwana,50,Japan
58,Batman,97,Turkey
572,Vitória de Santo Antão,15,Brazil
170,Florencia,24,Colombia
521,Tama,50,Japan
418,Purnea (Purnia),44,India
337,Mit Ghamr,29,Egypt
518,Taizz,107,Yemen
194,Haiphong,105,Vietnam
85,Boksburg,85,South Africa
