assay_id,assay_subcellular_fraction,assay_organism,description,relationship_type,assay_type,doc_id,assay_test_type,assay_category,assay_tax_id,assay_strain,assay_tissue,assay_cell_type,tid
1,,,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,H,B,11087,,,,,,,12052
2,,,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,U,F,684,,,,,,,22226
3,,,,U,B,15453,,,,,,,22226
4,,Bos taurus,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,H,B,17841,,,9913.0,,,,104729
5,,Homo sapiens,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),N,F,17430,,,9606.0,,,143B,80001
6,,Homo sapiens,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),N,F,17430,,,9606.0,,,143B,80001
7,,Mus musculus,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,N,F,13799,,,10090.0,,,143B,80001
8,,Homo sapiens,In vitro cell cytotoxicity was determined against 143B cell line,N,F,17774,,,9606.0,,,143B,80001
9,,Homo sapiens,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,N,F,3801,,,9606.0,,,143B,80001
10,,Homo sapiens,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,N,F,17430,,,9606.0,,,143B,80001
11,,Homo sapiens,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,N,F,17430,,,9606.0,,,143B,80001
12,,Homo sapiens,In vitro cell cytotoxicity was determined against 143B-LTK cell line,N,F,17774,,,9606.0,,,143B,80001
13,,Staphylococcus aureus,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",N,F,11324,,,1280.0,,,,50185
14,,Staphylococcus aureus,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",N,F,11324,,,1280.0,,,,50185
