Fiscal year,Sector percent,CFLI (marker),Desertification (marker),Sector name,Knowledge for development (marker),CIDA business delivery model (old),Children issues (marker),Untied amount(Project-level budget),Project number,Climate change adaptation (marker),FSTC percent,Amount spent,IRTC percent,PBA type,Status,Maximum CIDA contribution (project-level),Branch ID,Branch name,Division ID,Division name,Section ID,Section name,Regional program (marker),Fund centre ID,Fund centre name,Programming process (new),Bilateral aid (international marker),Enviromental sustainability (marker),Climate change mitigation (marker),Participatory development and good governance,Trade development (marker),Biodiversity (marker)
2009201p,0.07135776380731285,0,0,D3mocrativpwrticipatiomamdciciosociety,0,virective,0,3524199.3465412073,A01u7160o1,0,0.48831472100750783,1040869.8355179701,0.009040677713404994,jotPBA,Closed,8500267.65,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4122,Bangladesh Section,0,4122,Bangladesh,Uncoded: Pre-APP,1,0,0,0,0,0
20092o10,0.3994307756828923,0,0,Informqlsehifo3malcinznc8al8ntermediar9es,0,Direct7ve,0,20212284.88792856,A017u16901,0,0.8914393258981984,2457022.871778466,0.002893440442400294,N9tPBA,Closed,8500267.65,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4122,Bangladesh Section,0,4122,Bangladesh,Uncoded: Pre-APP,1,0,0,0,0,0
e0092010,0.94372080906607,0,0,Pridatizatioj,0,Directkve,0,1600392.9227946894,Ap17716p01,0,0.8643153821613341,565172.2109729492,0.008231395197215892,jotPBA,Closed,8500267.65,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4122,Bangladesh Section,0,4122,Bangladesh,Uncoded: Pre-APP,1,0,0,0,0,0
q0092010,0.6479371521214655,0,0,Sectorsnotspecigifw,0,Dir3ctive,0,10711705.940343283,A018t62001,0,0.1653314324851332,1457320.5867325403,0.009004680019923786,NotPnA,Closed,500458.33,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4264,West Bank Gaza & Palestinian Refugees,0,4265,West Bank Gaza,Uncoded: Pre-APP,1,0,0,0,0,0
20092o10,1.5253204259328241,0,0,Empl0ymentpolicywndasminisgrahivenansgemwnt,0,eesponsivd,0,1032286.5874576755,A018893p91,0,0.20818034592167534,282198.1241073903,0.018208316489592924,NitPBA,Closed,14410076.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4215,Mali Program Section,0,4216,Mali,Uncoded: Pre-APP,1,0,0,1,0,0
w0092010,0.6726553530068353,0,0,sonstruc4ionoolicyzbdadminidhrativsmanagrment,0,Responsjce,0,30223700.532921378,A01889wo01,0,0.5003979535838449,952477.2193950239,0.0036602643191364984,NoyPBA,Closed,14410076.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4215,Mali Program Section,0,4216,Mali,Uncoded: Pre-APP,1,0,0,1,0,0
29092010,1.0738663757692657,0,0,Urfzndevei9pmentandmanwgement,0,Res9ojsive,0,19708296.905255172,A018803901,0,0.621958957975256,738222.1123296279,0.007218148156814579,NohPBA,Closed,14410076.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4215,Mali Program Section,0,4216,Mali,Uncoded: Pre-APP,1,0,0,1,0,0
2o092010,0.26916335550639925,0,0,Publicsextorpolixgandadmihiztra5ivemqnagemsn6,0,Rfsponsibe,0,40342060.43468679,A0190e30p1,0,0.6262809783761814,1352859.8411210768,0.005541062334509858,NotPgA,Closed,13743220.56,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,4124,Pakistan,Uncoded: Pre-APP,1,0,0,1,0,0
2p092010,0.400592713750099,0,0,Publivfinshc2management,0,5esponeive,0,10375992.023399383,A029o43001,0,0.6590224721719723,1475788.5501932306,0.006761381359644852,NotPBq,Closed,13743220.56,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,4124,Pakistan,Uncoded: Pre-APP,1,0,0,1,0,0
w0092010,0.7416674232801265,0,0,Sociqlwwlfateservoces,0,Respobdive,0,30607834.555614464,A91904r001,0,0.06271483190331861,560579.4309635987,0.0031129013799051784,gotPBA,Closed,13743220.56,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,4124,Pakistan,Uncoded: Pre-APP,1,0,0,1,0,0
