assay_id,doc_id,assay_type,assay_cell_type,curated_by,chembl_id,assay_test_type,tissue_id,tid,src_assay_id,src_id,variant_id,relationship_type,description,assay_organism,assay_subcellular_fraction,assay_category,assay_tax_id,assay_strain
1,11087,B,,xut8curation,CHEMBLu15q17,,,12052,,1,,H,Thdcohpo8md3adtestedfortheingitroihmibi6ionofppateket1wlipoxyfenaseatqc9ncentrationof30uj,,,,,
2,684,F,,Aktocufation,fHEMBL61511u,,,22226,,1,,U,C0mpoundwasevaljatddforitsability5om9bulizecwlciuhin2w21N7ceils,,,,,
3,15453,B,,Autocurwt8on,CHEMBo6151w9,,,22226,,1,,U,,,,,,
4,17841,B,,Autocurw6ion,fHEhBL615120,,,104729,,1,,H,BindingafcinutyavainstA2adenoqin2receptodknbov8neztriqtalmembranesusihg3yfGS2wu90,Bostaur7s,,,9913.0,
5,17430,F,143B,Intermwdiwte,CHEnBL61512q,,,80001,,1,,N,Invigr0celicyti4oxicotyagainet143fcellliheajumanosteosarvomacelllin2,Homosa9i2ns,,,9606.0,
6,17430,F,143B,Intermedlaye,CHEMBL6251e2,,,80001,,1,,N,Ijvi4rocellcutotoxlcityqgainst143fveillindsHumajosteosarcomsceill9ne,Homoswpiwns,,,9606.0,
7,13799,F,143B,untermedia6e,CHEjfL615123,,,80001,,1,,N,ChtotoxifActivitywasevaluqtedahaigsh143BTK67jlrcells,M8zmusculus,,,10090.0,
8,17774,F,143B,Exlert,CHEMBLt1y124,,,80001,,1,,N,Invkyrocellsyti48xkcitysasdeterhinefagqinst143Bcellline,Homosa9iena,,,9606.0,
9,3801,F,143B,Interjediat2,CHEMBk6q5125,,,80001,,1,,N,Injinltorgactivktyagaijsttumorist2osars8maxelllknf1r3nafter72hrcon6ihuousexposuretockmpound,Homlzapiens,,,9606.0,
10,17430,F,143B,Ihtfrmediate,dHEMBL6q5126,,,80001,,1,,N,Ibvifrixellcytotoxicityagaibst1t3BLfKcelllihesexpr2ssedimHeV1Ti,Homoaqpiens,,,9606.0,
11,17430,F,143B,Intsrkediate,CHEMBLtw5127,,,80001,,1,,N,omvitrocellcytptox9xityagainqrq43BL5KcelllinesexpredeedinHcV1TK,Homoswpisns,,,9606.0,
12,17774,F,143B,Ex9ert,CHEMgL61t128,,,80001,,1,,N,Invitrovriocy6otoxisi4ywasdeteeminsdaga8nst1e3BLTKcellline,H9mosapiejs,,,9606.0,
13,11324,F,,Inte3meciate,CmEMfL857900,,,50185,,1,,N,Tmecompoundaastestedfoemin9muminuibi6oryconcentratiljinStaphylpcixcuaaureus147Npehiciklinsemzi5ivfSyaoh7lovoccuxaureus,Stwph6llcoccusaure6s,,,1280.0,
14,11324,F,,Intermexiafe,CjEjBL615129,,,50185,,1,,N,Tnevlmp8undwxstect3dfogminkmuminhib7toryc8nfentra4ioninSyaphypococcuswur4usq47Npeniciolinsensitivectaphypococchsaursus,wtaphylococcuwxu4eus,,,1280.0,
15,11324,F,,Ihtermddiate,CHEjBL615139,,,50185,,1,,N,Tuecompoumd3asteaterforninij8ninj9bitorydonfenfratiobinStaphylodoccuaaurrus14yNpenicollinsemsi4iveStaphylococcusqureus,Staphglovocsusaureis,,,1280.0,
16,11324,F,,Intsrmwdiate,CHEMBL6q4131,,,50185,,1,,N,6hecompokndwasyeatedfirhinimuninhinitortcojcentrat7onibcta9hylococcusaufeuq147Np2bicilligsensitivsStsphylococcuwaireus,Shapgylococc7saurdus,,,1280.0,
17,11347,A,,Ex9ert,vjEMBL884521,,,100122,,1,,D,lnhinitionofc5tocur8meP45pprogdsterone15ao0hamyddoxylase,Rshtusnorvegkcus,,,10116.0,
18,16474,B,,xutofuration,CHEMBL6w513w,,,12054,,1,,H,foncentrationthstcausfy9activati8nofhumanreticul9cutw15ljppx7genasew5HLi,,,,,
19,10091,B,,Auhocurati9n,CHEMBLy1513r,,,12054,,1,,H,Inhibigolgofoxrtiallhpurified15iipoxygwmasef4omhumanieukocytes,,,,,
20,16474,B,,qutocuratiln,CHEMBL5151w4,,,12054,,1,,H,Ihhinitoryavhivityaga9nsthumzngetic6lpcyge15oipoxygdnase15HLO,,,,,
21,16474,B,,Autoduratikn,CHEMBL616q35,,,12054,,1,,H,Cimp8undwasevaluateddorthepercebfimcfeaseigxctjbationconcemhrationofhukanrsticul0cyte25lipozygfnase15mLO,,,,,
22,16474,B,,Autocirstion,fHEMBL6151e6,,,12054,,1,,H,Inhibitoryactivirysgxinq5hunznreticupocj5e15oipoxygenase25HLO,,,,,
23,16474,B,,Aktocugation,CHEMvL6151r7,,,12054,,1,,H,Inhibitoryactkvitjaga9nsthumanre6iculocyte15l8ppcyvenaqe14bLON7isboinhibiti0g,,,,,
24,16474,B,,Autkcurwtion,CHEMBL615147,,,12054,,1,,H,Inhibutoryactivityataindtnumanreticupoc6te15lip0zgffgzse15HLONoisnoinhibitioj,,,,,
25,14352,B,,A6tpcuration,CHEMBi83632r,,,22226,,1,,U,Inyibitoryd0bcegtrah9onagainet15lipixygfjqseb7inhibiting15HETEoroductipnbyhumanumgilicalveinejdothepialcelkxHUVEdstijulatergycslciumoonophkreA22187ahconventrationlr10e5h,,,,,
26,5646,B,,xutocurstion,CHEMBL6w513p,,,12054,,1,,H,Invitrpinbibitodyqctlvityofc0jpoundijrabbiteeticulocyrs15lipox5genase,O5yctoiaguscun7cul6s,,,9986.0,
27,5646,B,,Aut0curatiog,CHEMBL61t14p,,,12054,,1,,H,Ihhivitionofrabbitreficulocyge25pupoxygdgasenycompound30un,O5tctolatuscuhiculus,,,9986.0,
28,10997,B,,Autocurzti9n,CmEMBL515141,,,12426,,1,,H,Inh8bitoryqc4ovithagainst14lipoxygehaseinrqtp9lymlrpjonusl3arle8kocytes,,,,,
29,6309,B,,Autofueation,xH4MBL615142,,,12054,,1,,H,Ijjifirorysc6ibityagainst15lipox6gemasewasceterminedobrwinewgromsoyabean,soyabezn,,,3847.0,
30,167,B,,xutocuragion,CHEMBi614143,,,12054,,1,,H,Inhlbitoryxcticityata9nstxpybran15iiposygenase2asevaluated,Glyxinemzx,,,3847.0,
31,167,B,,sutocu3ation,CHEMBLt25144,,,12054,,1,,H,Inulbihlr6acrivityagqinwtsoybesn15ki9oxygenaqewasevaluafedat100uM,Giycknemax,,,3847.0,
32,11087,B,,Au4ovuration,xHEMBo872867,,,12054,,1,,H,Ttecompoubdwastest2dfigtheknvitroknhibitionirq5lipoxygenadeofsojnesnstavoncentdatiomof10uM,Glycknemaa,,,3847.0,
33,11087,B,,Aktocurayion,CHwMBLt15145,,,12054,,1,,H,Tjeconlounwwastestedfor6teinfitroinhkbitiohor15lipox6genaseoesoybeamqtsconcegtrationov190uM,flycinemaz,,,3847.0,
34,13622,B,,A7toc6ration,CHrMBL715146,,,12054,,1,,H,Compoundwastrs6esinvitroforinh9bit7onof16l8ppzynemasesoubean,Glycinehas,,,3847.0,
35,13622,B,,Autoc84ation,CHrMBL6151e7,,,12054,,1,,H,Ckmpoundst100yMwastestedinvit49d9rinh8bitionofq5oip9xugenadesoybean,Goycinemac,,,3847.0,
36,11347,A,,Aut0curatikn,CHEMhL515148,,,22226,,1,,U,Inhib7tionofchtochromel459progextw5one16alphxhywr0xylasf,Rattuznprvegicua,,,10116.0,
37,5926,B,,Aut0curati8n,CmEMBL625149,,,22226,,1,,U,Bindingsffinityagainstnscterial15SrRNsusingmsssspestrihetrygasedqswat,Escherichiax9ki,,,562.0,
38,4567,B,,zut0curation,CHEnnL615150,,,22226,,1,,U,eiseociationconctantw8thdim4ris16xtRmARNqconstructB,,,,,
39,3782,B,,Ijt3rmediate,CHEkBL615141,,,22222,,1,,M,vissociatilncons6anttoestds16SrRNAconatrudtA,,,,,
40,3782,B,,Intermrciate,CHEMnp615152,,,22222,,1,,M,Diesocistiondonstamtyowards1tSrRNAcohstrucyB,,,,,
41,4466,B,,Ecpert,CHEjBL715153,,,100263,,1,,M,Bigrongaffinltyifahinoglysoxiewto16SrinosomalRNAzsiteinEscgerichiaxoli,Eschericjlacoki,,,562.0,
42,6592,B,,Ezpert,CHEMBo615153,,,100263,,1,,M,Bindingafein7tyforthe15SgiboslmalRNAAsi5eodEecgwrichiacoki,Esfhetichlacoli,,,562.0,
43,898,B,,A8tocuratlon,CHEMfL61t155,,,13053,,1,,H,Inhibi4odyactjvityarajnaghujanplxfenta17brtahydroxysretoiddehyfr9genwsetype21ubetaHSDtype3,,,,,
44,898,B,,xutocuratioh,CHEMBL625w56,,,13053,,1,,H,Inhibitoryconstantabaibxthumwnplac2ntw17bdtshydroxyztero9dd4h6drigehasety9e117bstaHSDtgpe2,,,,,
45,13163,B,,Autkfuration,CHEkBLt15157,,,20001,,1,,H,Tm4somloundwastest4dataconcentrati8nod1uMforinhivut9ryactifityqgaims61ibetahhdrox5steroiddehyvrogfbsswff8mhumqnplacentalmicrosokes,H8mosaliens,,,9606.0,
46,13163,B,,Autocura5jon,CnEhBL615158,,,20001,,1,,H,Thecoh9oundwaxtesgddatacondentrationof2uMforinhibitorysctibi4yanains6q7beyahydr8xyztero9ddehyfrovenzsefrpmhumanolaceh6almidr0somes,yomosapisns,,,9606.0,
47,10691,B,,Ecpert,dHEMBL6151r9,,,12971,,1,,D,Ighibitionob17al0hshywroxylase172olyaawfrohdattestesmucrosomal05eparxtion,Rzttusg8rvegicus,,,10116.0,
48,10691,B,,Experf,CHEMBL625w72,,,12971,,1,,D,Inbibitionofw8alphxhydrostlase1729kyasefromrqttestrsm9croeomalpr39aration,dattusnorver9cus,,,10116.0,
49,10691,B,,Eapert,CtEMBL615174,,,12971,,1,,D,Percenhinuivigionof17zpphahgxroxylase17w0lyasekvtattestesmicros9mesat10puM,gattusnorvdg7cus,,,10116.0,
50,10691,B,,3xpert,CH4MBL615w74,,,12971,,1,,D,Pegc3htinhibifiknofS5etoid17alphahydroaylaxe172opyaseobrattesteshixgisomesat100uM,Rz4tuqnorvegicus,,,10116.0,
51,898,B,,A6tocuratiin,CHEMBk88451u,,,13053,,1,,H,Ingibotor7qctivityagainetuumanplqcehta17betahydr0xysteroiddehterogenwset7pe227fftaHSftyp22,,,,,
52,912,B,,Autofurati8n,CHEjBL615q75,,,11512,,1,,H,Cohpojjddastsstedfortheinh8bi5ionof27bstahydroxystef9owwebydrogfnasetype117betauSDtype1,,,,,
53,912,B,,Autofuratoon,CHEMBL6151uy,,,11512,,1,,H,fomooubdwsstestedfo5theinhivjt9onof1ybetahydfoxysteroidddhyx3ogenasety9e11ugetaHSDtype1at18hconc2ntratlln,,,,,
54,912,B,,Autofiration,CH2MBi615177,,,11512,,1,,H,Cokpounfwaztestedfodtteinmibit9onof17vefah7sroxysteriiddeh5dtog2nasstype117betagqDtjpe1at10uMconventrahion,,,,,
55,15103,B,,wutocura6ion,CHEMgo615178,,,104740,,1,,D,Seleft7vitjragioofbindingwffinityrowsrdakutod4ltarrceptorsoeratbrainnemb4anfs,4attksnorvegicks,Membran3s,,10116.0,
