assays_ASI,assays_DOI,assays_ASST,assays_ASSCT,assays_CURAB,assays_CHEI,assays_ASTTY,assays_TII,assays_Ti,assays_SASI,assays_SRI,assays_VARII,assays_RELATTY,assays_Descri,assays_ASSOR,assays_ASSSUBFRA,assays_ASTI,assays_CONFSC,assays_CEI,assays_BFOR
7524,9866,A,,Intermediate,CHEMBL618647,In vivo,2113.0,50597,,1,,N,Biodistribution in normal rat kidney in the presence of 0.005 M Gd/0.01 M lig at 2 hr,Rattus norvegicus,,Kidney,1,,BAO_0000218
7525,9866,A,,Intermediate,CHEMBL618648,In vivo,2113.0,50597,,1,,N,Biodistribution in normal rat kidney in the presence of 0.01 M Gd/0.05 M lig,Rattus norvegicus,,Kidney,1,,BAO_0000218
7526,9866,A,,Intermediate,CHEMBL618649,In vivo,2113.0,50597,,1,,N,Biodistribution in normal rat kidney in the presence of NAC Gd 0.01 M lig at 2 hr,Rattus norvegicus,,Kidney,1,,BAO_0000218
7527,9866,A,,Intermediate,CHEMBL618650,In vivo,2107.0,50597,,1,,N,Biodistribution in normal rat liver in the presence of 0.005 M Gd/0.01 M lig at 2 hr,Rattus norvegicus,,Liver,1,,BAO_0000218
7528,9866,A,,Intermediate,CHEMBL618651,In vivo,2107.0,50597,,1,,N,Biodistribution in normal rat liver in the presence of 0.01 M Gd/0.05 M lig,Rattus norvegicus,,Liver,1,,BAO_0000218
7529,9866,A,,Intermediate,CHEMBL876497,In vivo,2107.0,50597,,1,,N,Biodistribution in normal rat liver in the presence of NAC Gd 0.01 M lig at 2 hr,Rattus norvegicus,,Liver,1,,BAO_0000218
7530,9866,A,,Intermediate,CHEMBL618652,In vivo,2048.0,50597,,1,,N,Biodistribution in normal rat lung in the presence of 0.005 M Gd/0.01 M lig at 2 hr,Rattus norvegicus,,Lung,1,,BAO_0000218
7531,9866,A,,Intermediate,CHEMBL618653,In vivo,2048.0,50597,,1,,N,Biodistribution in normal rat lung in the presence of 0.01 M Gd/0.05 M lig,Rattus norvegicus,,Lung,1,,BAO_0000218
7532,9866,A,,Intermediate,CHEMBL618654,In vivo,2048.0,50597,,1,,N,Biodistribution in normal rat lung in the presence of NAC Gd 0.01 M lig at 2 hr,Rattus norvegicus,,Lung,1,,BAO_0000218
7533,6351,A,,Intermediate,CHEMBL618655,,,50597,,1,,N,Recovery rate from urine and bile was determined after iv administration at 20 mg/kg in rats; Not tested,Rattus norvegicus,,,1,,BAO_0000218
7534,1465,A,,Intermediate,CHEMBL618656,,,50597,,1,,N,Compound was tested for solubility in water,Rattus norvegicus,,,1,,BAO_0000218
