Fiscal year,Branch name,CIDA business delivery model (old),Project number,Sector ID,Section name,FSTC percent,Youth issues (marker),CountryRegion name,Bilateral aid (international marker),Trade development (marker),Untied amount(Project-level budget),Status,Urban issues (marker),Climate change adaptation (marker),Branch ID,Desertification (marker),PBA type,Organisation class,Organisation type,Indigenous issues (marker),ICT as a tool for development (marker),CFLI (marker),CountryRegion percent,Regional program (marker),Participatory development and good governance,Children issues (marker),Fund centre name,Organisation sub-class,Division name,Enviromental sustainability (marker),IRTC percent,Disability issues (marker),Project Browser country ID,Organisation name,Maximum CIDA contribution (project-level),Division ID,Section ID,Fund centre ID,Programming process (new),Climate change mitigation (marker),Biodiversity (marker),Knowledge for development (marker)
2009/2010,OGM Asia Pacific,Directive,A017716001,15150,Bangladesh Section,1.0,0,Bangladesh,1,0,8500267.65,Closed,0,0,B4100,0,Not PBA,Individual,Canadian Profit Making,0,0,0,1.0,0,0,0,Bangladesh,CONSULTANT,OAD Asia Programming,0,0.0,0,BD,Information not available,8500267.65,D4100,S4122,4122,Uncoded: Pre-APP,0,0,0
2009/2010,OGM Asia Pacific,Directive,A017716001,24040,Bangladesh Section,1.0,0,Bangladesh,1,0,8500267.65,Closed,0,0,B4100,0,Not PBA,Individual,Canadian Profit Making,0,0,0,1.0,0,0,0,Bangladesh,CONSULTANT,OAD Asia Programming,0,0.0,0,BD,Information not available,8500267.65,D4100,S4122,4122,Uncoded: Pre-APP,0,0,0
2009/2010,OGM Asia Pacific,Directive,A017716001,25020,Bangladesh Section,1.0,0,Bangladesh,1,0,8500267.65,Closed,0,0,B4100,0,Not PBA,Individual,Canadian Profit Making,0,0,0,1.0,0,0,0,Bangladesh,CONSULTANT,OAD Asia Programming,0,0.0,0,BD,Information not available,8500267.65,D4100,S4122,4122,Uncoded: Pre-APP,0,0,0
2009/2010,"EGM Europe, Middle East and Maghreb",Directive,A018652001,99810,West Bank Gaza & Palestinian Refugees,0.0,0,West Bank Gaza,1,0,0.0,Closed,0,0,B3100,0,Not PBA,Governmental,Canadian Non-Profit Making,0,0,0,1.0,0,0,0,West Bank Gaza,FEDERAL,EDD Europe-Middle East Programming,0,0.0,0,PS,Department of Foreign Affairs and International Trade,500458.33,D3100,S4264,4265,Uncoded: Pre-APP,0,0,0
2009/2010,WGM Sub-Saharan Africa,Responsive,A018893001,16020,Mali Program Section,1.0,0,Mali,1,0,14410076.46,Closed,1,0,B4200,0,Not PBA,Governmental,Canadian Non-Profit Making,0,0,0,1.0,0,1,0,Mali,FEDERAL,WWD West & Central Africa,0,0.0,0,ML,Department of Foreign Affairs and International Trade,14410076.46,D4207,S4215,4216,Uncoded: Pre-APP,0,0,0
2009/2010,WGM Sub-Saharan Africa,Responsive,A018893001,32310,Mali Program Section,1.0,0,Mali,1,0,14410076.46,Closed,1,0,B4200,0,Not PBA,Governmental,Canadian Non-Profit Making,0,0,0,1.0,0,1,0,Mali,FEDERAL,WWD West & Central Africa,0,0.0,0,ML,Department of Foreign Affairs and International Trade,14410076.46,D4207,S4215,4216,Uncoded: Pre-APP,0,0,0
2009/2010,WGM Sub-Saharan Africa,Responsive,A018893001,43030,Mali Program Section,1.0,0,Mali,1,0,14410076.46,Closed,1,0,B4200,0,Not PBA,Governmental,Canadian Non-Profit Making,0,0,0,1.0,0,1,0,Mali,FEDERAL,WWD West & Central Africa,0,0.0,0,ML,Department of Foreign Affairs and International Trade,14410076.46,D4207,S4215,4216,Uncoded: Pre-APP,0,0,0
2009/2010,OGM Asia Pacific,Responsive,A019043001,15110,"OAA Afghanistan, Pakistan and Sri Lanka",1.0,0,Pakistan,1,0,13743220.56,Closed,0,0,B4100,0,Not PBA,Governmental,Canadian Non-Profit Making,0,0,0,1.0,0,1,0,Pakistan,FEDERAL,OAD Asia Programming,0,0.0,0,PK,Department of Foreign Affairs and International Trade,13743220.56,D4100,S4141,4124,Uncoded: Pre-APP,0,0,0
2009/2010,OGM Asia Pacific,Responsive,A019043001,15111,"OAA Afghanistan, Pakistan and Sri Lanka",1.0,0,Pakistan,1,0,13743220.56,Closed,0,0,B4100,0,Not PBA,Governmental,Canadian Non-Profit Making,0,0,0,1.0,0,1,0,Pakistan,FEDERAL,OAD Asia Programming,0,0.0,0,PK,Department of Foreign Affairs and International Trade,13743220.56,D4100,S4141,4124,Uncoded: Pre-APP,0,0,0
2009/2010,OGM Asia Pacific,Responsive,A019043001,16010,"OAA Afghanistan, Pakistan and Sri Lanka",1.0,0,Pakistan,1,0,13743220.56,Closed,0,0,B4100,0,Not PBA,Governmental,Canadian Non-Profit Making,0,0,0,1.0,0,1,0,Pakistan,FEDERAL,OAD Asia Programming,0,0.0,0,PK,Department of Foreign Affairs and International Trade,13743220.56,D4100,S4141,4124,Uncoded: Pre-APP,0,0,0
