assays_ss_tp,assays_cnfdnc_scr,assays_b_frmt,assays_dscrptn,assays_ss_d,assays_ss_rgnsm,assays_td,assays_src_ss_d,assays_vrnt_d,assays_ss_tss,assays_ss_cll_tp,assays_rltnshp_tp,assays_dc_d,assays_ss_strn,assays_cll_d,assays_ss_ctgr,assays_tss_d,assays_ss_tst_tp,assays_src_d,assays_ss_tx_d,assays_chmbl_d,assays_crtd_b,assays_ss_sbclllr_frctn
A,1,BAO_0000218,Biodistribution in normal rat kidney in the presence of 0.005 M Gd/0.01 M lig at 2 hr,7524,Rattus norvegicus,50597,,,Kidney,,N,9866,,,,2113.0,In vivo,1,10116.0,CHEMBL618647,Intermediate,
A,1,BAO_0000218,Biodistribution in normal rat kidney in the presence of 0.01 M Gd/0.05 M lig,7525,Rattus norvegicus,50597,,,Kidney,,N,9866,,,,2113.0,In vivo,1,10116.0,CHEMBL618648,Intermediate,
A,1,BAO_0000218,Biodistribution in normal rat kidney in the presence of NAC Gd 0.01 M lig at 2 hr,7526,Rattus norvegicus,50597,,,Kidney,,N,9866,,,,2113.0,In vivo,1,10116.0,CHEMBL618649,Intermediate,
A,1,BAO_0000218,Biodistribution in normal rat liver in the presence of 0.005 M Gd/0.01 M lig at 2 hr,7527,Rattus norvegicus,50597,,,Liver,,N,9866,,,,2107.0,In vivo,1,10116.0,CHEMBL618650,Intermediate,
A,1,BAO_0000218,Biodistribution in normal rat liver in the presence of 0.01 M Gd/0.05 M lig,7528,Rattus norvegicus,50597,,,Liver,,N,9866,,,,2107.0,In vivo,1,10116.0,CHEMBL618651,Intermediate,
A,1,BAO_0000218,Biodistribution in normal rat liver in the presence of NAC Gd 0.01 M lig at 2 hr,7529,Rattus norvegicus,50597,,,Liver,,N,9866,,,,2107.0,In vivo,1,10116.0,CHEMBL876497,Intermediate,
A,1,BAO_0000218,Biodistribution in normal rat lung in the presence of 0.005 M Gd/0.01 M lig at 2 hr,7530,Rattus norvegicus,50597,,,Lung,,N,9866,,,,2048.0,In vivo,1,10116.0,CHEMBL618652,Intermediate,
A,1,BAO_0000218,Biodistribution in normal rat lung in the presence of 0.01 M Gd/0.05 M lig,7531,Rattus norvegicus,50597,,,Lung,,N,9866,,,,2048.0,In vivo,1,10116.0,CHEMBL618653,Intermediate,
A,1,BAO_0000218,Biodistribution in normal rat lung in the presence of NAC Gd 0.01 M lig at 2 hr,7532,Rattus norvegicus,50597,,,Lung,,N,9866,,,,2048.0,In vivo,1,10116.0,CHEMBL618654,Intermediate,
A,1,BAO_0000218,Recovery rate from urine and bile was determined after iv administration at 20 mg/kg in rats; Not tested,7533,Rattus norvegicus,50597,,,,,N,6351,,,,,,1,10116.0,CHEMBL618655,Intermediate,
A,1,BAO_0000218,Compound was tested for solubility in water,7534,Rattus norvegicus,50597,,,,,N,1465,,,,,,1,10116.0,CHEMBL618656,Intermediate,
P,0,BAO_0000100,Solubility in phosphate buffered saline (1% DMSO) at pH 6.5 (24 hr equilibration),7535,,22229,,,,,U,5182,,,,,,1,,CHEMBL618657,Intermediate,
