assay_id,assay_tissue,doc_id,tissue_id,assay_organism,assay_category,cell_id,assay_tax_id,assay_subcellular_fraction,curated_by,assay_strain,description,assay_type,assay_test_type,assay_cell_type,tid,relationship_type
1,,11087,,,,,,,Autocuration,,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,B,,,12052,H
2,,684,,,,,,,Autocuration,,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,F,,,22226,U
3,,15453,,,,,,,Autocuration,,,B,,,22226,U
4,,17841,,Bos taurus,,,9913.0,,Autocuration,,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,B,,,104729,H
5,,17430,,Homo sapiens,,163.0,9606.0,,Intermediate,,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),F,,143B,80001,N
6,,17430,,Homo sapiens,,163.0,9606.0,,Intermediate,,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),F,,143B,80001,N
7,,13799,,Mus musculus,,163.0,10090.0,,Intermediate,,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,F,,143B,80001,N
8,,17774,,Homo sapiens,,163.0,9606.0,,Expert,,In vitro cell cytotoxicity was determined against 143B cell line,F,,143B,80001,N
9,,3801,,Homo sapiens,,163.0,9606.0,,Intermediate,,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,F,,143B,80001,N
10,,17430,,Homo sapiens,,163.0,9606.0,,Intermediate,,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,F,,143B,80001,N
11,,17430,,Homo sapiens,,163.0,9606.0,,Intermediate,,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,F,,143B,80001,N
12,,17774,,Homo sapiens,,163.0,9606.0,,Expert,,In vitro cell cytotoxicity was determined against 143B-LTK cell line,F,,143B,80001,N
13,,11324,,Staphylococcus aureus,,,1280.0,,Intermediate,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",F,,,50185,N
14,,11324,,Staphylococcus aureus,,,1280.0,,Intermediate,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",F,,,50185,N
15,,11324,,Staphylococcus aureus,,,1280.0,,Intermediate,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",F,,,50185,N
16,,11324,,Staphylococcus aureus,,,1280.0,,Intermediate,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",F,,,50185,N
17,,11347,,Rattus norvegicus,,,10116.0,,Expert,,Inhibition of cytochrome P450 progesterone 15-alpha hydroxylase,A,,,100122,D
18,,16474,,,,,,,Autocuration,,Concentration that cause 50% activation of human reticulocyte 15-lipoxygenase (15-HLO),B,,,12054,H
19,,10091,,,,,,,Autocuration,,Inhibition of partially purified 15-lipoxygenase from human leukocytes,B,,,12054,H
20,,16474,,,,,,,Autocuration,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),B,,,12054,H
21,,16474,,,,,,,Autocuration,,Compound was evaluated for the percent increase in activation concentration of human reticulocyte 15-lipoxygenase (15-HLO),B,,,12054,H
22,,16474,,,,,,,Autocuration,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),B,,,12054,H
23,,16474,,,,,,,Autocuration,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,B,,,12054,H
24,,16474,,,,,,,Autocuration,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,B,,,12054,H
25,,14352,,,,,,,Autocuration,,"Inhibitory concentration against 15-lipoxygenase, by inhibiting 15-HETE production by human umbilical vein endothelial cells (HUVEC) stimulated by calcium ionophore A 23187 at concentration of 10e-5 M.",B,,,22226,U
26,,5646,,Oryctolagus cuniculus,,,9986.0,,Autocuration,,In vitro inhibitory activity of compound on rabbit reticulocyte 15-lipoxygenase,B,,,12054,H
27,,5646,,Oryctolagus cuniculus,,,9986.0,,Autocuration,,Inhibition of rabbit reticulocyte 15-lipoxygenase by compound (30 uM),B,,,12054,H
28,,10997,,,,,,,Autocuration,,Inhibitory activity against 15-lipoxygenase in rat polymorphonuclear leukocytes,B,,,12426,H
29,,6309,,soya bean,,,3847.0,,Autocuration,,Inhibitory activity against 15-lipoxygenase was determined obtained from soya bean,B,,,12054,H
30,,167,,Glycine max,,,3847.0,,Autocuration,,Inhibitory activity against soybean 15-lipoxygenase was evaluated,B,,,12054,H
31,,167,,Glycine max,,,3847.0,,Autocuration,,Inhibitory activity against soybean 15-lipoxygenase was evaluated at 100 uM,B,,,12054,H
32,,11087,,Glycine max,,,3847.0,,Autocuration,,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 10 uM,B,,,12054,H
33,,11087,,Glycine max,,,3847.0,,Autocuration,,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 100 uM,B,,,12054,H
34,,13622,,Glycine max,,,3847.0,,Autocuration,,Compound was tested in vitro for inhibition of 15-lipoxygenase soybean,B,,,12054,H
35,,13622,,Glycine max,,,3847.0,,Autocuration,,Compound at 100 uM was tested in vitro for inhibition of 15-lipoxygenase soybean,B,,,12054,H
36,,11347,,Rattus norvegicus,,,10116.0,,Autocuration,,Inhibition of cytochrome P450 progesterone 16-alpha hydroxylase,A,,,22226,U
37,,5926,,Escherichia coli,,,562.0,,Autocuration,,Binding affinity against bacterial 16S rRNA using mass spectrometry based assay,B,,,22226,U
38,,4567,,,,,,,Autocuration,,Dissociation constant with dimeric 16S rRNA RNA construct B,B,,,22226,U
39,,3782,,,,,,,Intermediate,,Dissociation constant towards 16S rRNA construct A,B,,,22222,M
40,,3782,,,,,,,Intermediate,,Dissociation constant towards 16S rRNA construct B,B,,,22222,M
41,,4466,,Escherichia coli,,,562.0,,Expert,,Binding affinity of aminoglycoside to 16S ribosomal RNA A-site in Escherichia coli,B,,,100263,M
42,,6592,,Escherichia coli,,,562.0,,Expert,,Binding affinity for the 16S ribosomal RNA A-site of Escherichia coli,B,,,100263,M
43,,898,,,,,,,Autocuration,,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),B,,,13053,H
44,,898,,,,,,,Autocuration,,Inhibitory constant against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),B,,,13053,H
45,,13163,,Homo sapiens,,,9606.0,,Autocuration,,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,B,,,20001,H
