Fiscal year,Sector ID,Climate change adaptation (marker),Organisation class,Project Browser country ID,CIDA business delivery model (old),Division name,Knowledge for development (marker),Untied amount(Project-level budget),Status,Gender equality (marker),Youth issues (marker),Project number,Programming process (new),Fund centre ID,Maximum CIDA contribution (project-level),Branch ID,Branch name,Division ID,Section ID,Section name,Regional program (marker),Fund centre name,FSTC percent,IRTC percent,CFLI (marker),Bilateral aid (international marker),PBA type,Enviromental sustainability (marker),Climate change mitigation (marker),Desertification (marker),Participatory development and good governance,Trade development (marker)
2009/2010,15150,0,Individual,BD,Directive,OAD Asia Programming,0,8500267.65,Closed,2,0,A017716001,Uncoded: Pre-APP,4122,8500267.65,B4100,OGM Asia Pacific,D4100,S4122,Bangladesh Section,0,Bangladesh,1.0,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,24040,0,Individual,BD,Directive,OAD Asia Programming,0,8500267.65,Closed,2,0,A017716001,Uncoded: Pre-APP,4122,8500267.65,B4100,OGM Asia Pacific,D4100,S4122,Bangladesh Section,0,Bangladesh,1.0,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,25020,0,Individual,BD,Directive,OAD Asia Programming,0,8500267.65,Closed,2,0,A017716001,Uncoded: Pre-APP,4122,8500267.65,B4100,OGM Asia Pacific,D4100,S4122,Bangladesh Section,0,Bangladesh,1.0,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,99810,0,Governmental,PS,Directive,EDD Europe-Middle East Programming,0,0.0,Closed,0,0,A018652001,Uncoded: Pre-APP,4265,500458.33,B3100,"EGM Europe, Middle East and Maghreb",D3100,S4264,West Bank Gaza & Palestinian Refugees,0,West Bank Gaza,0.0,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,16020,0,Governmental,ML,Responsive,WWD West & Central Africa,0,14410076.46,Closed,2,0,A018893001,Uncoded: Pre-APP,4216,14410076.46,B4200,WGM Sub-Saharan Africa,D4207,S4215,Mali Program Section,0,Mali,1.0,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,32310,0,Governmental,ML,Responsive,WWD West & Central Africa,0,14410076.46,Closed,2,0,A018893001,Uncoded: Pre-APP,4216,14410076.46,B4200,WGM Sub-Saharan Africa,D4207,S4215,Mali Program Section,0,Mali,1.0,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,43030,0,Governmental,ML,Responsive,WWD West & Central Africa,0,14410076.46,Closed,2,0,A018893001,Uncoded: Pre-APP,4216,14410076.46,B4200,WGM Sub-Saharan Africa,D4207,S4215,Mali Program Section,0,Mali,1.0,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,15110,0,Governmental,PK,Responsive,OAD Asia Programming,0,13743220.56,Closed,0,0,A019043001,Uncoded: Pre-APP,4124,13743220.56,B4100,OGM Asia Pacific,D4100,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,Pakistan,1.0,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,15111,0,Governmental,PK,Responsive,OAD Asia Programming,0,13743220.56,Closed,0,0,A019043001,Uncoded: Pre-APP,4124,13743220.56,B4100,OGM Asia Pacific,D4100,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,Pakistan,1.0,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,16010,0,Governmental,PK,Responsive,OAD Asia Programming,0,13743220.56,Closed,0,0,A019043001,Uncoded: Pre-APP,4124,13743220.56,B4100,OGM Asia Pacific,D4100,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,Pakistan,1.0,0.0,0,1,Not PBA,0,0,0,1,0
