confidence_score,doc_id,tissue_id,assay_type,assay_subcellular_fraction,src_assay_id,curated_by,chembl_id,src_id,assay_tissue,variant_id,assay_id,assay_test_type,relationship_type,bao_format,assay_cell_type,assay_tax_id,assay_category,assay_organism,description,assay_strain,tid,cell_id
8.0,11087.0,,B,,,Autocuration,CHEMBL615117,1.0,,,1.0,,H,BAO_0000019,,,,,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,,12052.0,
0.0,684.0,,F,,,Autocuration,CHEMBL615118,1.0,,,2.0,,U,BAO_0000219,,,,,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,,22226.0,
0.0,15453.0,,B,,,Autocuration,CHEMBL615119,1.0,,,3.0,,U,BAO_0000019,,,,,,,22226.0,
4.0,17841.0,,B,,,Autocuration,CHEMBL615120,1.0,,,4.0,,H,BAO_0000249,,9913.0,,Bos taurus,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,,104729.0,
1.0,17430.0,,F,,,Intermediate,CHEMBL615121,1.0,,,5.0,,N,BAO_0000219,143B,9606.0,,Homo sapiens,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),,80001.0,163.0
1.0,17430.0,,F,,,Intermediate,CHEMBL615122,1.0,,,6.0,,N,BAO_0000219,143B,9606.0,,Homo sapiens,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),,80001.0,163.0
1.0,13799.0,,F,,,Intermediate,CHEMBL615123,1.0,,,7.0,,N,BAO_0000219,143B,10090.0,,Mus musculus,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,,80001.0,163.0
1.0,17774.0,,F,,,Expert,CHEMBL615124,1.0,,,8.0,,N,BAO_0000219,143B,9606.0,,Homo sapiens,In vitro cell cytotoxicity was determined against 143B cell line,,80001.0,163.0
1.0,3801.0,,F,,,Intermediate,CHEMBL615125,1.0,,,9.0,,N,BAO_0000219,143B,9606.0,,Homo sapiens,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,,80001.0,163.0
1.0,17430.0,,F,,,Intermediate,CHEMBL615126,1.0,,,10.0,,N,BAO_0000219,143B,9606.0,,Homo sapiens,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,,80001.0,163.0
1.0,17430.0,,F,,,Intermediate,CHEMBL615127,1.0,,,11.0,,N,BAO_0000219,143B,9606.0,,Homo sapiens,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,,80001.0,163.0
1.0,17774.0,,F,,,Expert,CHEMBL615128,1.0,,,12.0,,N,BAO_0000219,143B,9606.0,,Homo sapiens,In vitro cell cytotoxicity was determined against 143B-LTK cell line,,80001.0,163.0
1.0,11324.0,,F,,,Intermediate,CHEMBL857900,1.0,,,13.0,,N,BAO_0000218,,1280.0,,Staphylococcus aureus,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,50185.0,
1.0,11324.0,,F,,,Intermediate,CHEMBL615129,1.0,,,14.0,,N,BAO_0000218,,1280.0,,Staphylococcus aureus,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,50185.0,
1.0,11324.0,,F,,,Intermediate,CHEMBL615130,1.0,,,15.0,,N,BAO_0000218,,1280.0,,Staphylococcus aureus,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,50185.0,
1.0,11324.0,,F,,,Intermediate,CHEMBL615131,1.0,,,16.0,,N,BAO_0000218,,1280.0,,Staphylococcus aureus,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,50185.0,
9.0,11347.0,,A,,,Expert,CHEMBL884521,1.0,,,17.0,,D,BAO_0000357,,10116.0,,Rattus norvegicus,Inhibition of cytochrome P450 progesterone 15-alpha hydroxylase,,100122.0,
8.0,16474.0,,B,,,Autocuration,CHEMBL615132,1.0,,,18.0,,H,BAO_0000357,,,,,Concentration that cause 50% activation of human reticulocyte 15-lipoxygenase (15-HLO),,12054.0,
8.0,10091.0,,B,,,Autocuration,CHEMBL615133,1.0,,,19.0,,H,BAO_0000019,,,,,Inhibition of partially purified 15-lipoxygenase from human leukocytes,,12054.0,
8.0,16474.0,,B,,,Autocuration,CHEMBL615134,1.0,,,20.0,,H,BAO_0000357,,,,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),,12054.0,
8.0,16474.0,,B,,,Autocuration,CHEMBL615135,1.0,,,21.0,,H,BAO_0000357,,,,,Compound was evaluated for the percent increase in activation concentration of human reticulocyte 15-lipoxygenase (15-HLO),,12054.0,
8.0,16474.0,,B,,,Autocuration,CHEMBL615136,1.0,,,22.0,,H,BAO_0000357,,,,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),,12054.0,
8.0,16474.0,,B,,,Autocuration,CHEMBL615137,1.0,,,23.0,,H,BAO_0000357,,,,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,,12054.0,
8.0,16474.0,,B,,,Autocuration,CHEMBL615138,1.0,,,24.0,,H,BAO_0000357,,,,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,,12054.0,
0.0,14352.0,,B,,,Autocuration,CHEMBL836324,1.0,,,25.0,,U,BAO_0000219,,,,,"Inhibitory concentration against 15-lipoxygenase, by inhibiting 15-HETE production by human umbilical vein endothelial cells (HUVEC) stimulated by calcium ionophore A 23187 at concentration of 10e-5 M.",,22226.0,
8.0,5646.0,,B,,,Autocuration,CHEMBL615139,1.0,,,26.0,,H,BAO_0000357,,9986.0,,Oryctolagus cuniculus,In vitro inhibitory activity of compound on rabbit reticulocyte 15-lipoxygenase,,12054.0,
8.0,5646.0,,B,,,Autocuration,CHEMBL615140,1.0,,,27.0,,H,BAO_0000357,,9986.0,,Oryctolagus cuniculus,Inhibition of rabbit reticulocyte 15-lipoxygenase by compound (30 uM),,12054.0,
8.0,10997.0,,B,,,Autocuration,CHEMBL615141,1.0,,,28.0,,H,BAO_0000219,,,,,Inhibitory activity against 15-lipoxygenase in rat polymorphonuclear leukocytes,,12426.0,
8.0,6309.0,,B,,,Autocuration,CHEMBL615142,1.0,,,29.0,,H,BAO_0000357,,3847.0,,soya bean,Inhibitory activity against 15-lipoxygenase was determined obtained from soya bean,,12054.0,
8.0,167.0,,B,,,Autocuration,CHEMBL615143,1.0,,,30.0,,H,BAO_0000357,,3847.0,,Glycine max,Inhibitory activity against soybean 15-lipoxygenase was evaluated,,12054.0,
8.0,167.0,,B,,,Autocuration,CHEMBL615144,1.0,,,31.0,,H,BAO_0000357,,3847.0,,Glycine max,Inhibitory activity against soybean 15-lipoxygenase was evaluated at 100 uM,,12054.0,
8.0,11087.0,,B,,,Autocuration,CHEMBL872867,1.0,,,32.0,,H,BAO_0000357,,3847.0,,Glycine max,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 10 uM,,12054.0,
8.0,11087.0,,B,,,Autocuration,CHEMBL615145,1.0,,,33.0,,H,BAO_0000357,,3847.0,,Glycine max,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 100 uM,,12054.0,
8.0,13622.0,,B,,,Autocuration,CHEMBL615146,1.0,,,34.0,,H,BAO_0000357,,3847.0,,Glycine max,Compound was tested in vitro for inhibition of 15-lipoxygenase soybean,,12054.0,
8.0,13622.0,,B,,,Autocuration,CHEMBL615147,1.0,,,35.0,,H,BAO_0000357,,3847.0,,Glycine max,Compound at 100 uM was tested in vitro for inhibition of 15-lipoxygenase soybean,,12054.0,
0.0,11347.0,,A,,,Autocuration,CHEMBL615148,1.0,,,36.0,,U,BAO_0000019,,10116.0,,Rattus norvegicus,Inhibition of cytochrome P450 progesterone 16-alpha hydroxylase,,22226.0,
0.0,5926.0,,B,,,Autocuration,CHEMBL615149,1.0,,,37.0,,U,BAO_0000019,,562.0,,Escherichia coli,Binding affinity against bacterial 16S rRNA using mass spectrometry based assay,,22226.0,
0.0,4567.0,,B,,,Autocuration,CHEMBL615150,1.0,,,38.0,,U,BAO_0000019,,,,,Dissociation constant with dimeric 16S rRNA RNA construct B,,22226.0,
3.0,3782.0,,B,,,Intermediate,CHEMBL615151,1.0,,,39.0,,M,BAO_0000225,,,,,Dissociation constant towards 16S rRNA construct A,,22222.0,
3.0,3782.0,,B,,,Intermediate,CHEMBL615152,1.0,,,40.0,,M,BAO_0000225,,,,,Dissociation constant towards 16S rRNA construct B,,22222.0,
3.0,4466.0,,B,,,Expert,CHEMBL615153,1.0,,,41.0,,M,BAO_0000225,,562.0,,Escherichia coli,Binding affinity of aminoglycoside to 16S ribosomal RNA A-site in Escherichia coli,,100263.0,
3.0,6592.0,,B,,,Expert,CHEMBL615154,1.0,,,42.0,,M,BAO_0000225,,562.0,,Escherichia coli,Binding affinity for the 16S ribosomal RNA A-site of Escherichia coli,,100263.0,
8.0,898.0,,B,,,Autocuration,CHEMBL615155,1.0,,,43.0,,H,BAO_0000019,,,,,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,13053.0,
8.0,898.0,,B,,,Autocuration,CHEMBL615156,1.0,,,44.0,,H,BAO_0000019,,,,,Inhibitory constant against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,13053.0,
8.0,13163.0,,B,,,Autocuration,CHEMBL615157,1.0,,,45.0,,H,BAO_0000019,,9606.0,,Homo sapiens,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,,20001.0,
8.0,13163.0,,B,,,Autocuration,CHEMBL615158,1.0,,,46.0,,H,BAO_0000019,,9606.0,,Homo sapiens,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,,20001.0,
9.0,10691.0,,B,,,Expert,CHEMBL615159,1.0,,,47.0,,D,BAO_0000019,,10116.0,,Rattus norvegicus,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",,12971.0,
9.0,10691.0,,B,,,Expert,CHEMBL615172,1.0,,,48.0,,D,BAO_0000019,,10116.0,,Rattus norvegicus,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",,12971.0,
9.0,10691.0,,B,,,Expert,CHEMBL615173,1.0,,,49.0,,D,BAO_0000019,,10116.0,,Rattus norvegicus,"Percent inhibition of 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",,12971.0,
9.0,10691.0,,B,,,Expert,CHEMBL615174,1.0,,,50.0,,D,BAO_0000019,,10116.0,,Rattus norvegicus,"Percent inhibition of Steroid 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",,12971.0,
8.0,898.0,,B,,,Autocuration,CHEMBL884518,1.0,,,51.0,,H,BAO_0000019,,,,,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,13053.0,
8.0,912.0,,B,,,Autocuration,CHEMBL615175,1.0,,,52.0,,H,BAO_0000357,,,,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1),,11512.0,
8.0,912.0,,B,,,Autocuration,CHEMBL615176,1.0,,,53.0,,H,BAO_0000357,,,,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 1 uM concentration,,11512.0,
8.0,912.0,,B,,,Autocuration,CHEMBL615177,1.0,,,54.0,,H,BAO_0000357,,,,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 10 uM concentration,,11512.0,
5.0,15103.0,,B,Membranes,,Autocuration,CHEMBL615178,1.0,,,55.0,,D,BAO_0000249,,10116.0,,Rattus norvegicus,Selectivity ratio of binding affinity towards mu to delta receptors of rat brain membranes,,104740.0,
1.0,5116.0,,F,,,Intermediate,CHEMBL615179,1.0,,,56.0,,N,BAO_0000219,1A9,9606.0,,Homo sapiens,Cytotoxicity against ovarian cancer cell line (1A-9) of humans was determined,,80002.0,506.0
7.0,14578.0,,F,,,Autocuration,CHEMBL615180,1.0,,,57.0,,D,BAO_0000219,Oocytes,10116.0,,Rattus norvegicus,Functional antagonism by electrical assays in Xenopus oocytes expressing 1A/2A NMDA receptor subtype,,104835.0,
7.0,14578.0,,F,,,Autocuration,CHEMBL615181,1.0,,,58.0,,D,BAO_0000219,Oocytes,10116.0,,Rattus norvegicus,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2B NMDA receptor,,104821.0,
7.0,14578.0,,F,,,Autocuration,CHEMBL615182,1.0,,,59.0,,D,BAO_0000219,Oocytes,10116.0,,Rattus norvegicus,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2C NMDA receptor,,104848.0,
1.0,4787.0,,F,,,Expert,CHEMBL615183,1.0,,,60.0,,N,BAO_0000219,1A9,9606.0,,Homo sapiens,In vitro effective concentration required to reduce the number of human ovarian cancer (1A9) after 3-day incubation,,80002.0,506.0
1.0,4787.0,,F,,,Intermediate,CHEMBL615184,1.0,,,61.0,,N,BAO_0000219,1A9,9606.0,,Homo sapiens,In vitro effective concentration required to reduce the number of human ovarian cancer cells (1A9) after 3-day incubation,,80002.0,506.0
