assay_id,doc_id,confidence_score,assay_strain,cell_id,assay_category,curated_by,tissue_id,assay_cell_type,assay_tissue,assay_tax_id,description,assay_type,assay_test_type,assay_organism,assay_subcellular_fraction,tid
1,11087,8,,,,Autocuration,,,,,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,B,,,,12052
2,684,0,,,,Autocuration,,,,,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,F,,,,22226
3,15453,0,,,,Autocuration,,,,,,B,,,,22226
4,17841,4,,,,Autocuration,,,,9913.0,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,B,,Bos taurus,,104729
5,17430,1,,163.0,,Intermediate,,143B,,9606.0,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),F,,Homo sapiens,,80001
6,17430,1,,163.0,,Intermediate,,143B,,9606.0,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),F,,Homo sapiens,,80001
7,13799,1,,163.0,,Intermediate,,143B,,10090.0,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,F,,Mus musculus,,80001
8,17774,1,,163.0,,Expert,,143B,,9606.0,In vitro cell cytotoxicity was determined against 143B cell line,F,,Homo sapiens,,80001
9,3801,1,,163.0,,Intermediate,,143B,,9606.0,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,F,,Homo sapiens,,80001
10,17430,1,,163.0,,Intermediate,,143B,,9606.0,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,F,,Homo sapiens,,80001
11,17430,1,,163.0,,Intermediate,,143B,,9606.0,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,F,,Homo sapiens,,80001
12,17774,1,,163.0,,Expert,,143B,,9606.0,In vitro cell cytotoxicity was determined against 143B-LTK cell line,F,,Homo sapiens,,80001
