miller2_FiscalYear,miller2_IndigenousIssues(marker),miller2_CFLI(marker),miller2_Biodiversity(marker),miller2_RegionalProgram(marker),miller2_DivisionName,miller2_UntiedAmount(Project-levelBudget),miller2_SectorPercent,miller2_OrganisationSub-class,miller2_FundCentreID,miller2_ProjectNumber,miller2_FundCentreName,miller2_OrganisationType,miller2_KnowledgeForDevelopment(marker),miller2_GenderEquality(marker),miller2_TradeDevelopment(marker),miller2_UrbanIssues(marker),miller2_ChildrenIssues(marker),miller2_YouthIssues(marker),miller2_DisabilityIssues(marker),miller2_ICTAsAToolForDevelopment(marker),miller2_OrganisationID,miller2_OrganisationName,miller2_OrganisationClass,miller2_ContinentID,miller2_ContinentName,miller2_ProjectBrowserCountryID,miller2_CountryRegionID,miller2_CountryRegionName,miller2_CountryRegionPercent,miller2_SectorID,miller2_SectorName,miller2_AmountSpent
2009/2010,0,0,0,0,MID International Organizations,2460000.0,0.14,UNITED NATIONS,5291,M013170001,UN - CORE,Foreign Non-Profit Making,1,0,0,0,0,0,0,1,1005967,IAEA - International Atomic Energy Agency Technical Cooperation Fund,Multilateral,3,Asia,X3,X3,Asia MC,0.22,33140,Multilateral trade negotiations,75768.0
2009/2010,0,0,0,0,MID International Organizations,2460000.0,0.505,UNITED NATIONS,5291,M013170001,UN - CORE,Foreign Non-Profit Making,1,0,0,0,0,0,0,1,1005967,IAEA - International Atomic Energy Agency Technical Cooperation Fund,Multilateral,3,Asia,X3,X3,Asia MC,0.22,99810,Sectors not specified,273306.0
2009/2010,0,0,0,0,MID International Organizations,2460000.0,0.268,UNITED NATIONS,5291,M013170001,UN - CORE,Foreign Non-Profit Making,1,0,0,0,0,0,0,1,1005967,IAEA - International Atomic Energy Agency Technical Cooperation Fund,Multilateral,5,Europe,X4,X4,Europe MC,0.32,12191,Medical services,210969.6
2009/2010,0,0,0,0,MID International Organizations,2460000.0,0.047,UNITED NATIONS,5291,M013170001,UN - CORE,Foreign Non-Profit Making,1,0,0,0,0,0,0,1,1005967,IAEA - International Atomic Energy Agency Technical Cooperation Fund,Multilateral,5,Europe,X4,X4,Europe MC,0.32,14015,Water resources conservation (including data collection),36998.4
2009/2010,0,0,0,0,MID International Organizations,2460000.0,0.04,UNITED NATIONS,5291,M013170001,UN - CORE,Foreign Non-Profit Making,1,0,0,0,0,0,0,1,1005967,IAEA - International Atomic Energy Agency Technical Cooperation Fund,Multilateral,5,Europe,X4,X4,Europe MC,0.32,23510,Nuclear energy electric power plants,31488.0
2009/2010,0,0,0,0,MID International Organizations,2460000.0,0.14,UNITED NATIONS,5291,M013170001,UN - CORE,Foreign Non-Profit Making,1,0,0,0,0,0,0,1,1005967,IAEA - International Atomic Energy Agency Technical Cooperation Fund,Multilateral,5,Europe,X4,X4,Europe MC,0.32,33140,Multilateral trade negotiations,110208.0
2009/2010,0,0,0,0,MID International Organizations,2460000.0,0.505,UNITED NATIONS,5291,M013170001,UN - CORE,Foreign Non-Profit Making,1,0,0,0,0,0,0,1,1005967,IAEA - International Atomic Energy Agency Technical Cooperation Fund,Multilateral,5,Europe,X4,X4,Europe MC,0.32,99810,Sectors not specified,397536.0
2009/2010,0,0,0,0,MHDInternational Humanitarian Assistance,300000.0,1.0,REGIONAL ORGANIZATION,5303,M013171001,MHI Non-Food INIT,Foreign Non-Profit Making,0,0,0,0,0,0,0,0,1001300,PAHO - Pan American Health Organization,Multilateral,1,America,SV,SV,El Salvador,1.0,72010,Material relief assistance and services,300000.0
2009/2010,0,0,0,0,MHDInternational Humanitarian Assistance,3000000.0,1.0,INTERNATIONAL NGO,5311,M013172001,MHO Non Food - CORE,Canadian Non-Profit Making,0,1,0,0,0,0,0,0,1014663,ICRC Appeals via CRCS,Civil Society,2,Africa,X1,X1,Africa MC,0.5,72010,Material relief assistance and services,1500000.0
2009/2010,0,0,0,0,MHDInternational Humanitarian Assistance,3000000.0,1.0,INTERNATIONAL NGO,5311,M013172001,MHO Non Food - CORE,Canadian Non-Profit Making,0,1,0,0,0,0,0,0,1014663,ICRC Appeals via CRCS,Civil Society,1,America,X2,X2,Americas MC,0.15,72010,Material relief assistance and services,450000.0
