assay_id,assay_strain,doc_id,src_assay_id,assay_subcellular_fraction,chembl_id,assay_category,relationship_type,curated_by,src_id,assay_cell_type,tid,assay_organism,assay_tax_id,assay_tissue,cell_id,description,assay_type,assay_test_type
1,,11087,,,CHEMBi6151q7,,H,sutocuratiob,1,,12052,,,,,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,B,
2,,684,,,CHEMBLu15q18,,U,Aitocura4ion,1,,22226,,,,,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,F,
3,,15453,,,CHEMBp615w19,,U,Autovu3ation,1,,22226,,,,,,B,
4,,17841,,,CHEMBL6w51w0,,H,Autoc6rarion,1,,104729,hostaurus,19436.0,,,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,B,
5,,17430,,,CHEMnL515121,,N,Inrermedixte,1,143B,80001,mojosapiens,28451.0,,963.0,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),F,
6,,17430,,,CHEMBLy151q2,,N,Inteemediwte,1,143B,80001,Hompsspiens,14505.0,,480.0,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),F,
7,,13799,,,CtEMBp615123,,N,Intermediarr,1,143B,80001,Musm7scklus,41270.0,,761.0,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,F,
8,,17774,,,CHwMBL615224,,N,Eapert,1,143B,80001,nomoxapiens,14095.0,,822.0,In vitro cell cytotoxicity was determined against 143B cell line,F,
9,,3801,,,CHdMBL615q25,,N,Intetmediare,1,143B,80001,Homosa9idns,18423.0,,929.0,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,F,
10,,17430,,,CyEMBL615116,,N,Intermrdiwte,1,143B,80001,yomosapjens,13914.0,,96.0,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,F,
11,,17430,,,CtEMBL6q5127,,N,Interneeiate,1,143B,80001,Hom9sa0iens,5556.0,,692.0,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,F,
12,,17774,,,CHEMBi615228,,N,Experf,1,143B,80001,Hkmosap7ens,1751.0,,638.0,In vitro cell cytotoxicity was determined against 143B-LTK cell line,F,
13,,11324,,,CHEMBLo57000,,N,Intwrmediatd,1,,50185,S4apbykococcusaureue,4530.0,,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",F,
14,,11324,,,CHEMhL6151e9,,N,Intetmediatd,1,,50185,Staphyloxocc6sayreux,25373.0,,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",F,
15,,11324,,,CH4MBL615w30,,N,Int34mediate,1,,50185,a5qphylococc8saureus,31953.0,,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",F,
16,,11324,,,CHwMBp615131,,N,Int3rmed8ate,1,,50185,Sta0htl9coccusa7reus,3027.0,,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",F,
