actor_id,film_id,title,description,release_year,language_id,original_language_id,rental_duration,rental_rate,length,replacement_cost,rating,language,first_name,last_name
51,525,LOATHING LEGALLY,A Boring Epistle of a Pioneer And a Mad Scientist who must Escape a Frisbee in The Gulf of Mexico,2006,1,,4,0.99,140,29.99,R,English,GARY,PHOENIX
51,490,JUMANJI BLADE,A Intrepid Yarn of a Husband And a Womanizer who must Pursue a Mad Scientist in New Orleans,2006,1,,4,2.99,121,13.99,G,English,GARY,PHOENIX
51,891,TIMBERLAND SKY,A Boring Display of a Man And a Dog who must Redeem a Girl in A U-Boat,2006,1,,3,0.99,69,13.99,G,English,GARY,PHOENIX
51,627,NORTH TEQUILA,A Beautiful Character Study of a Mad Cow And a Robot who must Reach a Womanizer in New Orleans,2006,1,,4,4.99,67,9.99,NC-17,English,GARY,PHOENIX
51,408,HEAD STRANGER,A Thoughtful Saga of a Hunter And a Crocodile who must Confront a Dog in The Gulf of Mexico,2006,1,,4,4.99,69,28.99,R,English,GARY,PHOENIX
73,77,BIRDS PERDITION,A Boring Story of a Womanizer And a Pioneer who must Face a Dog in California,2006,1,,5,4.99,61,15.99,G,English,GARY,PENN
73,667,PEACH INNOCENT,A Action-Packed Drama of a Monkey And a Dentist who must Chase a Butler in Berlin,2006,1,,3,2.99,160,20.99,PG-13,English,GARY,PENN
73,148,CHOCOLATE DUCK,A Unbelieveable Story of a Mad Scientist And a Technical Writer who must Discover a Composer in Ancient China,2006,1,,3,2.99,132,13.99,R,English,GARY,PENN
73,36,ARGONAUTS TOWN,A Emotional Epistle of a Forensic Psychologist And a Butler who must Challenge a Waitress in An Abandoned Mine Shaft,2006,1,,7,0.99,127,12.99,PG-13,English,GARY,PENN
73,946,VIRTUAL SPOILERS,A Fateful Tale of a Database Administrator And a Squirrel who must Discover a Student in Soviet Georgia,2006,1,,3,4.99,144,14.99,NC-17,English,GARY,PENN
73,379,GREEDY ROOTS,A Amazing Reflection of a A Shark And a Butler who must Chase a Hunter in The Canadian Rockies,2006,1,,7,0.99,166,14.99,R,English,GARY,PENN
73,565,MATRIX SNOWMAN,A Action-Packed Saga of a Womanizer And a Woman who must Overcome a Student in California,2006,1,,6,4.99,56,9.99,PG-13,English,GARY,PENN
30,77,BIRDS PERDITION,A Boring Story of a Womanizer And a Pioneer who must Face a Dog in California,2006,1,,5,4.99,61,15.99,G,English,SANDRA,PECK
30,286,ENOUGH RAGING,A Astounding Character Study of a Boat And a Secret Agent who must Find a Mad Cow in The Sahara Desert,2006,1,,7,2.99,158,16.99,NC-17,English,SANDRA,PECK
30,357,GILBERT PELICAN,A Fateful Tale of a Man And a Feminist who must Conquer a Crocodile in A Manhattan Penthouse,2006,1,,7,0.99,114,13.99,G,English,SANDRA,PECK
30,292,EXCITEMENT EVE,A Brilliant Documentary of a Monkey And a Car who must Conquer a Crocodile in A Shark Tank,2006,1,,3,0.99,51,20.99,G,English,SANDRA,PECK
30,838,STAGECOACH ARMAGEDDON,A Touching Display of a Pioneer And a Butler who must Chase a Car in California,2006,1,,5,4.99,112,25.99,R,English,SANDRA,PECK
10,782,SHAKESPEARE SADDLE,A Fast-Paced Panorama of a Lumberjack And a Database Administrator who must Defeat a Madman in A MySQL Convention,2006,1,,6,2.99,60,26.99,PG-13,English,CHRISTIAN,GABLE
10,587,MOD SECRETARY,A Boring Documentary of a Mad Cow And a Cat who must Build a Lumberjack in New Orleans,2006,1,,6,4.99,77,20.99,NC-17,English,CHRISTIAN,GABLE
