assay_id,assay_organism,confidence_score,assay_type,assay_cell_type,src_id,description,tid,assay_tax_id,assay_subcellular_fraction,variant_id,chembl_id,doc_id,tissue_id,cell_id,src_assay_id,assay_test_type,assay_category,assay_strain
1,,8,B,,1,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,12052,,,,CHEMBL615117,11087,,,,,,
2,,0,F,,1,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,22226,,,,CHEMBL615118,684,,,,,,
3,,0,B,,1,,22226,,,,CHEMBL615119,15453,,,,,,
4,Bos taurus,4,B,,1,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,104729,9913.0,,,CHEMBL615120,17841,,,,,,
5,Homo sapiens,1,F,143B,1,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),80001,9606.0,,,CHEMBL615121,17430,,163.0,,,,
6,Homo sapiens,1,F,143B,1,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),80001,9606.0,,,CHEMBL615122,17430,,163.0,,,,
7,Mus musculus,1,F,143B,1,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,80001,10090.0,,,CHEMBL615123,13799,,163.0,,,,
8,Homo sapiens,1,F,143B,1,In vitro cell cytotoxicity was determined against 143B cell line,80001,9606.0,,,CHEMBL615124,17774,,163.0,,,,
9,Homo sapiens,1,F,143B,1,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,80001,9606.0,,,CHEMBL615125,3801,,163.0,,,,
10,Homo sapiens,1,F,143B,1,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,80001,9606.0,,,CHEMBL615126,17430,,163.0,,,,
11,Homo sapiens,1,F,143B,1,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,80001,9606.0,,,CHEMBL615127,17430,,163.0,,,,
12,Homo sapiens,1,F,143B,1,In vitro cell cytotoxicity was determined against 143B-LTK cell line,80001,9606.0,,,CHEMBL615128,17774,,163.0,,,,
13,Staphylococcus aureus,1,F,,1,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",50185,1280.0,,,CHEMBL857900,11324,,,,,,
14,Staphylococcus aureus,1,F,,1,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",50185,1280.0,,,CHEMBL615129,11324,,,,,,
15,Staphylococcus aureus,1,F,,1,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",50185,1280.0,,,CHEMBL615130,11324,,,,,,
16,Staphylococcus aureus,1,F,,1,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",50185,1280.0,,,CHEMBL615131,11324,,,,,,
17,Rattus norvegicus,9,A,,1,Inhibition of cytochrome P450 progesterone 15-alpha hydroxylase,100122,10116.0,,,CHEMBL884521,11347,,,,,,
18,,8,B,,1,Concentration that cause 50% activation of human reticulocyte 15-lipoxygenase (15-HLO),12054,,,,CHEMBL615132,16474,,,,,,
19,,8,B,,1,Inhibition of partially purified 15-lipoxygenase from human leukocytes,12054,,,,CHEMBL615133,10091,,,,,,
20,,8,B,,1,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),12054,,,,CHEMBL615134,16474,,,,,,
21,,8,B,,1,Compound was evaluated for the percent increase in activation concentration of human reticulocyte 15-lipoxygenase (15-HLO),12054,,,,CHEMBL615135,16474,,,,,,
22,,8,B,,1,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),12054,,,,CHEMBL615136,16474,,,,,,
23,,8,B,,1,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,12054,,,,CHEMBL615137,16474,,,,,,
