ASI,ASSSTR,DOI,SRASI,ASSSUBFRA,CHEI,ASSCATE,RELATT,CUB,SI,ASSCET,T,ASORGA,ASSTAI,ASTI,CI,CONFSCO,BFO,TII,VAI
7524,,9866,,,CHEMBL618647,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,Kidney,,1,BAO_0000218,2113.0,
7525,,9866,,,CHEMBL618648,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,Kidney,,1,BAO_0000218,2113.0,
7526,,9866,,,CHEMBL618649,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,Kidney,,1,BAO_0000218,2113.0,
7527,,9866,,,CHEMBL618650,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,Liver,,1,BAO_0000218,2107.0,
7528,,9866,,,CHEMBL618651,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,Liver,,1,BAO_0000218,2107.0,
7529,,9866,,,CHEMBL876497,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,Liver,,1,BAO_0000218,2107.0,
7530,,9866,,,CHEMBL618652,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,Lung,,1,BAO_0000218,2048.0,
7531,,9866,,,CHEMBL618653,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,Lung,,1,BAO_0000218,2048.0,
7532,,9866,,,CHEMBL618654,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,Lung,,1,BAO_0000218,2048.0,
7533,,6351,,,CHEMBL618655,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,,,1,BAO_0000218,,
7534,,1465,,,CHEMBL618656,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,,,1,BAO_0000218,,
7535,,5182,,,CHEMBL618657,,U,Intermediate,1,,22229,,,,,0,BAO_0000100,,
7536,,17847,,,CHEMBL618658,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,,,1,BAO_0000218,,
7537,,15339,,,CHEMBL618659,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,,,1,BAO_0000218,,
7538,,5202,,,CHEMBL618660,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,,,1,BAO_0000218,,
7539,,1088,,,CHEMBL618661,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,,,1,BAO_0000218,,
7540,,3169,,,CHEMBL873807,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,,,1,BAO_0000218,,
7541,,5353,,,CHEMBL618662,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,,,1,BAO_0000218,,
7542,,2864,,,CHEMBL618663,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,,,1,BAO_0000218,,
7543,,2864,,,CHEMBL618664,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,,,1,BAO_0000218,,
7544,,2864,,,CHEMBL618665,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,,,1,BAO_0000218,,
7545,,6362,,,CHEMBL876498,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,,,1,BAO_0000218,,
7546,,6249,,,CHEMBL618666,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,,,1,BAO_0000218,,
7547,,3169,,,CHEMBL620440,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,,,1,BAO_0000218,,
7548,,3169,,,CHEMBL620441,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,,,1,BAO_0000218,,
7549,,3169,,,CHEMBL620442,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,,,1,BAO_0000218,,
7550,,17260,,,CHEMBL620443,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,,,1,BAO_0000218,,
7551,,17260,,,CHEMBL620444,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,,,1,BAO_0000218,,
7552,,17260,,,CHEMBL620445,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,,,1,BAO_0000218,,
7553,,17260,,,CHEMBL620446,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,,,1,BAO_0000218,,
7554,,2879,,,CHEMBL620447,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,Plasma,,1,BAO_0000218,1969.0,
7555,,2879,,,CHEMBL621129,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,Plasma,,1,BAO_0000218,1969.0,
7556,,2879,,,CHEMBL621130,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,Plasma,,1,BAO_0000218,1969.0,
