AgencyID,Employer,City,NumberCreditCards,Gender,MiddleInitial,Income,NumberCars,NumberChildren,MaritalStatus,Age,CreditRating,OwnOrRentFlag,NetWorth
PEL0,Brink's,Fairbanks,,f,,368776.0,,3.0,W,20.0,760.0,O,1058868.0
LED1,,Quebec,6.0,F,,177967.0,5.0,1.0,U,3.0,555.0,U,1988185.0
lat2,,Henderson,6.0,,,321772.0,2.0,1.0,S,,566.0,O,3673128.0
RUD3,Air Products & Chemicals,Salem,3.0,,,25449.0,2.0,1.0,W,77.0,,O,2005895.0
JAY4,Oshkosh,Toledo,4.0,f,M,166567.0,0.0,3.0,M,21.0,815.0,O,624736.0
tod5,,Corpus Christi,10.0,M,Z,43631.0,1.0,4.0,M,77.0,333.0,R,3064615.0
Kan6,VeraSun Energy,Salt Lake City,1.0,m,R,466230.0,4.0,0.0,,23.0,528.0,O,3489129.0
Din7,IDT,Brownsville,7.0,,Z,420243.0,2.0,2.0,M,9.0,680.0,U,3430744.0
Thi8,Adams Resources & Energy,Escondido,10.0,,,141862.0,3.0,,U,63.0,761.0,O,1743614.0
May9,MGIC Investment,Los Angeles,,,,402011.0,0.0,2.0,M,32.0,416.0,O,216299.0
mah10,Iasis Healthcare,West Covina,9.0,,U,79928.0,2.0,2.0,M,96.0,493.0,O,1528641.0
Siz11,AMR,San Buenaventura,0.0,,,109496.0,1.0,0.0,M,46.0,564.0,R,3752907.0
cra12,Embarq,Lexington,0.0,,,267901.0,1.0,4.0,U,6.0,817.0,U,582378.0
dac13,Advanced Micro Devices,Hay River,8.0,m,,487273.0,3.0,5.0,U,39.0,653.0,R,3458824.0
HIV14,Cenveo,Toronto,2.0,,W,34013.0,3.0,4.0,M,73.0,587.0,O,469408.0
Pes15,Kelly Services,Denver,6.0,,,473462.0,0.0,2.0,S,26.0,472.0,O,1504480.0
CHI16,Viacom,St. Paul,4.0,,,499493.0,5.0,4.0,M,54.0,817.0,O,2763009.0
Din17,Macy's,Bellevue,0.0,,,266928.0,5.0,4.0,M,87.0,441.0,R,2787199.0
De 18,Gardner Denver,Detroit,6.0,,M,72444.0,2.0,3.0,M,85.0,848.0,O,2789368.0
Mck19,Family Dollar Stores,Omaha,8.0,m,,77290.0,3.0,3.0,U,86.0,843.0,R,2784776.0
WIN20,,Costa Mesa,,M,P,395066.0,2.0,0.0,U,59.0,,R,288747.0
BIT21,Sun Microsystems,Berkeley,0.0,,,119283.0,5.0,3.0,U,94.0,300.0,O,876575.0
luz22,Costco Wholesale,St. Louis,8.0,f,V,330991.0,1.0,1.0,U,,795.0,O,2041224.0
don23,Illinois Tool Works,Colorado Springs,5.0,,S,,4.0,0.0,,5.0,367.0,U,2231509.0
Gia24,Southern Union,Fontana,1.0,,T,252031.0,1.0,5.0,M,23.0,507.0,O,3206409.0
