miller2_FiYe,miller2_CouReN,miller2_OrgaID,miller2_IndigIs,miller2_BrN,miller2_SecPer,miller2_OrganTy,miller2_SecID,miller2_ChIss,miller2_ProBroCounID,miller2_Biodiv,miller2_ConNa,Sector ID,miller2_OrganiCl,miller2_DiID,miller2_CliChaAda,miller2_ClChaMiti,miller2_Deser,miller2_PartiDevAGoGov,miller2_TrDevelo,miller2_UrIs,miller2_YoIss,miller2_DisIs,miller2_ICTAATFoDeve,miller2_KnoFDevelo,miller2_GeEqu,miller2_OrgN,miller2_OrgSu,miller2_ContiID,miller2_CouRegID,miller2_CouRegPer,miller2_SecNa,miller2_AmSp
2009/2010,Asia MC,1005967,0,MFM Global Issues and Development,0.14,Foreign Non-Profit Making,S5602,0,X3,0,Asia,33140,Multilateral,D5600,0,0,0,1,0,0,0,0,1,1,0,IAEA - International Atomic Energy Agency Technical Cooperation Fund,UNITED NATIONS,3,X3,0.22,Multilateral trade negotiations,75768.0
2009/2010,Asia MC,1005967,0,MFM Global Issues and Development,0.505,Foreign Non-Profit Making,S5602,0,X3,0,Asia,99810,Multilateral,D5600,0,0,0,1,0,0,0,0,1,1,0,IAEA - International Atomic Energy Agency Technical Cooperation Fund,UNITED NATIONS,3,X3,0.22,Sectors not specified,273306.0
2009/2010,Europe MC,1005967,0,MFM Global Issues and Development,0.268,Foreign Non-Profit Making,S5602,0,X4,0,Europe,12191,Multilateral,D5600,0,0,0,1,0,0,0,0,1,1,0,IAEA - International Atomic Energy Agency Technical Cooperation Fund,UNITED NATIONS,5,X4,0.32,Medical services,210969.6
2009/2010,Europe MC,1005967,0,MFM Global Issues and Development,0.047,Foreign Non-Profit Making,S5602,0,X4,0,Europe,14015,Multilateral,D5600,0,0,0,1,0,0,0,0,1,1,0,IAEA - International Atomic Energy Agency Technical Cooperation Fund,UNITED NATIONS,5,X4,0.32,Water resources conservation (including data collection),36998.4
2009/2010,Europe MC,1005967,0,MFM Global Issues and Development,0.04,Foreign Non-Profit Making,S5602,0,X4,0,Europe,23510,Multilateral,D5600,0,0,0,1,0,0,0,0,1,1,0,IAEA - International Atomic Energy Agency Technical Cooperation Fund,UNITED NATIONS,5,X4,0.32,Nuclear energy electric power plants,31488.0
2009/2010,Europe MC,1005967,0,MFM Global Issues and Development,0.14,Foreign Non-Profit Making,S5602,0,X4,0,Europe,33140,Multilateral,D5600,0,0,0,1,0,0,0,0,1,1,0,IAEA - International Atomic Energy Agency Technical Cooperation Fund,UNITED NATIONS,5,X4,0.32,Multilateral trade negotiations,110208.0
2009/2010,Europe MC,1005967,0,MFM Global Issues and Development,0.505,Foreign Non-Profit Making,S5602,0,X4,0,Europe,99810,Multilateral,D5600,0,0,0,1,0,0,0,0,1,1,0,IAEA - International Atomic Energy Agency Technical Cooperation Fund,UNITED NATIONS,5,X4,0.32,Sectors not specified,397536.0
2009/2010,El Salvador,1001300,0,MFM Global Issues and Development,1.0,Foreign Non-Profit Making,S5320,0,SV,0,America,72010,Multilateral,D5301,0,0,0,0,0,0,0,0,0,0,0,PAHO - Pan American Health Organization,REGIONAL ORGANIZATION,1,SV,1.0,Material relief assistance and services,300000.0
2009/2010,Africa MC,1014663,0,MFM Global Issues and Development,1.0,Canadian Non-Profit Making,S5330,0,X1,0,Africa,72010,Civil Society,D5301,0,0,0,0,0,0,0,0,0,0,1,ICRC Appeals via CRCS,INTERNATIONAL NGO,2,X1,0.5,Material relief assistance and services,1500000.0
2009/2010,Americas MC,1014663,0,MFM Global Issues and Development,1.0,Canadian Non-Profit Making,S5330,0,X2,0,America,72010,Civil Society,D5301,0,0,0,0,0,0,0,0,0,0,1,ICRC Appeals via CRCS,INTERNATIONAL NGO,1,X2,0.15,Material relief assistance and services,450000.0
2009/2010,Asia MC,1014663,0,MFM Global Issues and Development,1.0,Canadian Non-Profit Making,S5330,0,X3,0,Asia,72010,Civil Society,D5301,0,0,0,0,0,0,0,0,0,0,1,ICRC Appeals via CRCS,INTERNATIONAL NGO,3,X3,0.3,Material relief assistance and services,900000.0
2009/2010,Europe MC,1014663,0,MFM Global Issues and Development,1.0,Canadian Non-Profit Making,S5330,0,X4,0,Europe,72010,Civil Society,D5301,0,0,0,0,0,0,0,0,0,0,1,ICRC Appeals via CRCS,INTERNATIONAL NGO,5,X4,0.05,Material relief assistance and services,150000.0
2009/2010,Africa MC,1014663,0,MFM Global Issues and Development,1.0,Canadian Non-Profit Making,S5330,0,X1,0,Africa,72010,Civil Society,D5301,0,0,0,0,0,0,0,0,0,0,1,ICRC Appeals via CRCS,INTERNATIONAL NGO,2,X1,0.5,Material relief assistance and services,1500000.0
2009/2010,Americas MC,1014663,0,MFM Global Issues and Development,1.0,Canadian Non-Profit Making,S5330,0,X2,0,America,72010,Civil Society,D5301,0,0,0,0,0,0,0,0,0,0,1,ICRC Appeals via CRCS,INTERNATIONAL NGO,1,X2,0.15,Material relief assistance and services,450000.0
2009/2010,Asia MC,1014663,0,MFM Global Issues and Development,1.0,Canadian Non-Profit Making,S5330,0,X3,0,Asia,72010,Civil Society,D5301,0,0,0,0,0,0,0,0,0,0,1,ICRC Appeals via CRCS,INTERNATIONAL NGO,3,X3,0.3,Material relief assistance and services,900000.0
2009/2010,Europe MC,1014663,0,MFM Global Issues and Development,1.0,Canadian Non-Profit Making,S5330,0,X4,0,Europe,72010,Civil Society,D5301,0,0,0,0,0,0,0,0,0,0,1,ICRC Appeals via CRCS,INTERNATIONAL NGO,5,X4,0.05,Material relief assistance and services,150000.0
2009/2010,Sri Lanka,1015332,0,MFM Global Issues and Development,1.0,Foreign Non-Profit Making,S5320,0,LK,0,Asia,72010,Civil Society,D5301,0,0,0,0,0,0,0,0,0,0,0,Mines Advisory Group,NGO,3,LK,1.0,Material relief assistance and services,500000.0
2009/2010,Sri Lanka,1015331,0,MFM Global Issues and Development,1.0,Foreign Non-Profit Making,S5320,0,LK,0,Asia,72010,Civil Society,D5301,0,0,0,0,0,0,0,0,0,0,0,The Halo Trust,NGO,3,LK,1.0,Material relief assistance and services,500000.0
2009/2010,Africa MC,1002035,0,MFM Global Issues and Development,1.0,Foreign Non-Profit Making,S5330,0,X1,0,Africa,72050,Civil Society,D5301,0,0,0,1,0,0,0,0,0,1,0,International Crisis Group,NGO,2,X1,0.5,Relief co-ordination; protection and support services,150000.0
2009/2010,Americas MC,1002035,0,MFM Global Issues and Development,1.0,Foreign Non-Profit Making,S5330,0,X2,0,America,72050,Civil Society,D5301,0,0,0,1,0,0,0,0,0,1,0,International Crisis Group,NGO,1,X2,0.1,Relief co-ordination; protection and support services,30000.0
2009/2010,Asia MC,1002035,0,MFM Global Issues and Development,1.0,Foreign Non-Profit Making,S5330,0,X3,0,Asia,72050,Civil Society,D5301,0,0,0,1,0,0,0,0,0,1,0,International Crisis Group,NGO,3,X3,0.3,Relief co-ordination; protection and support services,90000.0
2009/2010,Europe MC,1002035,0,MFM Global Issues and Development,1.0,Foreign Non-Profit Making,S5330,0,X4,0,Europe,72050,Civil Society,D5301,0,0,0,1,0,0,0,0,0,1,0,International Crisis Group,NGO,5,X4,0.1,Relief co-ordination; protection and support services,30000.0
2009/2010,Yemen,1001721,0,MFM Global Issues and Development,1.0,Foreign Non-Profit Making,S5320,0,YE,0,Asia,72040,Multilateral,D5301,0,0,0,0,0,0,0,0,0,0,0,WFP - World Food Programme,UNITED NATIONS,3,YE,1.0,Emergency food aid,500000.0
2009/2010,Colombia,1001721,0,MFM Global Issues and Development,1.0,Foreign Non-Profit Making,S5320,0,CO,0,America,72040,Multilateral,D5301,0,0,0,0,0,0,0,0,0,0,0,WFP - World Food Programme,UNITED NATIONS,1,CO,1.0,Emergency food aid,1500000.0
2009/2010,Chad,1001721,0,MFM Global Issues and Development,1.0,Foreign Non-Profit Making,S5320,0,TD,0,Africa,72040,Multilateral,D5301,0,0,0,0,0,0,0,0,0,0,1,WFP - World Food Programme,UNITED NATIONS,2,TD,1.0,Emergency food aid,6500000.0
2009/2010,Sudan,1001721,0,MFM Global Issues and Development,1.0,Foreign Non-Profit Making,S5320,0,SD,0,Africa,72040,Multilateral,D5301,0,0,0,0,0,0,0,0,0,0,0,WFP - World Food Programme,UNITED NATIONS,2,SD,1.0,Emergency food aid,3950000.0
2009/2010,Africa MC,1001730,0,MFM Global Issues and Development,1.0,Foreign Non-Profit Making,S5330,0,X1,0,Africa,72010,Multilateral,D5301,0,0,0,0,0,0,0,0,0,0,1,UNHCR - United Nations High Commissioner for Refugees,UNITED NATIONS,2,X1,0.45,Material relief assistance and services,6300000.0
2009/2010,Americas MC,1001730,0,MFM Global Issues and Development,1.0,Foreign Non-Profit Making,S5330,0,X2,0,America,72010,Multilateral,D5301,0,0,0,0,0,0,0,0,0,0,1,UNHCR - United Nations High Commissioner for Refugees,UNITED NATIONS,1,X2,0.05,Material relief assistance and services,700000.0
2009/2010,Asia MC,1001730,0,MFM Global Issues and Development,1.0,Foreign Non-Profit Making,S5330,0,X3,0,Asia,72010,Multilateral,D5301,0,0,0,0,0,0,0,0,0,0,1,UNHCR - United Nations High Commissioner for Refugees,UNITED NATIONS,3,X3,0.45,Material relief assistance and services,6300000.0
