length,film_id,replacement_cost,original_language_id,rating,language_id,description,rental_rate,title,release_year,rental_duration
86,1,20.99,,PG,1,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,0.99,ACADEMY DINOSAUR,2006,6
48,2,12.99,,G,1,A Astounding Epistle of a Database Administrator And a Explorer who must Find a Car in Ancient China,4.99,ACE GOLDFINGER,2006,3
50,3,18.99,,NC-17,1,A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory,2.99,ADAPTATION HOLES,2006,7
117,4,26.99,,G,1,A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank,2.99,AFFAIR PREJUDICE,2006,5
130,5,22.99,,G,1,A Fast-Paced Documentary of a Pastry Chef And a Dentist who must Pursue a Forensic Psychologist in The Gulf of Mexico,2.99,AFRICAN EGG,2006,6
169,6,17.99,,PG,1,A Intrepid Panorama of a Robot And a Boy who must Escape a Sumo Wrestler in Ancient China,2.99,AGENT TRUMAN,2006,3
62,7,28.99,,PG-13,1,A Touching Saga of a Hunter And a Butler who must Discover a Butler in A Jet Boat,4.99,AIRPLANE SIERRA,2006,6
54,8,15.99,,R,1,A Epic Tale of a Moose And a Girl who must Confront a Monkey in Ancient India,4.99,AIRPORT POLLOCK,2006,6
114,9,21.99,,PG-13,1,A Thoughtful Panorama of a Database Administrator And a Mad Scientist who must Outgun a Mad Scientist in A Jet Boat,2.99,ALABAMA DEVIL,2006,3
63,10,24.99,,NC-17,1,A Action-Packed Tale of a Man And a Lumberjack who must Reach a Feminist in Ancient China,4.99,ALADDIN CALENDAR,2006,6
126,11,16.99,,G,1,A Boring Epistle of a Butler And a Cat who must Fight a Pastry Chef in A MySQL Convention,0.99,ALAMO VIDEOTAPE,2006,6
136,12,22.99,,PG,1,A Fanciful Saga of a Hunter And a Pastry Chef who must Vanquish a Boy in Australia,0.99,ALASKA PHANTOM,2006,6
150,13,21.99,,PG,1,A Action-Packed Drama of a Dentist And a Crocodile who must Battle a Feminist in The Canadian Rockies,4.99,ALI FOREVER,2006,4
94,14,23.99,,NC-17,1,A Emotional Drama of a A Shark And a Database Administrator who must Vanquish a Pioneer in Soviet Georgia,0.99,ALICE FANTASIA,2006,6
46,15,10.99,,NC-17,1,A Brilliant Drama of a Cat And a Mad Scientist who must Battle a Feminist in A MySQL Convention,2.99,ALIEN CENTER,2006,5
180,16,23.99,,NC-17,1,A Fast-Paced Drama of a Robot And a Composer who must Battle a Astronaut in New Orleans,2.99,ALLEY EVOLUTION,2006,6
82,17,14.99,,R,1,A Fast-Paced Character Study of a Composer And a Dog who must Outgun a Boat in An Abandoned Fun House,0.99,ALONE TRIP,2006,3
