rltnshp_tp,ss_strn,src_ss_d,tss_d,b_frmt,crtd_b,ss_ctgr,ss_tp,ss_tss,chmbl_d,td,ss_cll_tp,cnfdnc_scr,ss_tx_d,ss_d,ss_tst_tp,vrnt_d,dscrptn,dc_d,ss_rgnsm,ss_sbclllr_frctn,cll_d,src_d
N,,,2113.0,BAO_0000218,Intermediate,,A,Kidney,CHEMBL618647,50597,,1,10116.0,7524,In vivo,,Biodistribution in normal rat kidney in the presence of 0.005 M Gd/0.01 M lig at 2 hr,9866,Rattus norvegicus,,,1
N,,,2113.0,BAO_0000218,Intermediate,,A,Kidney,CHEMBL618648,50597,,1,10116.0,7525,In vivo,,Biodistribution in normal rat kidney in the presence of 0.01 M Gd/0.05 M lig,9866,Rattus norvegicus,,,1
N,,,2113.0,BAO_0000218,Intermediate,,A,Kidney,CHEMBL618649,50597,,1,10116.0,7526,In vivo,,Biodistribution in normal rat kidney in the presence of NAC Gd 0.01 M lig at 2 hr,9866,Rattus norvegicus,,,1
N,,,2107.0,BAO_0000218,Intermediate,,A,Liver,CHEMBL618650,50597,,1,10116.0,7527,In vivo,,Biodistribution in normal rat liver in the presence of 0.005 M Gd/0.01 M lig at 2 hr,9866,Rattus norvegicus,,,1
N,,,2107.0,BAO_0000218,Intermediate,,A,Liver,CHEMBL618651,50597,,1,10116.0,7528,In vivo,,Biodistribution in normal rat liver in the presence of 0.01 M Gd/0.05 M lig,9866,Rattus norvegicus,,,1
N,,,2107.0,BAO_0000218,Intermediate,,A,Liver,CHEMBL876497,50597,,1,10116.0,7529,In vivo,,Biodistribution in normal rat liver in the presence of NAC Gd 0.01 M lig at 2 hr,9866,Rattus norvegicus,,,1
N,,,2048.0,BAO_0000218,Intermediate,,A,Lung,CHEMBL618652,50597,,1,10116.0,7530,In vivo,,Biodistribution in normal rat lung in the presence of 0.005 M Gd/0.01 M lig at 2 hr,9866,Rattus norvegicus,,,1
N,,,2048.0,BAO_0000218,Intermediate,,A,Lung,CHEMBL618653,50597,,1,10116.0,7531,In vivo,,Biodistribution in normal rat lung in the presence of 0.01 M Gd/0.05 M lig,9866,Rattus norvegicus,,,1
N,,,2048.0,BAO_0000218,Intermediate,,A,Lung,CHEMBL618654,50597,,1,10116.0,7532,In vivo,,Biodistribution in normal rat lung in the presence of NAC Gd 0.01 M lig at 2 hr,9866,Rattus norvegicus,,,1
N,,,,BAO_0000218,Intermediate,,A,,CHEMBL618655,50597,,1,10116.0,7533,,,Recovery rate from urine and bile was determined after iv administration at 20 mg/kg in rats; Not tested,6351,Rattus norvegicus,,,1
N,,,,BAO_0000218,Intermediate,,A,,CHEMBL618656,50597,,1,10116.0,7534,,,Compound was tested for solubility in water,1465,Rattus norvegicus,,,1
U,,,,BAO_0000100,Intermediate,,P,,CHEMBL618657,22229,,0,,7535,,,Solubility in phosphate buffered saline (1% DMSO) at pH 6.5 (24 hr equilibration),5182,,,,1
N,,,,BAO_0000218,Intermediate,,A,,CHEMBL618658,50597,,1,10116.0,7536,,,Solubility was determined,17847,Rattus norvegicus,,,1
N,,,,BAO_0000218,Intermediate,,A,,CHEMBL618659,50597,,1,10116.0,7537,,,solubility in water (ug/mL) at 37 degree C.,15339,Rattus norvegicus,,,1
N,,,,BAO_0000218,Intermediate,,A,,CHEMBL618660,50597,,1,10116.0,7538,,,First pass metabolism and metabolic bioavailability using rat hepatic microsomes,5202,Rattus norvegicus,,,1
N,,,,BAO_0000218,Intermediate,,A,,CHEMBL618661,50597,,1,10116.0,7539,,,In vitro stability relative to (+)-AJ76 in rat hepatocyte assay,1088,Rattus norvegicus,,,1
N,,,,BAO_0000218,Intermediate,,A,,CHEMBL873807,50597,,1,10116.0,7540,,,Half life in rats,3169,Rattus norvegicus,,,1
N,,,,BAO_0000218,Intermediate,,A,,CHEMBL618662,50597,,1,10116.0,7541,,,Half life in Dawley rat,5353,Rattus norvegicus,,,1
N,,,,BAO_0000218,Intermediate,,A,,CHEMBL618663,50597,,1,10116.0,7542,In vivo,,Half life period after 3 mg/kg iv administration,2864,Rattus norvegicus,,,1
N,,,,BAO_0000218,Intermediate,,A,,CHEMBL618664,50597,,1,10116.0,7543,In vivo,,Half life period after 3 mg/kg iv administration in rat,2864,Rattus norvegicus,,,1
N,,,,BAO_0000218,Intermediate,,A,,CHEMBL618665,50597,,1,10116.0,7544,In vivo,,Half life period after 3 mg/kg iv administration in the rat,2864,Rattus norvegicus,,,1
N,,,,BAO_0000218,Intermediate,,A,,CHEMBL876498,50597,,1,10116.0,7545,,,Half life period in female Sprague-Dawley rats,6362,Rattus norvegicus,,,1
N,,,,BAO_0000218,Intermediate,,A,,CHEMBL618666,50597,,1,10116.0,7546,,,Half life period in rat,6249,Rattus norvegicus,,,1
N,,,,BAO_0000218,Intermediate,,A,,CHEMBL620440,50597,,1,10116.0,7547,,,Half-life in rats was determined,3169,Rattus norvegicus,,,1
N,,,,BAO_0000218,Intermediate,,A,,CHEMBL620441,50597,,1,10116.0,7548,,,Half-life in rats with metabolic oxidation,3169,Rattus norvegicus,,,1
N,,,,BAO_0000218,Intermediate,,A,,CHEMBL620442,50597,,1,10116.0,7549,,,Half-life in rats,3169,Rattus norvegicus,,,1
N,,,,BAO_0000218,Intermediate,,A,,CHEMBL620443,50597,,1,10116.0,7550,In vivo,,T 1/2 at a dose of 10 mg/Kg administered intravenously in female hanover-wistar rat,17260,Rattus norvegicus,,,1
N,,,,BAO_0000218,Intermediate,,A,,CHEMBL620444,50597,,1,10116.0,7551,In vivo,,T 1/2 at a dose of 10 mg/Kg administered perorally in female hanover-wistar rat,17260,Rattus norvegicus,,,1
N,,,,BAO_0000218,Intermediate,,A,,CHEMBL620445,50597,,1,10116.0,7552,In vivo,,T max at a dose of 10 mg/Kg administered intravenously in female hanover-wistar rat,17260,Rattus norvegicus,,,1
N,,,,BAO_0000218,Intermediate,,A,,CHEMBL620446,50597,,1,10116.0,7553,In vivo,,T max at a dose of 10 mg/Kg administered perorally in female hanover-wistar rat,17260,Rattus norvegicus,,,1
N,,,1969.0,BAO_0000218,Intermediate,,A,Plasma,CHEMBL620447,50597,,1,10116.0,7554,,,Biological half-life measured in plasma of rat,2879,Rattus norvegicus,,,1
N,,,1969.0,BAO_0000218,Intermediate,,A,Plasma,CHEMBL621129,50597,,1,10116.0,7555,,,Biological half-life measured in plasma of rat; 22-25,2879,Rattus norvegicus,,,1
N,,,1969.0,BAO_0000218,Intermediate,,A,Plasma,CHEMBL621130,50597,,1,10116.0,7556,,,Biological half-life measured in plasma of rat; 9-16,2879,Rattus norvegicus,,,1
N,,,,BAO_0000218,Intermediate,,A,,CHEMBL873808,50597,,1,10116.0,7557,In vivo,,Compound was evaluated for its half life when administered intravenously in rat,3184,Rattus norvegicus,,,1
N,,,,BAO_0000218,Intermediate,,A,,CHEMBL876598,50597,,1,10116.0,7558,In vivo,,Compound was evaluated for pharmacokinetic parameter percent bioavailability at 8 h,4891,Rattus norvegicus,,,1
N,,,,BAO_0000218,Intermediate,,A,,CHEMBL621131,50597,,1,10116.0,7559,In vivo,,Evaluated for pharmacokinetic parameter half-life in rat at the dose 50 mg/kg,429,Rattus norvegicus,,,1
N,,,,BAO_0000218,Intermediate,,A,,CHEMBL621132,50597,,1,10116.0,7560,In vivo,,Half life (T1/2) after oral administration in rat,5656,Rattus norvegicus,,,1
N,,,,BAO_0000218,Intermediate,,A,,CHEMBL621133,50597,,1,10116.0,7561,In vivo,,Half life of compound after iv administration of 20 mg/kg dose in rat,4413,Rattus norvegicus,,,1
N,,,,BAO_0000218,Expert,,A,,CHEMBL621312,50597,,1,10116.0,7562,In vivo,,Half life of compound determined in rat after iv administration at a dose of 10 mg/kg,3598,Rattus norvegicus,,,1
N,,,,BAO_0000218,Intermediate,,A,,CHEMBL621313,50597,,1,10116.0,7563,,,Half life of compound was determined in rat,17267,Rattus norvegicus,,,1
N,,,178.0,BAO_0000218,Intermediate,,A,Blood,CHEMBL621314,50597,,1,10116.0,7564,,,Half life of compound was determined in rat blood,4727,Rattus norvegicus,,,1
N,,,,BAO_0000218,Intermediate,,A,,CHEMBL621315,50597,,1,10116.0,7565,In vivo,,Half life at 1 mg/kg was determined in rat,17651,Rattus norvegicus,,,1
N,,,,BAO_0000218,Intermediate,,A,,CHEMBL621316,50597,,1,10116.0,7566,In vivo,,Half life at 10 mg/kg was determined in rat,17651,Rattus norvegicus,,,1
N,,,,BAO_0000218,Intermediate,,A,,CHEMBL621317,50597,,1,10116.0,7567,,,Half life in rats,401,Rattus norvegicus,,,1
N,,,,BAO_0000218,Intermediate,,A,,CHEMBL621318,50597,,1,10116.0,7568,,,Half life in rats in hours,4942,Rattus norvegicus,,,1
N,,,,BAO_0000218,Intermediate,,A,,CHEMBL621319,50597,,1,10116.0,7569,In vivo,,Half life following 10 mg/kg intravenous or 50 mg/kg oral dosing in rats was determined,17735,Rattus norvegicus,,,1
N,,,,BAO_0000218,Intermediate,,A,,CHEMBL621377,50597,,1,10116.0,7570,In vivo,,Half life was calculated at a single intravenous administration of 20 mg/kg in rat,6056,Rattus norvegicus,,,1
N,,,,BAO_0000218,Intermediate,,A,,CHEMBL621378,50597,,1,10116.0,7571,,,Half life was determined,5213,Rattus norvegicus,,,1
N,,,,BAO_0000218,Intermediate,,A,,CHEMBL876599,50597,,1,10116.0,7572,In vivo,,Half life after i.v. administration,6616,Rattus norvegicus,,,1
N,,,,BAO_0000218,Intermediate,,A,,CHEMBL621379,50597,,1,10116.0,7573,In vivo,,Half life in rat after intravenous administration at a concentration 0.5 mg/kg,5937,Rattus norvegicus,,,1
N,,,1969.0,BAO_0000218,Intermediate,,A,Plasma,CHEMBL621380,50597,,1,10116.0,7574,,,Half life in rat plasma,5819,Rattus norvegicus,,,1
N,,,1969.0,BAO_0000218,Intermediate,,A,Plasma,CHEMBL621381,50597,,1,10116.0,7575,,,Half life in rat plasma; Not detected,5819,Rattus norvegicus,,,1
N,,,,BAO_0000218,Intermediate,,A,,CHEMBL618515,50597,,1,10116.0,7576,,,Half life in rats,6803,Rattus norvegicus,,,1
N,,,,BAO_0000218,Intermediate,,A,,CHEMBL618516,50597,,1,10116.0,7577,In vivo,,Half life period of compound was determined after peroral administration,17804,Rattus norvegicus,,,1
N,,,,BAO_0000218,Intermediate,,A,,CHEMBL618517,50597,,1,10116.0,7578,In vivo,,Half life period of compound was determined at a dose of 3 mg/kg by intravenous administration,17804,Rattus norvegicus,,,1
N,,,,BAO_0000218,Intermediate,,A,,CHEMBL618518,50597,,1,10116.0,7579,,,Half life period in rat,5948,Rattus norvegicus,,,1
N,,,,BAO_0000218,Intermediate,,A,,CHEMBL618519,50597,,1,10116.0,7580,In vivo,,Half life period was evaluated against Sprague-Dawley rats at a dose of 15 mg/kg after iv administration,1916,Rattus norvegicus,,,1
N,,,,BAO_0000218,Intermediate,,A,,CHEMBL618698,50597,,1,10116.0,7581,In vivo,,Half life period was evaluated in Sprague-Dawley rats at a dose of 15 mg/kg after po administration,1916,Rattus norvegicus,,,1
N,,,,BAO_0000218,Intermediate,,A,,CHEMBL618862,50597,,1,10116.0,7582,In vivo,,Half life period was evaluated in Sprague-Dawley rats at a dose of 15 mg/kg after po administration; Not available,1916,Rattus norvegicus,,,1
N,,,,BAO_0000218,Intermediate,,A,,CHEMBL618863,50597,,1,10116.0,7583,In vivo,,Half life period was determined after intravenous administration at a dose 5 mg/kg to male Sprague-Dawley rats,4890,Rattus norvegicus,,,1
N,,,,BAO_0000218,Intermediate,,A,,CHEMBL618864,50597,,1,10116.0,7584,In vivo,,Half life period was determined for compound after intravenous administration in rats at 24 uM/kg,17764,Rattus norvegicus,,,1
N,,,,BAO_0000218,Intermediate,,A,,CHEMBL618865,50597,,1,10116.0,7585,In vivo,,Half life time in rat the dose of 2 mg/kg,4727,Rattus norvegicus,,,1
N,,,,BAO_0000218,Intermediate,,A,,CHEMBL618866,50597,,1,10116.0,7586,In vivo,,Half-life 24 hr after 10 mg/kg iv administration in rats,17509,Rattus norvegicus,,,1
N,,,,BAO_0000218,Intermediate,,A,,CHEMBL618867,50597,,1,10116.0,7587,In vivo,,Half-life 24 hr after 2 mg/kg iv administration in rats,17509,Rattus norvegicus,,,1
N,,,,BAO_0000218,Intermediate,,A,,CHEMBL875828,50597,,1,10116.0,7588,,,Half-life consistent with the observed metabolic steady state in rats,6597,Rattus norvegicus,,,1
N,,,,BAO_0000218,Intermediate,,A,,CHEMBL618868,50597,,1,10116.0,7589,In vivo,,Half-life following 10 mg/kg intravenous or 50 mg/kg oral dosing in rats was determined,17735,Rattus norvegicus,,,1
N,,,,BAO_0000218,Intermediate,,A,,CHEMBL618869,50597,,1,10116.0,7590,,,Half-life for oxidative metabolic stability was determined using male human,6597,Rattus norvegicus,,,1
N,,,,BAO_0000218,Intermediate,,A,,CHEMBL618870,50597,,1,10116.0,7591,In vivo,,"Half-life in fischer rats at 5 mg/kg dose, administered intravenously",17670,Rattus norvegicus,,,1
N,,,1969.0,BAO_0000218,Intermediate,,A,Plasma,CHEMBL618871,50597,,1,10116.0,7592,,,Half-life in rat plasma,1696,Rattus norvegicus,,,1
N,,,1969.0,BAO_0000218,Intermediate,,A,Plasma,CHEMBL618872,50597,,1,10116.0,7593,,,Half-life in rat plasma was determined,1742,Rattus norvegicus,,,1
N,,,,BAO_0000218,Intermediate,,A,,CHEMBL873816,50597,,1,10116.0,7594,,,Half-life in rats was determined,17800,Rattus norvegicus,,,1
U,,,,BAO_0000218,Autocuration,,A,,CHEMBL618873,22224,,0,,7595,,,Area under curve of acid 2a was determined by HPLC at a dosage of 54.5 mg/kg administered intragastrically by gavage method in dog,12923,,,,1
U,,,,BAO_0000019,Autocuration,,A,,CHEMBL621602,22224,,0,,7596,,,Area under curve after oral dose of 0.1 mg//kg,11954,,,,1
U,,,,BAO_0000218,Autocuration,,A,,CHEMBL621603,22224,,0,,7597,,,Area under curve after oral dose of 0.3 mg/kg,11954,,,,1
U,,,,BAO_0000218,Autocuration,,A,,CHEMBL621604,22224,,0,,7598,,,Area under curve after oral dose of 1 mg/kg,11954,,,,1
U,,,,BAO_0000218,Autocuration,,A,,CHEMBL621605,22224,,0,,7599,,,Area under curve after oral dose of 10 mg/kg,11954,,,,1
U,,,,BAO_0000218,Autocuration,,A,,CHEMBL621606,22224,,0,,7600,,,Area under curve after oral dose of 23.4 mg/kg,11954,,,,1
U,,,,BAO_0000218,Autocuration,,A,,CHEMBL621607,22224,,0,,7601,,,Area under curve after oral dose of 3 mg/kg,11954,,,,1
U,,,,BAO_0000218,Autocuration,,A,,CHEMBL621608,22224,,0,,7602,,,Area under curve after oral dose of 3.87 mg/kg,11954,,,,1
U,,,,BAO_0000019,Autocuration,,A,,CHEMBL621609,22224,,0,,7603,,,Area under curve was determined,5237,,,,1
U,,,,BAO_0000218,Autocuration,,A,,CHEMBL621610,22224,,0,,7604,,,Area under curve at a dose of 10 mg/kg,4026,,,,1
N,,,,BAO_0000218,Intermediate,,A,,CHEMBL621611,50597,,1,10116.0,7605,,,Area under curve was determined; ND=No data,5237,Rattus norvegicus,,,1
N,,,,BAO_0000218,Intermediate,,A,,CHEMBL621612,50597,,1,10116.0,7606,,,Area under curve was evaluated in rat brain when administered intraperitoneally at a dose of 10 mg/kg for 4 or 6 hours,14793,Rattus norvegicus,,,1
N,,,,BAO_0000218,Intermediate,,A,,CHEMBL622308,50597,,1,10116.0,7607,,,Area under curve was evaluated in rat brain when administered intraperitoneally at a dose of 10 mg/kg for infinite hours,14793,Rattus norvegicus,,,1
N,,,,BAO_0000218,Intermediate,,A,,CHEMBL622309,50597,,1,10116.0,7608,,,Area under curve was evaluated in rat brain when administered intravenously at a dose of 10 mg/kg for 4 or 6 hours,14793,Rattus norvegicus,,,1
N,,,,BAO_0000218,Intermediate,,A,,CHEMBL622310,50597,,1,10116.0,7609,,,Area under curve was evaluated in rat brain when administered intravenously at a dose of 10 mg/kg for infinite hours,14793,Rattus norvegicus,,,1
N,,,,BAO_0000218,Intermediate,,A,,CHEMBL622311,50597,,1,10116.0,7610,,,Area under curve was evaluated in rat brain when administered perorally at a dose of 100 mg/kg for 4 or 6 hours,14793,Rattus norvegicus,,,1
N,,,,BAO_0000218,Intermediate,,A,,CHEMBL622312,50597,,1,10116.0,7611,,,Area under curve was evaluated in rat brain when administered perorally at a dose of 100 mg/kg for infinite hours; Not calculated,14793,Rattus norvegicus,,,1
N,,,,BAO_0000218,Intermediate,,A,,CHEMBL622931,50597,,1,10116.0,7612,,,Area under curve was evaluated in rat brain when administered perorally at a dose of 10 mg/kg for 4 or 6 hours,14793,Rattus norvegicus,,,1
N,,,,BAO_0000218,Intermediate,,A,,CHEMBL622932,50597,,1,10116.0,7613,,,Area under curve was evaluated in rat brain when administered perorally at a dose of 10 mg/kg for infinite hours; Not calculated,14793,Rattus norvegicus,,,1
N,,,1969.0,BAO_0000218,Intermediate,,A,Plasma,CHEMBL622736,50597,,1,10116.0,7614,,,Area under curve was evaluated in rat plasma when administered intraperitoneally at a dose of 10 mg/kg for 4 or 6 hours,14793,Rattus norvegicus,,,1
N,,,1969.0,BAO_0000218,Intermediate,,A,Plasma,CHEMBL622737,50597,,1,10116.0,7615,,,Area under curve was evaluated in rat plasma when administered intraperitoneally at a dose of 10 mg/kg for infinite hours,14793,Rattus norvegicus,,,1
N,,,1969.0,BAO_0000218,Intermediate,,A,Plasma,CHEMBL622738,50597,,1,10116.0,7616,,,Area under curve was evaluated in rat plasma when administered intravenously at a dose of 10 mg/kg for 4 or 6 hours,14793,Rattus norvegicus,,,1
N,,,1969.0,BAO_0000218,Intermediate,,A,Plasma,CHEMBL622739,50597,,1,10116.0,7617,,,Area under curve was evaluated in rat plasma when administered intravenously at a dose of 10 mg/kg for infinite hours,14793,Rattus norvegicus,,,1
N,,,1969.0,BAO_0000218,Intermediate,,A,Plasma,CHEMBL622740,50597,,1,10116.0,7618,,,Area under curve was evaluated in rat plasma when administered perorally at a dose of 100 mg/kg for 4 or 6 hours,14793,Rattus norvegicus,,,1
N,,,1969.0,BAO_0000218,Intermediate,,A,Plasma,CHEMBL622741,50597,,1,10116.0,7619,,,Area under curve was evaluated in rat plasma when administered perorally at a dose of 100 mg/kg for infinite hours,14793,Rattus norvegicus,,,1
N,,,1969.0,BAO_0000218,Intermediate,,A,Plasma,CHEMBL622742,50597,,1,10116.0,7620,,,Area under curve was evaluated in rat plasma when administered perorally at a dose of 10 mg/kg for 4 or 6 hours,14793,Rattus norvegicus,,,1
N,,,1969.0,BAO_0000218,Intermediate,,A,Plasma,CHEMBL622743,50597,,1,10116.0,7621,,,Area under curve was evaluated in rat plasma when administered perorally at a dose of 10 mg/kg for infinite hours,14793,Rattus norvegicus,,,1
N,,,1969.0,BAO_0000218,Intermediate,,A,Plasma,CHEMBL622744,50594,,1,10090.0,7622,,,AUC in mice,11637,Mus musculus,,,1
U,,,,BAO_0000019,Autocuration,,A,,CHEMBL624134,22224,,0,,7623,,,Area under curve was measured from the graph obtained from concentration Vs time,11149,,,,1
U,,,,BAO_0000019,Autocuration,,A,,CHEMBL624135,22224,,0,,7624,,,Area under curve value of compound per hour after oral administration,10016,,,,1
N,,,,BAO_0000218,Intermediate,,A,,CHEMBL624136,50597,,1,10116.0,7625,,,Area under curve was determined after oral administration in rats,17796,Rattus norvegicus,,,1
