assays_ss_d,assays_ss_tst_tp,assays_dc_d,assays_crtd_b,assays_ss_tx_d,assays_ss_strn,assays_src_d,assays_dscrptn,assays_cll_d,assays_src_ss_d,assays_chmbl_d,assays_ss_sbclllr_frctn,assays_td,assays_ss_rgnsm,assays_ss_cll_tp,assays_vrnt_d,assays_rltnshp_tp,assays_cnfdnc_scr,assays_b_frmt,assays_tss_d
7524,In vivo,9866,Intermediate,10116.0,,1,Biodistribution in normal rat kidney in the presence of 0.005 M Gd/0.01 M lig at 2 hr,,,CHEMBL618647,,50597,Rattus norvegicus,,,N,1,BAO_0000218,2113.0
7525,In vivo,9866,Intermediate,10116.0,,1,Biodistribution in normal rat kidney in the presence of 0.01 M Gd/0.05 M lig,,,CHEMBL618648,,50597,Rattus norvegicus,,,N,1,BAO_0000218,2113.0
7526,In vivo,9866,Intermediate,10116.0,,1,Biodistribution in normal rat kidney in the presence of NAC Gd 0.01 M lig at 2 hr,,,CHEMBL618649,,50597,Rattus norvegicus,,,N,1,BAO_0000218,2113.0
7527,In vivo,9866,Intermediate,10116.0,,1,Biodistribution in normal rat liver in the presence of 0.005 M Gd/0.01 M lig at 2 hr,,,CHEMBL618650,,50597,Rattus norvegicus,,,N,1,BAO_0000218,2107.0
7528,In vivo,9866,Intermediate,10116.0,,1,Biodistribution in normal rat liver in the presence of 0.01 M Gd/0.05 M lig,,,CHEMBL618651,,50597,Rattus norvegicus,,,N,1,BAO_0000218,2107.0
7529,In vivo,9866,Intermediate,10116.0,,1,Biodistribution in normal rat liver in the presence of NAC Gd 0.01 M lig at 2 hr,,,CHEMBL876497,,50597,Rattus norvegicus,,,N,1,BAO_0000218,2107.0
7530,In vivo,9866,Intermediate,10116.0,,1,Biodistribution in normal rat lung in the presence of 0.005 M Gd/0.01 M lig at 2 hr,,,CHEMBL618652,,50597,Rattus norvegicus,,,N,1,BAO_0000218,2048.0
7531,In vivo,9866,Intermediate,10116.0,,1,Biodistribution in normal rat lung in the presence of 0.01 M Gd/0.05 M lig,,,CHEMBL618653,,50597,Rattus norvegicus,,,N,1,BAO_0000218,2048.0
7532,In vivo,9866,Intermediate,10116.0,,1,Biodistribution in normal rat lung in the presence of NAC Gd 0.01 M lig at 2 hr,,,CHEMBL618654,,50597,Rattus norvegicus,,,N,1,BAO_0000218,2048.0
7533,,6351,Intermediate,10116.0,,1,Recovery rate from urine and bile was determined after iv administration at 20 mg/kg in rats; Not tested,,,CHEMBL618655,,50597,Rattus norvegicus,,,N,1,BAO_0000218,
7534,,1465,Intermediate,10116.0,,1,Compound was tested for solubility in water,,,CHEMBL618656,,50597,Rattus norvegicus,,,N,1,BAO_0000218,
7535,,5182,Intermediate,,,1,Solubility in phosphate buffered saline (1% DMSO) at pH 6.5 (24 hr equilibration),,,CHEMBL618657,,22229,,,,U,0,BAO_0000100,
7536,,17847,Intermediate,10116.0,,1,Solubility was determined,,,CHEMBL618658,,50597,Rattus norvegicus,,,N,1,BAO_0000218,
7537,,15339,Intermediate,10116.0,,1,solubility in water (ug/mL) at 37 degree C.,,,CHEMBL618659,,50597,Rattus norvegicus,,,N,1,BAO_0000218,
7538,,5202,Intermediate,10116.0,,1,First pass metabolism and metabolic bioavailability using rat hepatic microsomes,,,CHEMBL618660,,50597,Rattus norvegicus,,,N,1,BAO_0000218,
