assay_id,curated_by,assay_test_type,assay_strain,assay_type,relationship_type,doc_id,description,assay_category,assay_organism,assay_tax_id,assay_tissue,assay_cell_type,assay_subcellular_fraction
1,Autocuration,,,B,H,11087,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,,,,,,
2,Autocuration,,,F,U,684,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,,,,,,
3,Autocuration,,,B,U,15453,,,,,,,
4,Autocuration,,,B,H,17841,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,,Bos taurus,9913.0,,,
5,Intermediate,,,F,N,17430,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),,Homo sapiens,9606.0,,143B,
6,Intermediate,,,F,N,17430,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),,Homo sapiens,9606.0,,143B,
7,Intermediate,,,F,N,13799,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,,Mus musculus,10090.0,,143B,
8,Expert,,,F,N,17774,In vitro cell cytotoxicity was determined against 143B cell line,,Homo sapiens,9606.0,,143B,
9,Intermediate,,,F,N,3801,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,,Homo sapiens,9606.0,,143B,
10,Intermediate,,,F,N,17430,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,,Homo sapiens,9606.0,,143B,
11,Intermediate,,,F,N,17430,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,,Homo sapiens,9606.0,,143B,
12,Expert,,,F,N,17774,In vitro cell cytotoxicity was determined against 143B-LTK cell line,,Homo sapiens,9606.0,,143B,
13,Intermediate,,,F,N,11324,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,Staphylococcus aureus,1280.0,,,
14,Intermediate,,,F,N,11324,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,Staphylococcus aureus,1280.0,,,
15,Intermediate,,,F,N,11324,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,Staphylococcus aureus,1280.0,,,
16,Intermediate,,,F,N,11324,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,Staphylococcus aureus,1280.0,,,
17,Expert,,,A,D,11347,Inhibition of cytochrome P450 progesterone 15-alpha hydroxylase,,Rattus norvegicus,10116.0,,,
18,Autocuration,,,B,H,16474,Concentration that cause 50% activation of human reticulocyte 15-lipoxygenase (15-HLO),,,,,,
19,Autocuration,,,B,H,10091,Inhibition of partially purified 15-lipoxygenase from human leukocytes,,,,,,
20,Autocuration,,,B,H,16474,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),,,,,,
21,Autocuration,,,B,H,16474,Compound was evaluated for the percent increase in activation concentration of human reticulocyte 15-lipoxygenase (15-HLO),,,,,,
22,Autocuration,,,B,H,16474,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),,,,,,
23,Autocuration,,,B,H,16474,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,,,,,,
24,Autocuration,,,B,H,16474,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,,,,,,
25,Autocuration,,,B,U,14352,"Inhibitory concentration against 15-lipoxygenase, by inhibiting 15-HETE production by human umbilical vein endothelial cells (HUVEC) stimulated by calcium ionophore A 23187 at concentration of 10e-5 M.",,,,,,
26,Autocuration,,,B,H,5646,In vitro inhibitory activity of compound on rabbit reticulocyte 15-lipoxygenase,,Oryctolagus cuniculus,9986.0,,,
27,Autocuration,,,B,H,5646,Inhibition of rabbit reticulocyte 15-lipoxygenase by compound (30 uM),,Oryctolagus cuniculus,9986.0,,,
28,Autocuration,,,B,H,10997,Inhibitory activity against 15-lipoxygenase in rat polymorphonuclear leukocytes,,,,,,
29,Autocuration,,,B,H,6309,Inhibitory activity against 15-lipoxygenase was determined obtained from soya bean,,soya bean,3847.0,,,
30,Autocuration,,,B,H,167,Inhibitory activity against soybean 15-lipoxygenase was evaluated,,Glycine max,3847.0,,,
31,Autocuration,,,B,H,167,Inhibitory activity against soybean 15-lipoxygenase was evaluated at 100 uM,,Glycine max,3847.0,,,
32,Autocuration,,,B,H,11087,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 10 uM,,Glycine max,3847.0,,,
33,Autocuration,,,B,H,11087,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 100 uM,,Glycine max,3847.0,,,
34,Autocuration,,,B,H,13622,Compound was tested in vitro for inhibition of 15-lipoxygenase soybean,,Glycine max,3847.0,,,
35,Autocuration,,,B,H,13622,Compound at 100 uM was tested in vitro for inhibition of 15-lipoxygenase soybean,,Glycine max,3847.0,,,
36,Autocuration,,,A,U,11347,Inhibition of cytochrome P450 progesterone 16-alpha hydroxylase,,Rattus norvegicus,10116.0,,,
37,Autocuration,,,B,U,5926,Binding affinity against bacterial 16S rRNA using mass spectrometry based assay,,Escherichia coli,562.0,,,
38,Autocuration,,,B,U,4567,Dissociation constant with dimeric 16S rRNA RNA construct B,,,,,,
39,Intermediate,,,B,M,3782,Dissociation constant towards 16S rRNA construct A,,,,,,
40,Intermediate,,,B,M,3782,Dissociation constant towards 16S rRNA construct B,,,,,,
41,Expert,,,B,M,4466,Binding affinity of aminoglycoside to 16S ribosomal RNA A-site in Escherichia coli,,Escherichia coli,562.0,,,
42,Expert,,,B,M,6592,Binding affinity for the 16S ribosomal RNA A-site of Escherichia coli,,Escherichia coli,562.0,,,
43,Autocuration,,,B,H,898,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,,,,,
