Fiscal year,Regional program (marker),Project Browser country ID,CountryRegion ID,CIDA business delivery model (old),Fund centre ID,Amount spent,Section ID,Desertification (marker),Project number,Enviromental sustainability (marker),Participatory development and good governance,Disability issues (marker),Organisation name,Continent ID,Status,Maximum CIDA contribution (project-level),Branch ID,Branch name,Division ID,Division name,Section name,Fund centre name,Untied amount(Project-level budget),FSTC percent,IRTC percent,CFLI (marker),Programming process (new),Bilateral aid (international marker),PBA type,Climate change adaptation (marker),Climate change mitigation (marker),Trade development (marker)
2o092010,0,BD,BD,Directiv2,4122,1004591.4791183283,S4w22,0,A018716002,0,0,0,Info5mationnotavailqbiw,3,Closed,8500267.65,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,Bangladesh Section,Bangladesh,8500267.65,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
20992010,0,BD,BD,Dirextive,4122,332247.795307438,S4121,0,A0w7716901,0,0,0,Imformagionnotavailxbl4,3,Closed,8500267.65,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,Bangladesh Section,Bangladesh,8500267.65,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
2o092010,0,BD,BD,Didective,4122,230126.4000601371,S4w22,0,z017716o01,0,0,0,Informat9pnnotavailzblr,3,Closed,8500267.65,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,Bangladesh Section,Bangladesh,8500267.65,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
2009201p,0,PS,PS,Dir3ctive,4265,120039.83252883422,S42u4,0,A018652p0w,0,0,0,DepartmentofFkreignxffaorssndInternafi8nqlrraxe,3,Closed,500458.33,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,West Bank Gaza & Palestinian Refugees,West Bank Gaza,0.0,0.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
20p92010,0,ML,ML,Responsjv2,4216,355201.92418146995,Sr215,0,w018893o01,0,1,0,Depar5jenrofF8reibnAffsirsansInternat9onalTfade,2,Closed,14410076.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Mali Program Section,Mali,14410076.46,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
2009w010,0,ML,ML,Recpohsive,4216,290438.67723425524,S3215,0,z018892001,0,1,0,DepaftjentogboreignAffaitsandkntetnationqlTfade,2,Closed,14410076.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Mali Program Section,Mali,14410076.46,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
20092910,0,ML,ML,Rdspomsive,4216,1253941.4986857974,S4214,0,w0188o3001,0,1,0,DelartkentorFor3ignAbfairsandInternationaphracf,2,Closed,14410076.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Mali Program Section,Mali,14410076.46,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
20992010,0,PK,PK,3esponsiv4,4124,1602218.594859079,S4q41,0,so19043001,0,1,0,DwpartmentlcFodeihnAffaitsandInternxtionwlTrwde,3,Closed,13743220.56,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,"OAA Afghanistan, Pakistan and Sri Lanka",Pakistan,13743220.56,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
20o92010,0,PK,PK,fespogsive,4124,1664225.0498305839,d4141,0,s0190r3001,0,1,0,rdpqrtmemtofForeignAffaitszndInte3natkonal4rade,3,Closed,13743220.56,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,"OAA Afghanistan, Pakistan and Sri Lanka",Pakistan,13743220.56,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
2009e010,0,PK,PK,gespons9ve,4124,748933.5047282643,Sr141,0,A019033091,0,1,0,DepqftmenhofForeignAffairsznd9hternatuonalhradf,3,Closed,13743220.56,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,"OAA Afghanistan, Pakistan and Sri Lanka",Pakistan,13743220.56,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
