assay_id,assay_test_type,tissue_id,tid,assay_tax_id,curated_by,src_id,assay_tissue,assay_type,cell_id,description,assay_subcellular_fraction,assay_category,bao_format,relationship_type,assay_strain,confidence_score,src_assay_id,chembl_id,variant_id
7524,In vivo,2113.0,50597,10116.0,Intermediate,1,Kidney,A,,Biodistribution in normal rat kidney in the presence of 0.005 M Gd/0.01 M lig at 2 hr,,,BAO_0000218,N,,1,,CHEMBL618647,
7525,In vivo,2113.0,50597,10116.0,Intermediate,1,Kidney,A,,Biodistribution in normal rat kidney in the presence of 0.01 M Gd/0.05 M lig,,,BAO_0000218,N,,1,,CHEMBL618648,
7526,In vivo,2113.0,50597,10116.0,Intermediate,1,Kidney,A,,Biodistribution in normal rat kidney in the presence of NAC Gd 0.01 M lig at 2 hr,,,BAO_0000218,N,,1,,CHEMBL618649,
7527,In vivo,2107.0,50597,10116.0,Intermediate,1,Liver,A,,Biodistribution in normal rat liver in the presence of 0.005 M Gd/0.01 M lig at 2 hr,,,BAO_0000218,N,,1,,CHEMBL618650,
7528,In vivo,2107.0,50597,10116.0,Intermediate,1,Liver,A,,Biodistribution in normal rat liver in the presence of 0.01 M Gd/0.05 M lig,,,BAO_0000218,N,,1,,CHEMBL618651,
7529,In vivo,2107.0,50597,10116.0,Intermediate,1,Liver,A,,Biodistribution in normal rat liver in the presence of NAC Gd 0.01 M lig at 2 hr,,,BAO_0000218,N,,1,,CHEMBL876497,
7530,In vivo,2048.0,50597,10116.0,Intermediate,1,Lung,A,,Biodistribution in normal rat lung in the presence of 0.005 M Gd/0.01 M lig at 2 hr,,,BAO_0000218,N,,1,,CHEMBL618652,
7531,In vivo,2048.0,50597,10116.0,Intermediate,1,Lung,A,,Biodistribution in normal rat lung in the presence of 0.01 M Gd/0.05 M lig,,,BAO_0000218,N,,1,,CHEMBL618653,
7532,In vivo,2048.0,50597,10116.0,Intermediate,1,Lung,A,,Biodistribution in normal rat lung in the presence of NAC Gd 0.01 M lig at 2 hr,,,BAO_0000218,N,,1,,CHEMBL618654,
7533,,,50597,10116.0,Intermediate,1,,A,,Recovery rate from urine and bile was determined after iv administration at 20 mg/kg in rats; Not tested,,,BAO_0000218,N,,1,,CHEMBL618655,
7534,,,50597,10116.0,Intermediate,1,,A,,Compound was tested for solubility in water,,,BAO_0000218,N,,1,,CHEMBL618656,
7535,,,22229,,Intermediate,1,,P,,Solubility in phosphate buffered saline (1% DMSO) at pH 6.5 (24 hr equilibration),,,BAO_0000100,U,,0,,CHEMBL618657,
7536,,,50597,10116.0,Intermediate,1,,A,,Solubility was determined,,,BAO_0000218,N,,1,,CHEMBL618658,
7537,,,50597,10116.0,Intermediate,1,,A,,solubility in water (ug/mL) at 37 degree C.,,,BAO_0000218,N,,1,,CHEMBL618659,
7538,,,50597,10116.0,Intermediate,1,,A,,First pass metabolism and metabolic bioavailability using rat hepatic microsomes,,,BAO_0000218,N,,1,,CHEMBL618660,
7539,,,50597,10116.0,Intermediate,1,,A,,In vitro stability relative to (+)-AJ76 in rat hepatocyte assay,,,BAO_0000218,N,,1,,CHEMBL618661,
7540,,,50597,10116.0,Intermediate,1,,A,,Half life in rats,,,BAO_0000218,N,,1,,CHEMBL873807,
7541,,,50597,10116.0,Intermediate,1,,A,,Half life in Dawley rat,,,BAO_0000218,N,,1,,CHEMBL618662,
7542,In vivo,,50597,10116.0,Intermediate,1,,A,,Half life period after 3 mg/kg iv administration,,,BAO_0000218,N,,1,,CHEMBL618663,
7543,In vivo,,50597,10116.0,Intermediate,1,,A,,Half life period after 3 mg/kg iv administration in rat,,,BAO_0000218,N,,1,,CHEMBL618664,
7544,In vivo,,50597,10116.0,Intermediate,1,,A,,Half life period after 3 mg/kg iv administration in the rat,,,BAO_0000218,N,,1,,CHEMBL618665,
7545,,,50597,10116.0,Intermediate,1,,A,,Half life period in female Sprague-Dawley rats,,,BAO_0000218,N,,1,,CHEMBL876498,
7546,,,50597,10116.0,Intermediate,1,,A,,Half life period in rat,,,BAO_0000218,N,,1,,CHEMBL618666,
7547,,,50597,10116.0,Intermediate,1,,A,,Half-life in rats was determined,,,BAO_0000218,N,,1,,CHEMBL620440,
7548,,,50597,10116.0,Intermediate,1,,A,,Half-life in rats with metabolic oxidation,,,BAO_0000218,N,,1,,CHEMBL620441,
7549,,,50597,10116.0,Intermediate,1,,A,,Half-life in rats,,,BAO_0000218,N,,1,,CHEMBL620442,
7550,In vivo,,50597,10116.0,Intermediate,1,,A,,T 1/2 at a dose of 10 mg/Kg administered intravenously in female hanover-wistar rat,,,BAO_0000218,N,,1,,CHEMBL620443,
7551,In vivo,,50597,10116.0,Intermediate,1,,A,,T 1/2 at a dose of 10 mg/Kg administered perorally in female hanover-wistar rat,,,BAO_0000218,N,,1,,CHEMBL620444,
7552,In vivo,,50597,10116.0,Intermediate,1,,A,,T max at a dose of 10 mg/Kg administered intravenously in female hanover-wistar rat,,,BAO_0000218,N,,1,,CHEMBL620445,
7553,In vivo,,50597,10116.0,Intermediate,1,,A,,T max at a dose of 10 mg/Kg administered perorally in female hanover-wistar rat,,,BAO_0000218,N,,1,,CHEMBL620446,
7554,,1969.0,50597,10116.0,Intermediate,1,Plasma,A,,Biological half-life measured in plasma of rat,,,BAO_0000218,N,,1,,CHEMBL620447,
7555,,1969.0,50597,10116.0,Intermediate,1,Plasma,A,,Biological half-life measured in plasma of rat; 22-25,,,BAO_0000218,N,,1,,CHEMBL621129,
7556,,1969.0,50597,10116.0,Intermediate,1,Plasma,A,,Biological half-life measured in plasma of rat; 9-16,,,BAO_0000218,N,,1,,CHEMBL621130,
7557,In vivo,,50597,10116.0,Intermediate,1,,A,,Compound was evaluated for its half life when administered intravenously in rat,,,BAO_0000218,N,,1,,CHEMBL873808,
7558,In vivo,,50597,10116.0,Intermediate,1,,A,,Compound was evaluated for pharmacokinetic parameter percent bioavailability at 8 h,,,BAO_0000218,N,,1,,CHEMBL876598,
7559,In vivo,,50597,10116.0,Intermediate,1,,A,,Evaluated for pharmacokinetic parameter half-life in rat at the dose 50 mg/kg,,,BAO_0000218,N,,1,,CHEMBL621131,
7560,In vivo,,50597,10116.0,Intermediate,1,,A,,Half life (T1/2) after oral administration in rat,,,BAO_0000218,N,,1,,CHEMBL621132,
7561,In vivo,,50597,10116.0,Intermediate,1,,A,,Half life of compound after iv administration of 20 mg/kg dose in rat,,,BAO_0000218,N,,1,,CHEMBL621133,
7562,In vivo,,50597,10116.0,Expert,1,,A,,Half life of compound determined in rat after iv administration at a dose of 10 mg/kg,,,BAO_0000218,N,,1,,CHEMBL621312,
7563,,,50597,10116.0,Intermediate,1,,A,,Half life of compound was determined in rat,,,BAO_0000218,N,,1,,CHEMBL621313,
7564,,178.0,50597,10116.0,Intermediate,1,Blood,A,,Half life of compound was determined in rat blood,,,BAO_0000218,N,,1,,CHEMBL621314,
7565,In vivo,,50597,10116.0,Intermediate,1,,A,,Half life at 1 mg/kg was determined in rat,,,BAO_0000218,N,,1,,CHEMBL621315,
7566,In vivo,,50597,10116.0,Intermediate,1,,A,,Half life at 10 mg/kg was determined in rat,,,BAO_0000218,N,,1,,CHEMBL621316,
7567,,,50597,10116.0,Intermediate,1,,A,,Half life in rats,,,BAO_0000218,N,,1,,CHEMBL621317,
7568,,,50597,10116.0,Intermediate,1,,A,,Half life in rats in hours,,,BAO_0000218,N,,1,,CHEMBL621318,
7569,In vivo,,50597,10116.0,Intermediate,1,,A,,Half life following 10 mg/kg intravenous or 50 mg/kg oral dosing in rats was determined,,,BAO_0000218,N,,1,,CHEMBL621319,
7570,In vivo,,50597,10116.0,Intermediate,1,,A,,Half life was calculated at a single intravenous administration of 20 mg/kg in rat,,,BAO_0000218,N,,1,,CHEMBL621377,
7571,,,50597,10116.0,Intermediate,1,,A,,Half life was determined,,,BAO_0000218,N,,1,,CHEMBL621378,
7572,In vivo,,50597,10116.0,Intermediate,1,,A,,Half life after i.v. administration,,,BAO_0000218,N,,1,,CHEMBL876599,
7573,In vivo,,50597,10116.0,Intermediate,1,,A,,Half life in rat after intravenous administration at a concentration 0.5 mg/kg,,,BAO_0000218,N,,1,,CHEMBL621379,
7574,,1969.0,50597,10116.0,Intermediate,1,Plasma,A,,Half life in rat plasma,,,BAO_0000218,N,,1,,CHEMBL621380,
7575,,1969.0,50597,10116.0,Intermediate,1,Plasma,A,,Half life in rat plasma; Not detected,,,BAO_0000218,N,,1,,CHEMBL621381,
7576,,,50597,10116.0,Intermediate,1,,A,,Half life in rats,,,BAO_0000218,N,,1,,CHEMBL618515,
7577,In vivo,,50597,10116.0,Intermediate,1,,A,,Half life period of compound was determined after peroral administration,,,BAO_0000218,N,,1,,CHEMBL618516,
7578,In vivo,,50597,10116.0,Intermediate,1,,A,,Half life period of compound was determined at a dose of 3 mg/kg by intravenous administration,,,BAO_0000218,N,,1,,CHEMBL618517,
7579,,,50597,10116.0,Intermediate,1,,A,,Half life period in rat,,,BAO_0000218,N,,1,,CHEMBL618518,
7580,In vivo,,50597,10116.0,Intermediate,1,,A,,Half life period was evaluated against Sprague-Dawley rats at a dose of 15 mg/kg after iv administration,,,BAO_0000218,N,,1,,CHEMBL618519,
