assays_ASI,assays_CURAB,assays_Ti,assays_ASSTI,assays_ASSCA,assays_Descr,assays_RELATT,assays_CONSC,assays_SRI,assays_SASSI,assays_CHI,assays_CI,assays_BAFO,assays_TII,assays_VAI
1,Autocuration,12052,,,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,H,8,1,,CHEMBL615117,,BAO_0000019,,
2,Autocuration,22226,,,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,U,0,1,,CHEMBL615118,,BAO_0000219,,
3,Autocuration,22226,,,,U,0,1,,CHEMBL615119,,BAO_0000019,,
4,Autocuration,104729,,,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,H,4,1,,CHEMBL615120,,BAO_0000249,,
5,Intermediate,80001,,,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),N,1,1,,CHEMBL615121,163.0,BAO_0000219,,
6,Intermediate,80001,,,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),N,1,1,,CHEMBL615122,163.0,BAO_0000219,,
7,Intermediate,80001,,,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,N,1,1,,CHEMBL615123,163.0,BAO_0000219,,
8,Expert,80001,,,In vitro cell cytotoxicity was determined against 143B cell line,N,1,1,,CHEMBL615124,163.0,BAO_0000219,,
9,Intermediate,80001,,,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,N,1,1,,CHEMBL615125,163.0,BAO_0000219,,
10,Intermediate,80001,,,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,N,1,1,,CHEMBL615126,163.0,BAO_0000219,,
11,Intermediate,80001,,,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,N,1,1,,CHEMBL615127,163.0,BAO_0000219,,
12,Expert,80001,,,In vitro cell cytotoxicity was determined against 143B-LTK cell line,N,1,1,,CHEMBL615128,163.0,BAO_0000219,,
13,Intermediate,50185,,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",N,1,1,,CHEMBL857900,,BAO_0000218,,
14,Intermediate,50185,,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",N,1,1,,CHEMBL615129,,BAO_0000218,,
15,Intermediate,50185,,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",N,1,1,,CHEMBL615130,,BAO_0000218,,
16,Intermediate,50185,,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",N,1,1,,CHEMBL615131,,BAO_0000218,,
17,Expert,100122,,,Inhibition of cytochrome P450 progesterone 15-alpha hydroxylase,D,9,1,,CHEMBL884521,,BAO_0000357,,
