ASI,ASOR,Ti,ASSCAT,ASSTI,SI,ASSTY,TII,VARI,CI,CHI,ASTI,SASSI,DOI,ASST,ASSCTY,RELATTY,CONFISCO,CURAB,BAFOR
7524,Rattus norvegicus,50597,,Kidney,1,A,2113.0,,,CHEMBL618647,10116.0,,9866,,,N,1,Intermediate,BAO_0000218
7525,Rattus norvegicus,50597,,Kidney,1,A,2113.0,,,CHEMBL618648,10116.0,,9866,,,N,1,Intermediate,BAO_0000218
7526,Rattus norvegicus,50597,,Kidney,1,A,2113.0,,,CHEMBL618649,10116.0,,9866,,,N,1,Intermediate,BAO_0000218
7527,Rattus norvegicus,50597,,Liver,1,A,2107.0,,,CHEMBL618650,10116.0,,9866,,,N,1,Intermediate,BAO_0000218
7528,Rattus norvegicus,50597,,Liver,1,A,2107.0,,,CHEMBL618651,10116.0,,9866,,,N,1,Intermediate,BAO_0000218
7529,Rattus norvegicus,50597,,Liver,1,A,2107.0,,,CHEMBL876497,10116.0,,9866,,,N,1,Intermediate,BAO_0000218
7530,Rattus norvegicus,50597,,Lung,1,A,2048.0,,,CHEMBL618652,10116.0,,9866,,,N,1,Intermediate,BAO_0000218
7531,Rattus norvegicus,50597,,Lung,1,A,2048.0,,,CHEMBL618653,10116.0,,9866,,,N,1,Intermediate,BAO_0000218
7532,Rattus norvegicus,50597,,Lung,1,A,2048.0,,,CHEMBL618654,10116.0,,9866,,,N,1,Intermediate,BAO_0000218
7533,Rattus norvegicus,50597,,,1,A,,,,CHEMBL618655,10116.0,,6351,,,N,1,Intermediate,BAO_0000218
7534,Rattus norvegicus,50597,,,1,A,,,,CHEMBL618656,10116.0,,1465,,,N,1,Intermediate,BAO_0000218
7535,,22229,,,1,P,,,,CHEMBL618657,,,5182,,,U,0,Intermediate,BAO_0000100
7536,Rattus norvegicus,50597,,,1,A,,,,CHEMBL618658,10116.0,,17847,,,N,1,Intermediate,BAO_0000218
7537,Rattus norvegicus,50597,,,1,A,,,,CHEMBL618659,10116.0,,15339,,,N,1,Intermediate,BAO_0000218
7538,Rattus norvegicus,50597,,,1,A,,,,CHEMBL618660,10116.0,,5202,,,N,1,Intermediate,BAO_0000218
7539,Rattus norvegicus,50597,,,1,A,,,,CHEMBL618661,10116.0,,1088,,,N,1,Intermediate,BAO_0000218
7540,Rattus norvegicus,50597,,,1,A,,,,CHEMBL873807,10116.0,,3169,,,N,1,Intermediate,BAO_0000218
7541,Rattus norvegicus,50597,,,1,A,,,,CHEMBL618662,10116.0,,5353,,,N,1,Intermediate,BAO_0000218
7542,Rattus norvegicus,50597,,,1,A,,,,CHEMBL618663,10116.0,,2864,,,N,1,Intermediate,BAO_0000218
7543,Rattus norvegicus,50597,,,1,A,,,,CHEMBL618664,10116.0,,2864,,,N,1,Intermediate,BAO_0000218
7544,Rattus norvegicus,50597,,,1,A,,,,CHEMBL618665,10116.0,,2864,,,N,1,Intermediate,BAO_0000218
7545,Rattus norvegicus,50597,,,1,A,,,,CHEMBL876498,10116.0,,6362,,,N,1,Intermediate,BAO_0000218
7546,Rattus norvegicus,50597,,,1,A,,,,CHEMBL618666,10116.0,,6249,,,N,1,Intermediate,BAO_0000218
7547,Rattus norvegicus,50597,,,1,A,,,,CHEMBL620440,10116.0,,3169,,,N,1,Intermediate,BAO_0000218
7548,Rattus norvegicus,50597,,,1,A,,,,CHEMBL620441,10116.0,,3169,,,N,1,Intermediate,BAO_0000218
