amount,staff_id,customer_id,payment_date,rental_id,payment_id
2.99,1,1,2005-05-25 11:30:37,76,1
0.99,1,1,2005-05-28 10:35:23,573,2
2.99,2,1,2005-07-27 11:31:22,7273,15
0.99,1,1,2005-08-18 03:57:29,12250,26
0.99,2,1,2005-08-19 09:55:16,13068,27
0.99,1,1,2005-08-21 23:33:57,14762,29
1.99,1,1,2005-08-22 01:27:57,14825,30
2.99,1,2,2005-07-10 06:31:24,5636,35
5.99,2,2,2005-07-27 18:40:20,7459,39
2.99,1,2,2005-07-29 12:56:59,8598,41
5.99,2,2,2005-07-29 17:14:29,8705,42
4.99,1,2,2005-07-30 06:06:10,9031,43
2.99,1,3,2005-06-19 08:34:53,2628,65
5.99,1,3,2005-07-27 04:54:42,7096,68
0.99,2,4,2005-06-16 15:51:52,1735,89
5.99,1,4,2005-06-19 09:39:01,2642,91
4.99,2,4,2005-08-17 00:28:01,11529,99
8.99,2,4,2005-08-18 05:14:44,12294,101
0.99,1,5,2005-05-29 07:25:16,731,108
1.99,1,5,2005-05-31 19:46:38,1142,110
3.99,1,5,2005-06-15 22:03:14,1502,111
4.99,2,5,2005-06-20 18:38:22,3126,115
2.99,2,5,2005-07-08 20:04:43,4889,117
5.99,2,5,2005-07-09 07:13:52,5118,119
1.99,2,5,2005-07-09 08:51:42,5156,120
3.99,1,5,2005-07-12 11:27:35,6663,123
0.99,2,5,2005-07-28 01:50:29,7652,126
4.99,1,5,2005-08-02 10:50:06,11179,135
9.99,1,5,2005-08-18 00:10:04,12145,137
1.99,1,5,2005-08-19 09:45:41,13063,139
6.99,1,5,2005-08-21 11:31:11,14430,142
0.99,2,5,2005-08-22 17:37:02,15232,144
0.99,2,5,2006-02-14 15:16:03,13209,145
2.99,1,6,2005-05-28 11:09:14,577,147
3.99,1,6,2005-06-16 03:41:38,1575,149
0.99,1,6,2005-06-17 09:19:45,1966,151
2.99,2,6,2005-07-07 14:53:24,4278,154
0.99,1,6,2005-07-10 03:03:35,5553,155
2.99,2,6,2005-07-27 05:03:44,7099,159
0.99,1,6,2005-08-17 08:12:20,11727,166
5.99,1,6,2005-08-23 02:51:24,15509,172
5.99,2,7,2005-05-25 06:04:08,46,174
2.99,2,7,2005-05-29 09:27:00,748,176
6.99,2,7,2005-08-01 04:57:04,10330,195
5.99,1,7,2005-08-01 08:19:53,10423,196
8.99,1,7,2005-08-18 07:57:14,12367,201
0.99,1,7,2005-08-20 05:53:31,13594,205
5.99,1,7,2005-08-21 04:49:48,14222,206
3.99,2,8,2005-07-07 21:47:29,4409,214
0.99,2,8,2005-07-31 22:08:29,10141,222
2.99,1,8,2005-08-18 17:16:01,12613,226
4.99,1,8,2005-08-23 14:31:19,15805,230
7.99,2,9,2005-06-20 19:59:28,3142,234
4.99,2,9,2005-06-21 04:08:43,3262,235
4.99,2,9,2005-07-11 02:08:29,6019,240
5.99,2,9,2005-08-02 19:00:52,11400,247
2.99,1,9,2005-08-18 05:58:40,12309,250
4.99,2,10,2005-05-31 19:36:30,1140,254
0.99,1,10,2005-06-19 20:01:59,2814,258
2.99,2,10,2005-07-09 04:53:18,5068,264
2.99,1,10,2005-07-10 20:41:09,5905,266
2.99,2,10,2005-08-02 14:55:00,11289,272
7.99,1,11,2005-06-17 07:26:45,1939,281
0.99,1,11,2005-06-20 23:49:12,3192,282
2.99,2,11,2005-07-08 07:19:11,4608,283
0.99,1,11,2005-07-29 17:33:45,8715,291
4.99,1,11,2005-08-01 22:41:16,10812,294
6.99,2,11,2005-08-02 10:14:58,11166,295
4.99,1,11,2005-08-20 12:17:27,13790,299
