city,city_id,country_id
A Coruña (La Coruña),1,87
Abha,2,82
Abu Dhabi,3,101
Acuña,4,60
Adana,5,97
Addis Abeba,6,31
Aden,7,107
Adoni,8,44
Ahmadnagar,9,44
Akishima,10,50
Akron,11,103
al-Ayn,12,101
al-Hawiya,13,82
al-Manama,14,11
al-Qadarif,15,89
al-Qatif,16,82
Alessandria,17,49
Allappuzha (Alleppey),18,44
Allende,19,60
Almirante Brown,20,6
Alvorada,21,15
Ambattur,22,44
Amersfoort,23,67
Amroha,24,44
Angra dos Reis,25,15
Anápolis,26,15
Antofagasta,27,22
Aparecida de Goiânia,28,15
Apeldoorn,29,67
Araçatuba,30,15
Arak,31,46
Arecibo,32,77
Arlington,33,103
Ashdod,34,48
Ashgabat,35,98
Ashqelon,36,48
Asunción,37,73
Athenai,38,39
Atšinsk,39,80
Atlixco,40,60
Augusta-Richmond County,41,103
Aurora,42,103
Avellaneda,43,6
Bagé,44,15
Bahía Blanca,45,6
Baicheng,46,23
Baiyin,47,23
Baku,48,10
Balašiha,49,80
Balikesir,50,97
Balurghat,51,44
Bamenda,52,19
Bandar Seri Begawan,53,16
Banjul,54,37
Barcelona,55,104
Basel,56,91
Bat Yam,57,48
Batman,58,97
Batna,59,2
Battambang,60,18
Baybay,61,75
Bayugan,62,75
Béchar,63,2
Beira,64,63
Bellevue,65,103
Belém,66,15
Benguela,67,4
Beni-Mellal,68,62
Benin City,69,69
Bergamo,70,49
Berhampore (Baharampur),71,44
Bern,72,91
Bhavnagar,73,44
Bhilwara,74,44
Bhimavaram,75,44
Bhopal,76,44
Bhusawal,77,44
Bijapur,78,44
Bilbays,79,29
Binzhou,80,23
Birgunj,81,66
Bislig,82,75
Blumenau,83,15
Boa Vista,84,15
Boksburg,85,85
Botosani,86,78
Botshabelo,87,85
Bradford,88,102
Brasília,89,15
Bratislava,90,84
Brescia,91,49
Brest,92,34
Brindisi,93,49
Brockton,94,103
Bucuresti,95,78
Buenaventura,96,24
Bydgoszcz,97,76
Cabuyao,98,75
Callao,99,74
Cam Ranh,100,105
Cape Coral,101,103
Caracas,102,104
Carmen,103,60
Cavite,104,75
Cayenne,105,35
Celaya,106,60
Chandrapur,107,44
Changhwa,108,92
Changzhou,109,23
Chapra,110,44
Charlotte Amalie,111,106
