original_language_id,language,release_year,title,rating,rental_duration,rental_rate,film_id,length,replacement_cost,description
,English,2006,ACADEMY DINOSAUR,PG,6,0.99,1,86,20.99,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies
,English,2006,ADAPTATION HOLES,NC-17,7,2.99,3,50,18.99,A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory
,English,2006,AFRICAN EGG,G,6,2.99,5,130,22.99,A Fast-Paced Documentary of a Pastry Chef And a Dentist who must Pursue a Forensic Psychologist in The Gulf of Mexico
,English,2006,AGENT TRUMAN,PG,3,2.99,6,169,17.99,A Intrepid Panorama of a Robot And a Boy who must Escape a Sumo Wrestler in Ancient China
,English,2006,AIRPLANE SIERRA,PG-13,6,4.99,7,62,28.99,A Touching Saga of a Hunter And a Butler who must Discover a Butler in A Jet Boat
,English,2006,AIRPORT POLLOCK,R,6,4.99,8,54,15.99,A Epic Tale of a Moose And a Girl who must Confront a Monkey in Ancient India
,English,2006,ALABAMA DEVIL,PG-13,3,2.99,9,114,21.99,A Thoughtful Panorama of a Database Administrator And a Mad Scientist who must Outgun a Mad Scientist in A Jet Boat
,English,2006,ALADDIN CALENDAR,NC-17,6,4.99,10,63,24.99,A Action-Packed Tale of a Man And a Lumberjack who must Reach a Feminist in Ancient China
,English,2006,ALASKA PHANTOM,PG,6,0.99,12,136,22.99,A Fanciful Saga of a Hunter And a Pastry Chef who must Vanquish a Boy in Australia
,English,2006,ALICE FANTASIA,NC-17,6,0.99,14,94,23.99,A Emotional Drama of a A Shark And a Database Administrator who must Vanquish a Pioneer in Soviet Georgia
,English,2006,ALIEN CENTER,NC-17,5,2.99,15,46,10.99,A Brilliant Drama of a Cat And a Mad Scientist who must Battle a Feminist in A MySQL Convention
,English,2006,ALONE TRIP,R,3,0.99,17,82,14.99,A Fast-Paced Character Study of a Composer And a Dog who must Outgun a Boat in An Abandoned Fun House
,English,2006,ALTER VICTORY,PG-13,6,0.99,18,57,27.99,A Thoughtful Drama of a Composer And a Feminist who must Meet a Secret Agent in The Canadian Rockies
,English,2006,AMADEUS HOLY,PG,6,0.99,19,113,20.99,A Emotional Display of a Pioneer And a Technical Writer who must Battle a Man in A Baloon
,English,2006,AMELIE HELLFIGHTERS,R,4,4.99,20,79,23.99,A Boring Drama of a Woman And a Squirrel who must Conquer a Student in A Baloon
,English,2006,AMERICAN CIRCUS,R,3,4.99,21,129,17.99,A Insightful Drama of a Girl And a Astronaut who must Face a Database Administrator in A Shark Tank
,English,2006,ANACONDA CONFESSIONS,R,3,0.99,23,92,9.99,A Lacklusture Display of a Dentist And a Dentist who must Fight a Girl in Australia
,English,2006,ANALYZE HOOSIERS,R,6,2.99,24,181,19.99,A Thoughtful Display of a Explorer And a Pastry Chef who must Overcome a Feminist in The Sahara Desert
,English,2006,ANGELS LIFE,G,3,2.99,25,74,15.99,A Thoughtful Display of a Woman And a Astronaut who must Battle a Robot in Berlin
,English,2006,ANONYMOUS HUMAN,NC-17,7,0.99,27,179,12.99,A Amazing Reflection of a Database Administrator And a Astronaut who must Outrace a Database Administrator in A Shark Tank
,English,2006,ANTITRUST TOMATOES,NC-17,5,2.99,29,168,11.99,A Fateful Yarn of a Womanizer And a Feminist who must Succumb a Database Administrator in Ancient India
,English,2006,ANYTHING SAVANNAH,R,4,2.99,30,82,27.99,A Epic Story of a Pastry Chef And a Woman who must Chase a Feminist in An Abandoned Fun House
,English,2006,APACHE DIVINE,NC-17,5,4.99,31,92,16.99,A Awe-Inspiring Reflection of a Pastry Chef And a Teacher who must Overcome a Sumo Wrestler in A U-Boat
,English,2006,APOLLO TEEN,PG-13,5,2.99,33,153,15.99,A Action-Packed Reflection of a Crocodile And a Explorer who must Find a Sumo Wrestler in An Abandoned Mine Shaft
,English,2006,ARABIA DOGMA,NC-17,6,0.99,34,62,29.99,A Touching Epistle of a Madman And a Mad Cow who must Defeat a Student in Nigeria
,English,2006,ARACHNOPHOBIA ROLLERCOASTER,PG-13,4,2.99,35,147,24.99,A Action-Packed Reflection of a Pastry Chef And a Composer who must Discover a Mad Scientist in The First Manned Space Station
,English,2006,ARGONAUTS TOWN,PG-13,7,0.99,36,127,12.99,A Emotional Epistle of a Forensic Psychologist And a Butler who must Challenge a Waitress in An Abandoned Mine Shaft
,English,2006,ARIZONA BANG,PG,3,2.99,37,121,28.99,A Brilliant Panorama of a Mad Scientist And a Mad Cow who must Meet a Pioneer in A Monastery
,English,2006,ARK RIDGEMONT,NC-17,6,0.99,38,68,25.99,A Beautiful Yarn of a Pioneer And a Monkey who must Pursue a Explorer in The Sahara Desert
,English,2006,ARMAGEDDON LOST,G,5,0.99,39,99,10.99,A Fast-Paced Tale of a Boat And a Teacher who must Succumb a Composer in An Abandoned Mine Shaft
,English,2006,ARMY FLINTSTONES,R,4,0.99,40,148,22.99,A Boring Saga of a Database Administrator And a Womanizer who must Battle a Waitress in Nigeria
,English,2006,ARSENIC INDEPENDENCE,PG,4,0.99,41,137,17.99,A Fanciful Documentary of a Mad Cow And a Womanizer who must Find a Dentist in Berlin
,English,2006,ARTIST COLDBLOODED,NC-17,5,2.99,42,170,10.99,A Stunning Reflection of a Robot And a Moose who must Challenge a Woman in California
,English,2006,ATLANTIS CAUSE,G,6,2.99,43,170,15.99,A Thrilling Yarn of a Feminist And a Hunter who must Fight a Technical Writer in A Shark Tank
,English,2006,ATTACKS HATE,PG-13,5,4.99,44,113,21.99,A Fast-Paced Panorama of a Technical Writer And a Mad Scientist who must Find a Feminist in An Abandoned Mine Shaft
,English,2006,ATTRACTION NEWTON,PG-13,5,4.99,45,83,14.99,A Astounding Panorama of a Composer And a Frisbee who must Reach a Husband in Ancient Japan
,English,2006,AUTUMN CROW,G,3,4.99,46,108,13.99,A Beautiful Tale of a Dentist And a Mad Cow who must Battle a Moose in The Sahara Desert
,English,2006,BABY HALL,NC-17,5,4.99,47,153,23.99,A Boring Character Study of a A Shark And a Girl who must Outrace a Feminist in An Abandoned Mine Shaft
,English,2006,BACKLASH UNDEFEATED,PG-13,3,4.99,48,118,24.99,A Stunning Character Study of a Mad Scientist And a Mad Cow who must Kill a Car in A Monastery
,English,2006,BADMAN DAWN,R,6,2.99,49,162,22.99,A Emotional Panorama of a Pioneer And a Composer who must Escape a Mad Scientist in A Jet Boat
,English,2006,BALLOON HOMEWARD,NC-17,5,2.99,51,75,10.99,A Insightful Panorama of a Forensic Psychologist And a Mad Cow who must Build a Mad Scientist in The First Manned Space Station
,English,2006,BALLROOM MOCKINGBIRD,G,6,0.99,52,173,29.99,A Thrilling Documentary of a Composer And a Monkey who must Find a Feminist in California
,English,2006,BANG KWAI,NC-17,5,2.99,53,87,25.99,A Epic Drama of a Madman And a Cat who must Face a A Shark in An Abandoned Amusement Park
,English,2006,BARBARELLA STREETCAR,G,6,2.99,55,65,27.99,A Awe-Inspiring Story of a Feminist And a Cat who must Conquer a Dog in A Monastery
,English,2006,BAREFOOT MANCHURIAN,G,6,2.99,56,129,15.99,A Intrepid Story of a Cat And a Student who must Vanquish a Girl in An Abandoned Amusement Park
,English,2006,BASIC EASY,PG-13,4,2.99,57,90,18.99,A Stunning Epistle of a Man And a Husband who must Reach a Mad Scientist in A Jet Boat
,English,2006,BEACH HEARTBREAKERS,G,6,2.99,58,122,16.99,A Fateful Display of a Womanizer And a Mad Scientist who must Outgun a A Shark in Soviet Georgia
,English,2006,BEAST HUNCHBACK,R,3,4.99,60,89,22.99,A Awe-Inspiring Epistle of a Student And a Squirrel who must Defeat a Boy in Ancient China
,English,2006,BEAUTY GREASE,G,5,4.99,61,175,28.99,A Fast-Paced Display of a Composer And a Moose who must Sink a Robot in An Abandoned Mine Shaft
,English,2006,BED HIGHBALL,NC-17,5,2.99,62,106,23.99,A Astounding Panorama of a Lumberjack And a Dog who must Redeem a Woman in An Abandoned Fun House
,English,2006,BEDAZZLED MARRIED,PG,6,0.99,63,73,21.99,A Astounding Character Study of a Madman And a Robot who must Meet a Mad Scientist in An Abandoned Fun House
,English,2006,BEETHOVEN EXORCIST,PG-13,6,0.99,64,151,26.99,A Epic Display of a Pioneer And a Student who must Challenge a Butler in The Gulf of Mexico
,English,2006,BEHAVIOR RUNAWAY,PG,3,4.99,65,100,20.99,A Unbelieveable Drama of a Student And a Husband who must Outrace a Sumo Wrestler in Berlin
,English,2006,BENEATH RUSH,NC-17,6,0.99,66,53,27.99,A Astounding Panorama of a Man And a Monkey who must Discover a Man in The First Manned Space Station
