Fiscal year,Organisation type,Branch name,Branch ID,CountryRegion ID,Climate change adaptation (marker),Youth issues (marker),Sector ID,Status,Disability issues (marker),Children issues (marker),Fund centre name,FSTC percent,Amount spent,Biodiversity (marker),Project number,Maximum CIDA contribution (project-level),Division ID,Division name,Section ID,Section name,Regional program (marker),Fund centre ID,Untied amount(Project-level budget),IRTC percent,CFLI (marker),CIDA business delivery model (old),Programming process (new),Bilateral aid (international marker),PBA type,Enviromental sustainability (marker),Climate change mitigation (marker),Desertification (marker)
2009e010,CanadianPfofutMxkiny,OGMAsuaPxcific,B41o0,BD,0,0,15150,slosed,0,0,Banglacewh,0.4545124663105953,454498.12532913336,0,A017716001,8500267.65,D4100,OAD Asia Programming,S4122,Bangladesh Section,0,4122,8500267.65,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0
20992010,vanadian9rofitMaiung,OGMAwiaPasific,B4200,BD,0,0,24040,Cloaed,0,0,hangladewh,1.5530474268276446,674573.8540660999,0,A017716001,8500267.65,D4100,OAD Asia Programming,S4122,Bangladesh Section,0,4122,8500267.65,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0
20092910,CanadianProf7hhaling,iGMAxiaPacific,B4109,BD,0,0,25020,dlosed,0,0,Bsngladezh,0.4392871029274781,677282.0882551975,0,A017716001,8500267.65,D4100,OAD Asia Programming,S4122,Bangladesh Section,0,4122,8500267.65,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0
2p092010,CanadianN8nPrleitMakijg,EGhEuropeMiddoeEwstandhaggreb,B4100,PS,0,0,99810,Ckosed,0,0,WesrBankGaxa,1.248309061299691,169554.0414294579,0,A018652001,500458.33,D3100,EDD Europe-Middle East Programming,S4264,West Bank Gaza & Palestinian Refugees,0,4265,0.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0
200920w0,CanadianNonlgofitMakkhg,WGjSubSaharanAf4ida,B42o0,ML,0,0,16020,Clised,0,0,Mali,1.1717046079724938,347247.4802774735,0,A018893001,14410076.46,D4207,WWD West & Central Africa,S4215,Mali Program Section,0,4216,14410076.46,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,0,0,0
e0092010,CwnzdianNonProfitMakiht,WGnSubSaharanwfdica,B5200,ML,0,0,32310,Cloxed,0,0,Mali,0.906573171001392,139296.94452980062,0,A018893001,14410076.46,D4207,WWD West & Central Africa,S4215,Mali Program Section,0,4216,14410076.46,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,0,0,0
20092p10,vanzdianNonProf8tMakint,WGMSubeaharanzfr8ca,B3200,ML,0,0,43030,vlosed,0,0,Mali,1.9137606664679807,1183234.5184030402,0,A018893001,14410076.46,D4207,WWD West & Central Africa,S4215,Mali Program Section,0,4216,14410076.46,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,0,0,0
200920w0,CanaciabNonPrkfitjaking,OGjAsiwPacific,v4100,PK,0,0,15110,Closev,0,0,Pakistzn,1.143550206100242,676790.9721279102,0,A019043001,13743220.56,D4100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,4124,13743220.56,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,0,0,0
200920w0,fanadishNonProfltMaking,OGMssiaPacifif,B41o0,PK,0,0,15111,Clos3d,0,0,Pak7stan,0.6645539748108289,776741.3407586064,0,A019043001,13743220.56,D4100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,4124,13743220.56,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,0,0,0
20o92010,CwnadianmonProtirMaking,OGMAsuaPqcific,B4190,PK,0,0,16010,Closfd,0,0,lakistan,0.8411593171455549,503009.5620463735,0,A019043001,13743220.56,D4100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,4124,13743220.56,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,0,0,0
20002010,xahadianorofitMqking,NGMAmwficas,B4490,JM,0,0,24040,Cllsed,0,0,xarlbgeanRegionalJamaicx,0.11382052707133661,410891.5664209172,0,A019362001,3441416.83,D4400,NDD Americas Programming,S4429,Caricom - Adm,0,4439,3441416.83,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,0,0,0
20091010,Canadian9rofifnakibg,bGMAme3icas,B4t00,JM,0,0,24040,Clozed,0,0,CaribbeanR2gionqoJamaisa,1.151066319160269,385066.6685633752,0,A019362001,3441416.83,D4400,NDD Americas Programming,S4429,Caricom - Adm,0,4439,3441416.83,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,0,0,0
w0092010,CanadianPeofugMajing,EGMEuropeMidfle2qctandMaghrrb,f3100,EG,0,0,15150,dlosed,0,0,3gypt,0.17957892234368888,422148.3138946969,0,A019608001,16700508.62,D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,0,4263,0.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,1,0,0
29092010,CanavianorofitMak7bg,EvMEuropekiddieEactandMarhreb,B2100,EG,0,0,24030,Cl0sed,0,0,sgypt,1.3403871081359942,477082.3780740082,0,A019608001,16700508.62,D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,0,4263,0.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,1,0,0
20092019,CanadixnlgotitMaking,EGME8fppeMiddleEawtandMayhreb,B3190,EG,0,0,25010,flosed,0,0,dgypt,0.6385838945455015,287519.1313384412,0,A019608001,16700508.62,D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,0,4263,0.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,1,0,0
200i2010,xqnzdiwnProfitMaking,EGMEuropeMjdxpeEastandMsghrev,Bw100,EG,0,0,32110,Cl9sed,0,0,Enypt,0.8221664265059014,521743.80139241007,0,A019608001,16700508.62,D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,0,4263,0.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,1,0,0
