assay_id,curated_by,tid,assay_tissue,assay_category,description,doc_id,assay_type,assay_test_type,assay_organism,assay_tax_id,assay_strain,assay_cell_type,assay_subcellular_fraction
1,Autocuration,12052,,,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,11087,B,,,,,,
2,Autocuration,22226,,,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,684,F,,,,,,
3,Autocuration,22226,,,,15453,B,,,,,,
4,Autocuration,104729,,,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,17841,B,,Bos taurus,9913.0,,,
5,Intermediate,80001,,,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),17430,F,,Homo sapiens,9606.0,,143B,
6,Intermediate,80001,,,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),17430,F,,Homo sapiens,9606.0,,143B,
7,Intermediate,80001,,,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,13799,F,,Mus musculus,10090.0,,143B,
8,Expert,80001,,,In vitro cell cytotoxicity was determined against 143B cell line,17774,F,,Homo sapiens,9606.0,,143B,
9,Intermediate,80001,,,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,3801,F,,Homo sapiens,9606.0,,143B,
10,Intermediate,80001,,,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,17430,F,,Homo sapiens,9606.0,,143B,
11,Intermediate,80001,,,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,17430,F,,Homo sapiens,9606.0,,143B,
12,Expert,80001,,,In vitro cell cytotoxicity was determined against 143B-LTK cell line,17774,F,,Homo sapiens,9606.0,,143B,
13,Intermediate,50185,,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",11324,F,,Staphylococcus aureus,1280.0,,,
14,Intermediate,50185,,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",11324,F,,Staphylococcus aureus,1280.0,,,
