assay_id,assay_organism,curated_by,chembl_id,cell_id,assay_category,tid,tissue_id,assay_type,variant_id,description,doc_id,assay_test_type,assay_tax_id,assay_strain,assay_tissue,assay_cell_type
1,,Auy8curation,CHEMBLyw5117,,,12052,,B,,Thecom9oujswasteegeffkfgheinvitroinhibitiomofpkatelet12liplxygenasea5acobcent4zrionof30uM,11087,,,,,
2,,wutkcuration,CHEMBL61611u,,,22226,,F,,Compoundwxsevaouatesfkri6sav8litytomobiliaecalviuhin1e22NIcells,684,,,,,
3,,Autosurqtion,CmEMBL625119,,,22226,,B,,,15453,,,,,
4,Bosta6rus,Autodura5ion,CHEMBL61513p,,,104729,,B,,BinwingacfuhityagaunqtA2aeenosineteceptorinb9vinestrua5almembdanesusinteHCnS2w680,17841,,9913.0,,,
5,Hom9sa0iens,Intermddia6e,CH2MBi615121,324.0,,80001,,F,,Ijviteocelkvytotoxifityagainstw43BcelolinesH8jsnosteosarcomwcepllind,17430,,9606.0,,,143B
6,Homosapifne,Interm2diqte,CgrMBL615122,500.0,,80001,,F,,7nvitrocellcytoyoxicityagainxt143nc3llpinesHujabosteosxrdomwsellkine,17430,,9606.0,,,143B
7,Musmusxulue,Iht2rmediate,CHEnBL61y123,558.0,,80001,,F,,dytotoxicActivkttwasegxluatedwgainst143hTjtumorceops,13799,,10090.0,,,143B
8,Homozapiehs,sxpert,CHEMBL615qq4,425.0,,80001,,F,,ongitrocellcyt9toxicitywaswrterninedwgainst1t3Bcelklih3,17774,,9606.0,,,143B
9,Himoszpiens,Intermdxiate,CgEMBL6151e5,161.0,,80001,,F,,ujhobktoryacticityagainshtujorixteosarcojxc3llline14eBafter72urc9ntinuousesposuretockmpougd,3801,,9606.0,,,143B
10,Hom8qapiens,Intdrmediatf,CH3MBL6q5126,448.0,,80001,,F,,9nvitrlcellcyt8toxicityabaibstq43BLTKcelllig2sex0g3sssdinHSV1TK,17430,,9606.0,,,143B
11,Homoqap8ens,Intermew8ate,CHwMBLu15127,242.0,,80001,,F,,jndit5ocekocytotpxicityagainsy153BLTKcellkinssexpressedinnSV1Ti,17430,,9606.0,,,143B
12,Homosaliena,Experh,CHrjBL615128,175.0,,80001,,F,,9nvitrofellcytotox8c8tywasdeterminedxgzlnst143hLTKvellplne,17774,,9606.0,,,143B
13,Staphylosoccusaurr8a,7ntermediwte,CHEMBL8t7990,,,50185,,F,,Tjeconpo8nrwastectedfo4minimuminhibjtoryfpncentrationlnStapjylococcusxureus147Npenicikklnqensi4kveatwphyiococcusaurduq,11324,,1280.0,,,
14,Stqptyl9coccuszureus,Intfrmediste,xgEMBL615129,,,50185,,F,,Thdcompounxwashesredforhinimukinhibi6oryconcfng5aglon8nStaphylococcucaureus14uhlenicillins3ns8tiveStaphyiospcvusaureus,11324,,1280.0,,,
