assays_ASSI,assays_ASSTI,assays_RELATITY,assays_ASTI,assays_TISI,assays_VAI,assays_ASSUBCEFRAC,assays_T,assays_CONFISCO,assays_CURB,assays_SRI,assays_SRASSI,assays_CHI,assays_CI,assays_BAFOR
1,,H,,,,,12052,8,Autocuration,1,,CHEMBL615117,,BAO_0000019
2,,U,,,,,22226,0,Autocuration,1,,CHEMBL615118,,BAO_0000219
3,,U,,,,,22226,0,Autocuration,1,,CHEMBL615119,,BAO_0000019
4,,H,9913.0,,,,104729,4,Autocuration,1,,CHEMBL615120,,BAO_0000249
5,,N,9606.0,,,,80001,1,Intermediate,1,,CHEMBL615121,163.0,BAO_0000219
6,,N,9606.0,,,,80001,1,Intermediate,1,,CHEMBL615122,163.0,BAO_0000219
7,,N,10090.0,,,,80001,1,Intermediate,1,,CHEMBL615123,163.0,BAO_0000219
8,,N,9606.0,,,,80001,1,Expert,1,,CHEMBL615124,163.0,BAO_0000219
9,,N,9606.0,,,,80001,1,Intermediate,1,,CHEMBL615125,163.0,BAO_0000219
10,,N,9606.0,,,,80001,1,Intermediate,1,,CHEMBL615126,163.0,BAO_0000219
11,,N,9606.0,,,,80001,1,Intermediate,1,,CHEMBL615127,163.0,BAO_0000219
12,,N,9606.0,,,,80001,1,Expert,1,,CHEMBL615128,163.0,BAO_0000219
13,,N,1280.0,,,,50185,1,Intermediate,1,,CHEMBL857900,,BAO_0000218
14,,N,1280.0,,,,50185,1,Intermediate,1,,CHEMBL615129,,BAO_0000218
15,,N,1280.0,,,,50185,1,Intermediate,1,,CHEMBL615130,,BAO_0000218
16,,N,1280.0,,,,50185,1,Intermediate,1,,CHEMBL615131,,BAO_0000218
17,,D,10116.0,,,,100122,9,Expert,1,,CHEMBL884521,,BAO_0000357
18,,H,,,,,12054,8,Autocuration,1,,CHEMBL615132,,BAO_0000357
19,,H,,,,,12054,8,Autocuration,1,,CHEMBL615133,,BAO_0000019
20,,H,,,,,12054,8,Autocuration,1,,CHEMBL615134,,BAO_0000357
21,,H,,,,,12054,8,Autocuration,1,,CHEMBL615135,,BAO_0000357
22,,H,,,,,12054,8,Autocuration,1,,CHEMBL615136,,BAO_0000357
23,,H,,,,,12054,8,Autocuration,1,,CHEMBL615137,,BAO_0000357
24,,H,,,,,12054,8,Autocuration,1,,CHEMBL615138,,BAO_0000357
25,,U,,,,,22226,0,Autocuration,1,,CHEMBL836324,,BAO_0000219
26,,H,9986.0,,,,12054,8,Autocuration,1,,CHEMBL615139,,BAO_0000357
27,,H,9986.0,,,,12054,8,Autocuration,1,,CHEMBL615140,,BAO_0000357
28,,H,,,,,12426,8,Autocuration,1,,CHEMBL615141,,BAO_0000219
29,,H,3847.0,,,,12054,8,Autocuration,1,,CHEMBL615142,,BAO_0000357
30,,H,3847.0,,,,12054,8,Autocuration,1,,CHEMBL615143,,BAO_0000357
31,,H,3847.0,,,,12054,8,Autocuration,1,,CHEMBL615144,,BAO_0000357
32,,H,3847.0,,,,12054,8,Autocuration,1,,CHEMBL872867,,BAO_0000357
33,,H,3847.0,,,,12054,8,Autocuration,1,,CHEMBL615145,,BAO_0000357
34,,H,3847.0,,,,12054,8,Autocuration,1,,CHEMBL615146,,BAO_0000357
35,,H,3847.0,,,,12054,8,Autocuration,1,,CHEMBL615147,,BAO_0000357
36,,U,10116.0,,,,22226,0,Autocuration,1,,CHEMBL615148,,BAO_0000019
37,,U,562.0,,,,22226,0,Autocuration,1,,CHEMBL615149,,BAO_0000019
38,,U,,,,,22226,0,Autocuration,1,,CHEMBL615150,,BAO_0000019
39,,M,,,,,22222,3,Intermediate,1,,CHEMBL615151,,BAO_0000225
40,,M,,,,,22222,3,Intermediate,1,,CHEMBL615152,,BAO_0000225
41,,M,562.0,,,,100263,3,Expert,1,,CHEMBL615153,,BAO_0000225
42,,M,562.0,,,,100263,3,Expert,1,,CHEMBL615154,,BAO_0000225
43,,H,,,,,13053,8,Autocuration,1,,CHEMBL615155,,BAO_0000019
44,,H,,,,,13053,8,Autocuration,1,,CHEMBL615156,,BAO_0000019
45,,H,9606.0,,,,20001,8,Autocuration,1,,CHEMBL615157,,BAO_0000019
46,,H,9606.0,,,,20001,8,Autocuration,1,,CHEMBL615158,,BAO_0000019
47,,D,10116.0,,,,12971,9,Expert,1,,CHEMBL615159,,BAO_0000019
48,,D,10116.0,,,,12971,9,Expert,1,,CHEMBL615172,,BAO_0000019
49,,D,10116.0,,,,12971,9,Expert,1,,CHEMBL615173,,BAO_0000019
50,,D,10116.0,,,,12971,9,Expert,1,,CHEMBL615174,,BAO_0000019
51,,H,,,,,13053,8,Autocuration,1,,CHEMBL884518,,BAO_0000019
52,,H,,,,,11512,8,Autocuration,1,,CHEMBL615175,,BAO_0000357
53,,H,,,,,11512,8,Autocuration,1,,CHEMBL615176,,BAO_0000357
54,,H,,,,,11512,8,Autocuration,1,,CHEMBL615177,,BAO_0000357
55,,D,10116.0,,,Membranes,104740,5,Autocuration,1,,CHEMBL615178,,BAO_0000249
56,,N,9606.0,,,,80002,1,Intermediate,1,,CHEMBL615179,506.0,BAO_0000219
57,,D,10116.0,,,,104835,7,Autocuration,1,,CHEMBL615180,,BAO_0000219
58,,D,10116.0,,,,104821,7,Autocuration,1,,CHEMBL615181,,BAO_0000219
59,,D,10116.0,,,,104848,7,Autocuration,1,,CHEMBL615182,,BAO_0000219
60,,N,9606.0,,,,80002,1,Expert,1,,CHEMBL615183,506.0,BAO_0000219
61,,N,9606.0,,,,80002,1,Intermediate,1,,CHEMBL615184,506.0,BAO_0000219
62,,N,9606.0,,,,80002,1,Intermediate,1,,CHEMBL615185,506.0,BAO_0000219
63,,N,9606.0,,,,80002,1,Intermediate,1,,CHEMBL615186,506.0,BAO_0000219
64,,N,9606.0,,,,80002,1,Intermediate,1,,CHEMBL615187,506.0,BAO_0000219
65,,N,9606.0,,,,80002,1,Expert,1,,CHEMBL885343,506.0,BAO_0000219
66,,N,9606.0,,,,80002,1,Intermediate,1,,CHEMBL615188,506.0,BAO_0000219
67,,N,9606.0,,,,80002,1,Intermediate,1,,CHEMBL615189,506.0,BAO_0000219
68,,N,9606.0,,,,80002,1,Intermediate,1,,CHEMBL615190,506.0,BAO_0000219
