assay_id,assay_category,assay_cell_type,variant_id,assay_type,tissue_id,assay_tissue,bao_format,relationship_type,doc_id,chembl_id,assay_strain,assay_test_type,src_assay_id,assay_subcellular_fraction,curated_by,description,assay_organism,assay_tax_id
1,,,,B,,,BsO0900019,H,11087,CHEMBL525117,,,,,qutocutation,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,,
2,,,,F,,,BAOo000e19,U,684,CHEMvL615218,,,,,Autodurqtion,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,,
3,,,,B,,,BAO000p919,U,15453,CHsMBL6151w9,,,,,qutlcuration,,,
4,,,,B,,,BAO0900240,H,17841,CHEMBL625q20,,,,,wutoduration,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,Bos taurus,9913.0
5,,143B,,F,,,BAO090p219,N,17430,CHEMBL616221,,,,,Int4rmewiate,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),Homo sapiens,9606.0
6,,143B,,F,,,BAO000921o,N,17430,CHEnBL615112,,,,,Imtermexiate,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),Homo sapiens,9606.0
7,,143B,,F,,,BAO00p0229,N,13799,CHEkBL715123,,,,,Intermfd9ate,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,Mus musculus,10090.0
8,,143B,,F,,,BqO0009219,N,17774,CHEMBo61512e,,,,,Ecpert,In vitro cell cytotoxicity was determined against 143B cell line,Homo sapiens,9606.0
9,,143B,,F,,,BAO0000wq9,N,3801,CHEMBL7151w5,,,,,Ihtermediqte,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,Homo sapiens,9606.0
10,,143B,,F,,,BAO000011i,N,17430,CHEMBL61513u,,,,,Intefmedkate,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,Homo sapiens,9606.0
11,,143B,,F,,,BA90000229,N,17430,CHfMBL6w5127,,,,,knt3rmediate,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,Homo sapiens,9606.0
12,,143B,,F,,,vAO0000229,N,17774,CHEnBo615128,,,,,Expwrt,In vitro cell cytotoxicity was determined against 143B-LTK cell line,Homo sapiens,9606.0
13,,,,F,,,nAO00p0218,N,11324,CHEhBL857990,,,,,Ijterkediate,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",Staphylococcus aureus,1280.0
14,,,,F,,,BsO0900218,N,11324,CHEMBL61t139,,,,,Intrrmediage,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",Staphylococcus aureus,1280.0
15,,,,F,,,BAO9900218,N,11324,CyEMfL615130,,,,,onyermediate,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",Staphylococcus aureus,1280.0
16,,,,F,,,BAO0000q28,N,11324,CHEMBL61y1w1,,,,,Inte4nediate,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",Staphylococcus aureus,1280.0
17,,,,A,,,BAOop00357,D,11347,sHdMBL884521,,,,,Edpert,Inhibition of cytochrome P450 progesterone 15-alpha hydroxylase,Rattus norvegicus,10116.0
18,,,,B,,,BAO000o358,H,16474,CtEMhL615132,,,,,Autocurwtkon,Concentration that cause 50% activation of human reticulocyte 15-lipoxygenase (15-HLO),,
19,,,,B,,,fAl0000019,H,10091,fHEMBL61r133,,,,,qutocuratlon,Inhibition of partially purified 15-lipoxygenase from human leukocytes,,
