replacement_cost,original_language_id,release_year,rental_rate,rating,title,length,film_id,description,language,rental_duration
20.99,,2006,0.99,PG,ACADEMY DINOSAUR,86,1,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,English,6
12.99,,2006,4.99,G,ACE GOLDFINGER,48,2,A Astounding Epistle of a Database Administrator And a Explorer who must Find a Car in Ancient China,English,3
18.99,,2006,2.99,NC-17,ADAPTATION HOLES,50,3,A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory,English,7
26.99,,2006,2.99,G,AFFAIR PREJUDICE,117,4,A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank,English,5
22.99,,2006,2.99,G,AFRICAN EGG,130,5,A Fast-Paced Documentary of a Pastry Chef And a Dentist who must Pursue a Forensic Psychologist in The Gulf of Mexico,English,6
17.99,,2006,2.99,PG,AGENT TRUMAN,169,6,A Intrepid Panorama of a Robot And a Boy who must Escape a Sumo Wrestler in Ancient China,English,3
28.99,,2006,4.99,PG-13,AIRPLANE SIERRA,62,7,A Touching Saga of a Hunter And a Butler who must Discover a Butler in A Jet Boat,English,6
15.99,,2006,4.99,R,AIRPORT POLLOCK,54,8,A Epic Tale of a Moose And a Girl who must Confront a Monkey in Ancient India,English,6
21.99,,2006,2.99,PG-13,ALABAMA DEVIL,114,9,A Thoughtful Panorama of a Database Administrator And a Mad Scientist who must Outgun a Mad Scientist in A Jet Boat,English,3
24.99,,2006,4.99,NC-17,ALADDIN CALENDAR,63,10,A Action-Packed Tale of a Man And a Lumberjack who must Reach a Feminist in Ancient China,English,6
16.99,,2006,0.99,G,ALAMO VIDEOTAPE,126,11,A Boring Epistle of a Butler And a Cat who must Fight a Pastry Chef in A MySQL Convention,English,6
22.99,,2006,0.99,PG,ALASKA PHANTOM,136,12,A Fanciful Saga of a Hunter And a Pastry Chef who must Vanquish a Boy in Australia,English,6
21.99,,2006,4.99,PG,ALI FOREVER,150,13,A Action-Packed Drama of a Dentist And a Crocodile who must Battle a Feminist in The Canadian Rockies,English,4
23.99,,2006,0.99,NC-17,ALICE FANTASIA,94,14,A Emotional Drama of a A Shark And a Database Administrator who must Vanquish a Pioneer in Soviet Georgia,English,6
10.99,,2006,2.99,NC-17,ALIEN CENTER,46,15,A Brilliant Drama of a Cat And a Mad Scientist who must Battle a Feminist in A MySQL Convention,English,5
23.99,,2006,2.99,NC-17,ALLEY EVOLUTION,180,16,A Fast-Paced Drama of a Robot And a Composer who must Battle a Astronaut in New Orleans,English,6
14.99,,2006,0.99,R,ALONE TRIP,82,17,A Fast-Paced Character Study of a Composer And a Dog who must Outgun a Boat in An Abandoned Fun House,English,3
27.99,,2006,0.99,PG-13,ALTER VICTORY,57,18,A Thoughtful Drama of a Composer And a Feminist who must Meet a Secret Agent in The Canadian Rockies,English,6
20.99,,2006,0.99,PG,AMADEUS HOLY,113,19,A Emotional Display of a Pioneer And a Technical Writer who must Battle a Man in A Baloon,English,6
23.99,,2006,4.99,R,AMELIE HELLFIGHTERS,79,20,A Boring Drama of a Woman And a Squirrel who must Conquer a Student in A Baloon,English,4
17.99,,2006,4.99,R,AMERICAN CIRCUS,129,21,A Insightful Drama of a Girl And a Astronaut who must Face a Database Administrator in A Shark Tank,English,3
10.99,,2006,2.99,G,AMISTAD MIDSUMMER,85,22,A Emotional Character Study of a Dentist And a Crocodile who must Meet a Sumo Wrestler in California,English,6
9.99,,2006,0.99,R,ANACONDA CONFESSIONS,92,23,A Lacklusture Display of a Dentist And a Dentist who must Fight a Girl in Australia,English,3
19.99,,2006,2.99,R,ANALYZE HOOSIERS,181,24,A Thoughtful Display of a Explorer And a Pastry Chef who must Overcome a Feminist in The Sahara Desert,English,6
15.99,,2006,2.99,G,ANGELS LIFE,74,25,A Thoughtful Display of a Woman And a Astronaut who must Battle a Robot in Berlin,English,3
15.99,,2006,0.99,G,ANNIE IDENTITY,86,26,A Amazing Panorama of a Pastry Chef And a Boat who must Escape a Woman in An Abandoned Amusement Park,English,3
12.99,,2006,0.99,NC-17,ANONYMOUS HUMAN,179,27,A Amazing Reflection of a Database Administrator And a Astronaut who must Outrace a Database Administrator in A Shark Tank,English,7
16.99,,2006,4.99,PG-13,ANTHEM LUKE,91,28,A Touching Panorama of a Waitress And a Woman who must Outrace a Dog in An Abandoned Amusement Park,English,5
11.99,,2006,2.99,NC-17,ANTITRUST TOMATOES,168,29,A Fateful Yarn of a Womanizer And a Feminist who must Succumb a Database Administrator in Ancient India,English,5
27.99,,2006,2.99,R,ANYTHING SAVANNAH,82,30,A Epic Story of a Pastry Chef And a Woman who must Chase a Feminist in An Abandoned Fun House,English,4
16.99,,2006,4.99,NC-17,APACHE DIVINE,92,31,A Awe-Inspiring Reflection of a Pastry Chef And a Teacher who must Overcome a Sumo Wrestler in A U-Boat,English,5
11.99,,2006,4.99,R,APOCALYPSE FLAMINGOS,119,32,A Astounding Story of a Dog And a Squirrel who must Defeat a Woman in An Abandoned Amusement Park,English,6
15.99,,2006,2.99,PG-13,APOLLO TEEN,153,33,A Action-Packed Reflection of a Crocodile And a Explorer who must Find a Sumo Wrestler in An Abandoned Mine Shaft,English,5
29.99,,2006,0.99,NC-17,ARABIA DOGMA,62,34,A Touching Epistle of a Madman And a Mad Cow who must Defeat a Student in Nigeria,English,6
24.99,,2006,2.99,PG-13,ARACHNOPHOBIA ROLLERCOASTER,147,35,A Action-Packed Reflection of a Pastry Chef And a Composer who must Discover a Mad Scientist in The First Manned Space Station,English,4
12.99,,2006,0.99,PG-13,ARGONAUTS TOWN,127,36,A Emotional Epistle of a Forensic Psychologist And a Butler who must Challenge a Waitress in An Abandoned Mine Shaft,English,7
28.99,,2006,2.99,PG,ARIZONA BANG,121,37,A Brilliant Panorama of a Mad Scientist And a Mad Cow who must Meet a Pioneer in A Monastery,English,3
25.99,,2006,0.99,NC-17,ARK RIDGEMONT,68,38,A Beautiful Yarn of a Pioneer And a Monkey who must Pursue a Explorer in The Sahara Desert,English,6
10.99,,2006,0.99,G,ARMAGEDDON LOST,99,39,A Fast-Paced Tale of a Boat And a Teacher who must Succumb a Composer in An Abandoned Mine Shaft,English,5
22.99,,2006,0.99,R,ARMY FLINTSTONES,148,40,A Boring Saga of a Database Administrator And a Womanizer who must Battle a Waitress in Nigeria,English,4
